Time(s)              GasTemp(K)           [O2(X)](m^-3)        [O2(a)](m^-3)        [O(3P)](m^-3)       
0.00000000000000e+00 3.77000000000000e+02 1.23787090199394e+23 0.00000000000000e+00 0.00000000000000e+00 
1.80972532915673e-16 3.77000000000000e+02 1.23787090199394e+23 2.41414042509395e+08 3.71101826902647e+08 
3.61945065831346e-16 3.77000000000000e+02 1.23787090199394e+23 4.82828085018784e+08 7.42203653805282e+08 
5.42917598747019e-16 3.77000000000000e+02 1.23787090199393e+23 7.24242127528167e+08 1.11330548070790e+09 
2.35264292790375e-15 3.77000000000000e+02 1.23787090199389e+23 3.13838255262141e+09 4.82432374973306e+09 
4.16236825706048e-15 3.77000000000000e+02 1.23787090199385e+23 5.55252297771400e+09 8.53534201875700e+09 
5.97209358621721e-15 3.77000000000000e+02 1.23787090199380e+23 7.96666340280593e+09 1.22463602877797e+10 
2.40693468777845e-14 3.77000000000000e+02 1.23787090199338e+23 3.21080676536675e+10 4.93565429778998e+10 
4.21666001693518e-14 3.77000000000000e+02 1.23787090199295e+23 5.62494719044636e+10 8.64667256678982e+10 
6.02638534609191e-14 3.77000000000000e+02 1.23787090199252e+23 8.03908761551929e+10 1.23576908357773e+11 
2.41236386376592e-13 3.77000000000000e+02 1.23787090198825e+23 3.21804918656725e+11 4.94678735245827e+11 
4.22208919292265e-13 3.77000000000000e+02 1.23787090198398e+23 5.63218961151702e+11 8.65780562121717e+11 
6.03181452207938e-13 3.77000000000000e+02 1.23787090197971e+23 8.04633003639999e+11 1.23688238898521e+12 
2.41290678136467e-12 3.77000000000000e+02 1.23787090193702e+23 3.21877342794691e+12 4.94790065655114e+12 
4.22263211052140e-12 3.77000000000000e+02 1.23787090189432e+23 5.63291385159827e+12 8.65891892290053e+12 
6.03235743967813e-12 3.77000000000000e+02 1.23787090185162e+23 8.04705427458165e+12 1.23699371880104e+13 
2.41296107312454e-11 3.77000000000000e+02 1.23787090142466e+23 3.21884584468100e+13 4.94801197322082e+13 
4.22268640228127e-11 3.77000000000000e+02 1.23787090099769e+23 5.63298625534825e+13 8.65903021547519e+13 
6.03241173143800e-11 3.77000000000000e+02 1.23787090057073e+23 8.04712665933579e+13 1.23700484453338e+14 
2.41296650230053e-10 3.77000000000000e+02 1.23787089630108e+23 3.21885301231564e+14 4.94802296749171e+14 
4.22269183145726e-10 3.77000000000000e+02 1.23787089203143e+23 5.63299329314179e+14 8.65904096879587e+14 
6.03241716061399e-10 3.77000000000000e+02 1.23787088776178e+23 8.04713350717082e+14 1.23700588461425e+15 
2.41296704521813e-09 3.77000000000000e+02 1.23787084506530e+23 3.21885298869108e+15 4.94802269295827e+15 
4.22269237437486e-09 3.77000000000000e+02 1.23787080236883e+23 5.63299197110505e+15 8.65903828476079e+15 
6.03241770353159e-09 3.77000000000000e+02 1.23787075967238e+23 8.04713028554646e+15 1.23700526369889e+16 
2.41296709950989e-08 3.77000000000000e+02 1.23787033270894e+23 3.21884558241519e+16 4.94800892592690e+16 
4.22269242866662e-08 3.77000000000000e+02 1.23786990574677e+23 5.63297158058517e+16 8.65900042275695e+16 
6.03241775782335e-08 3.77000000000000e+02 1.23786947878588e+23 8.04709089889948e+16 1.23699795239045e+17 
2.41296710493907e-07 3.77000000000000e+02 1.23786520928807e+23 3.21877079933525e+17 4.94787015617522e+17 
4.22269243409580e-07 3.77000000000000e+02 1.23786093991665e+23 5.63276694285517e+17 8.65862070766902e+17 
6.03241776325253e-07 3.77000000000000e+02 1.23785667067402e+23 8.04669627480518e+17 1.23692473085475e+18 
2.41296710548198e-06 3.77000000000000e+02 1.23781398935518e+23 3.21802256510093e+18 4.94648262189638e+18 
4.22269243463871e-06 3.77000000000000e+02 1.23777132068373e+23 5.63071894237835e+18 8.65482415893284e+18 
6.03241776379544e-06 3.77000000000000e+02 1.23772866490083e+23 8.04274590563679e+18 1.23619268109716e+19 
2.41296710553627e-05 3.77000000000000e+02 1.23730279572806e+23 3.21271367619327e+19 4.93669796531432e+19 
4.22269243469301e-05 3.77000000000000e+02 1.23687821211331e+23 5.61443973032134e+19 8.62491815205842e+19 
6.03241776384974e-05 3.77000000000000e+02 1.23645492705148e+23 8.00935480714630e+19 1.23007892349219e+20 
7.84214309300647e-05 3.77000000000000e+02 1.23603294783343e+23 1.03973894413536e+20 1.59643043275563e+20 
2.23923187954434e-04 3.77000000000000e+02 1.23268847787705e+23 2.93371798602553e+20 4.49741226174175e+20 
3.69424944978804e-04 3.77000000000000e+02 1.22943063829478e+23 4.78030201463169e+20 7.31992336906547e+20 
5.14926702003173e-04 3.77000000000000e+02 1.22626089622903e+23 6.57745025588852e+20 1.00651110180467e+21 
6.60428459027542e-04 3.77000000000000e+02 1.22318046928952e+23 8.32333838853495e+20 1.27341886317840e+21 
1.12170451146698e-03 3.77000000000000e+02 1.21401110915873e+23 1.35064488047763e+21 2.07066880608863e+21 
1.58298056390643e-03 3.77000000000000e+02 1.20575348543406e+23 1.81342067111318e+21 2.79664196975034e+21 
2.04425661634587e-03 3.77000000000000e+02 1.19839254231039e+23 2.22009813988141e+21 3.45547565694811e+21 
2.50553266878531e-03 3.77000000000000e+02 1.19189186036188e+23 2.57221778174739e+21 4.05137276291909e+21 
2.96680872122475e-03 3.77000000000000e+02 1.18619969991679e+23 2.87285193513270e+21 4.58853654516529e+21 
3.76841257486055e-03 3.77000000000000e+02 1.17804223675623e+23 3.28553438700996e+21 5.39466427352405e+21 
4.57001642849635e-03 3.77000000000000e+02 1.17179176371200e+23 3.57924714234129e+21 6.05733337170627e+21 
5.37162028213215e-03 3.77000000000000e+02 1.16709825593487e+23 3.77896697075161e+21 6.59659527031137e+21 
6.17322413576795e-03 3.77000000000000e+02 1.16363698045358e+23 3.90758001083319e+21 7.03162428640632e+21 
6.97482798940375e-03 3.77000000000000e+02 1.16112806658093e+23 3.98443664050682e+21 7.37969380158943e+21 
8.20172808162507e-03 3.77000000000000e+02 1.15863739727042e+23 4.03481861835380e+21 7.77706370799936e+21 
9.42862817384638e-03 3.77000000000000e+02 1.15722260222831e+23 4.03935488829501e+21 8.05095017653896e+21 
