architecture,seed,training_time_s,epochs_ran,best_val_loss,observed_species_count,repeats,test_mse,test_mse_within_subset_std,test_rmse,test_rmse_within_subset_std,test_mse_unscaled,test_mse_unscaled_within_subset_std,test_rmse_unscaled,test_rmse_unscaled_within_subset_std,mean_rel_error_avg,mean_rel_error_avg_within_subset_std,mean_rel_error_k1,mean_rel_error_k1_within_subset_std,mean_rel_error_k2,mean_rel_error_k2_within_subset_std,mean_rel_error_k3,mean_rel_error_k3_within_subset_std
"30, 30, 30",32,176.68566870689392,1787,0.004939237348735332,3,50,0.016120380391948855,0.0067552908547846265,0.12245217185757658,0.033553628705572026,1.8235265072074565e-41,1.6140877759175878e-41,3.769407674051093e-21,2.0066965039286067e-21,0.14535247821360828,0.044388597143657546,0.2456975594162941,0.05813745509984024,0.07587949749082327,0.060866486116795196,0.11448037769645453,0.05717669976662713
"30, 30, 30",32,176.68566870689392,1787,0.004939237348735332,4,50,0.010600554023112637,0.006275097074647253,0.09552462845984772,0.03841353121909887,9.557331968173123e-42,1.063225558989197e-41,2.599415731687663e-21,1.6734305548865225e-21,0.10981691546738148,0.04225807527028845,0.20353585720062256,0.076563326147821,0.04409273143857718,0.032992515722657594,0.08182215524837375,0.04687662133078301
"30, 30, 30",32,176.68566870689392,1787,0.004939237348735332,5,50,0.007778090114879887,0.00596260922471451,0.08006163351454276,0.03698952492075196,6.669087677383956e-42,9.320876032268098e-42,2.052077690544724e-21,1.567821682894004e-21,0.09066618982702494,0.04082564792213818,0.17543028097599744,0.07542498062819876,0.03323263894766569,0.01855818002147233,0.06333564721047878,0.04464530071204685
"30, 30, 30",32,176.68566870689392,1787,0.004939237348735332,6,50,0.006671924274996854,0.006245756745960643,0.07179617070992528,0.03895168990413795,6.304301661150919e-42,8.7000969701721e-42,2.028871678914019e-21,1.4791826701430518e-21,0.08226173859089612,0.04036148551250639,0.15624648466706276,0.07721814387006555,0.028127955608069896,0.013125868698793518,0.06241077791899443,0.040677700679077264
"30, 30, 30",32,176.68566870689392,1787,0.004939237348735332,7,50,0.003367590747657232,0.004860932048267443,0.04783675813502141,0.03285171713607518,3.4443916253104004e-42,6.593138599098842e-42,1.4293320982968669e-21,1.1838079988277984e-21,0.05759370923042297,0.03358600026545003,0.10691436134278774,0.0628067441372211,0.021030695997178554,0.010024902825448219,0.04483607051894069,0.03318861556112937
"30, 30, 30",32,176.68566870689392,1787,0.004939237348735332,8,50,0.005004265607276466,0.005993515063870029,0.05969953212284184,0.03795038170546166,5.667215327330285e-42,8.658320702247225e-42,1.860813261911776e-21,1.4847859548175762e-21,0.0689952302724123,0.037552174122776366,0.1288420993834734,0.07062202728193379,0.022469050381332636,0.009140900126782904,0.0556745345517993,0.039180794842336886
"30, 30, 30",32,176.68566870689392,1787,0.004939237348735332,9,50,0.0016049696324625983,0.0025776132119472344,0.03369783483047445,0.021666230872042815,1.2964533132240342e-42,3.215793334228416e-42,9.206270710649554e-22,6.699993352581744e-22,0.043058602586388585,0.02207913591425454,0.08163986518979073,0.045290404411231555,0.018371637724339963,0.006483616504011685,0.02916430350393057,0.020022054370441925
"30, 30, 30",32,176.68566870689392,1787,0.004939237348735332,10,50,0.000773639107355848,0.0007954361194195598,0.025560848713614456,0.010967320565915914,5.618085803171057e-43,5.7071126527004026e-43,6.910174717430291e-22,2.903505365295157e-22,0.03497288051992655,0.011708872287802218,0.06689455576241016,0.027770874740570238,0.01656437961384654,0.004455690933588742,0.021459701023995876,0.009817233942818311
"30, 30, 30",32,176.68566870689392,1787,0.004939237348735332,11,1,0.0004302698653191328,0.0,0.02074294736336022,0.0,2.8306228979361305e-43,0.0,5.320359854310731e-22,0.0,0.03413964435458183,0.0,0.07190848141908646,0.0,0.013302798382937908,0.0,0.01720765419304371,0.0
"30, 30, 30",33,198.3801634311676,1487,0.005016211774200201,3,50,0.015736960575450213,0.00799516756910959,0.12023439300753584,0.035786188866092354,1.82237744246671e-41,2.0190325177066383e-41,3.620962006558195e-21,2.2610635930307556e-21,0.14656183667480946,0.05321803917412893,0.24487106665968894,0.058753018597382245,0.08296964487060904,0.06691804668563685,0.11184480085968972,0.07016667157296054
"30, 30, 30",33,198.3801634311676,1487,0.005016211774200201,4,50,0.011734167862450705,0.006852941231297382,0.1019832465347209,0.036518287044836006,1.3016633409143939e-41,1.478306621768776e-41,3.0503619384067475e-21,1.9266357865106132e-21,0.12332842506468296,0.04798352767893829,0.2202939072996378,0.07344797299089915,0.05514956384897232,0.04055244004621708,0.09454180404543877,0.05853748296229059
"30, 30, 30",33,198.3801634311676,1487,0.005016211774200201,5,50,0.00868288658442907,0.00615266566702451,0.08580252772115614,0.03634298860976214,7.954750992432689e-42,1.0364549431130659e-41,2.366058986477531e-21,1.5350947413568998e-21,0.10356335066258908,0.044161134888404736,0.18893080055713654,0.07494211343966448,0.045148267317563294,0.029429494183218472,0.07661098491400481,0.048052817583260875
"30, 30, 30",33,198.3801634311676,1487,0.005016211774200201,6,50,0.0062896366865606975,0.005945417767826098,0.0690951061763567,0.038929461710107076,5.991279610190042e-42,8.333499041528037e-42,2.0229496958781986e-21,1.3780254490162163e-21,0.08415205091238022,0.045663309911152486,0.15031292170286178,0.08307477657889431,0.03526202518492937,0.0249137810000305,0.06688120178878307,0.044941221664305385
"30, 30, 30",33,198.3801634311676,1487,0.005016211774200201,7,50,0.004914013911620714,0.00501192080290229,0.060856803959870455,0.03479171343022085,4.4942164088132666e-42,6.712495279949314e-42,1.7780581979594004e-21,1.1544372886747193e-21,0.07525172024965286,0.042149870309208505,0.13497204773128033,0.07591887909412465,0.03073681503534317,0.01894526094683792,0.06004629615694285,0.040945483658539165
"30, 30, 30",33,198.3801634311676,1487,0.005016211774200201,8,50,0.0032422754669096322,0.003625659957260066,0.04936967996728077,0.02837093877258748,2.738053121382833e-42,3.754255843224861e-42,1.4390078607628994e-21,8.168901382960976e-22,0.060792146660387514,0.03196218649774433,0.11180882543325424,0.06378805736446944,0.024423449616879225,0.012689796787940133,0.04614416435360909,0.027282659919351755
"30, 30, 30",33,198.3801634311676,1487,0.005016211774200201,9,50,0.0017213009303668513,0.0025201722169978426,0.03580489877681224,0.020959726953113694,1.7070898152097787e-42,2.9523572920076696e-42,1.1197649223091543e-21,6.73213438647619e-22,0.045448947511613366,0.024751478450720323,0.0800666431337595,0.04783421518091279,0.019302789503708482,0.010012594289933391,0.03697741087526083,0.024839885554570926
"30, 30, 30",33,198.3801634311676,1487,0.005016211774200201,10,50,0.0008405221946304664,0.0008975880437506414,0.027044502784075015,0.010445911343325925,7.579623393532935e-43,8.053242767947333e-43,8.112287520326898e-22,3.1602254860813044e-22,0.03359261509031057,0.012114154064242084,0.06134793259203434,0.02577447584597341,0.013068982381373644,0.006938347793892826,0.026360933408141135,0.010330919393074772
"30, 30, 30",33,198.3801634311676,1487,0.005016211774200201,11,1,0.0004715690156444907,0.0,0.021715639885678956,0.0,4.3159992701204366e-43,0.0,6.569626526767284e-22,0.0,0.028579629957675934,0.0,0.053019486367702484,0.0,0.009084898047149181,0.0,0.023634515702724457,0.0
"30, 30, 30",34,204.2372589111328,1770,0.00475849999114871,3,50,0.014053138024173677,0.00628920723399804,0.11462219832432724,0.030247143261343996,1.4221329698923985e-41,1.734563419035922e-41,3.101968539308246e-21,2.144556103268424e-21,0.13660494104027748,0.04178507890960647,0.24388131067156793,0.05392663257530142,0.06604877013713122,0.03690399247050134,0.09988473989069462,0.0640857891074365
"30, 30, 30",34,204.2372589111328,1770,0.00475849999114871,4,50,0.01023478534189053,0.006220060447255762,0.09503627266078113,0.03468273663706769,9.750010507017785e-42,1.1836828812862703e-41,2.5758931239202934e-21,1.7648753840308214e-21,0.11341728530824184,0.04267936990164131,0.2066514375805855,0.06726117188172229,0.050103111658245325,0.02932729740872251,0.0834973070770502,0.05567244268651267
"30, 30, 30",34,204.2372589111328,1770,0.00475849999114871,5,50,0.007493573656538501,0.006223469223757404,0.07854404918754156,0.03639238922856747,8.280973274927506e-42,1.145842835370147e-41,2.309148090236941e-21,1.717209472453082e-21,0.09452852718532086,0.04364455905388101,0.17184542551636695,0.06992529491956023,0.03832002270966768,0.023050536420998004,0.07342013631016016,0.05414389177002831
"30, 30, 30",34,204.2372589111328,1770,0.00475849999114871,6,50,0.004826441454933956,0.004767855179090099,0.06189060465935551,0.031559380694705,3.527712831999154e-42,5.716982661732308e-42,1.5540213150665355e-21,1.0548604572729177e-21,0.0752165823802352,0.03815032956861477,0.13975555188953875,0.07134103879516335,0.03405604910105467,0.017245170482804523,0.05183814737945795,0.03920699326849838
