architecture,seed,training_time_s,epochs_ran,best_val_loss,observed_species_count,repeats,test_mse,test_mse_within_subset_std,test_rmse,test_rmse_within_subset_std,test_mse_unscaled,test_mse_unscaled_within_subset_std,test_rmse_unscaled,test_rmse_unscaled_within_subset_std,mean_rel_error_avg,mean_rel_error_avg_within_subset_std,mean_rel_error_k1,mean_rel_error_k1_within_subset_std,mean_rel_error_k2,mean_rel_error_k2_within_subset_std,mean_rel_error_k3,mean_rel_error_k3_within_subset_std
"30, 30",32,179.80016255378723,1884,0.00614516818895936,3,50,0.018893784686224536,0.008474644500749445,0.13251325021561483,0.03652428238197694,2.3120780064065893e-41,2.230248411303636e-41,4.157927684671935e-21,2.415039840893846e-21,0.16289324641227723,0.055330318950070546,0.24931624546647072,0.05116341262468604,0.1137289741076529,0.08444592281417147,0.1256345219910145,0.07257278893548919
"30, 30",32,179.80016255378723,1884,0.00614516818895936,4,50,0.012015563745517283,0.007012080073139233,0.10227144649337948,0.039447623219518564,9.94554769472967e-42,1.2818594927920762e-41,2.5909717658927385e-21,1.7978912656432636e-21,0.12028409488499164,0.0470975231477238,0.213195206746459,0.07239640952973747,0.06702006373554469,0.058543797957486904,0.08063701152801514,0.0535420126620091
"30, 30",32,179.80016255378723,1884,0.00614516818895936,5,50,0.009472341863438488,0.006218277816732406,0.09057437541973497,0.035617753729894244,7.481980916538782e-42,1.1315705450601917e-41,2.176478733187196e-21,1.6567803839141272e-21,0.10576276507228613,0.04138654961316975,0.19454341351985932,0.06665293445591357,0.054019157551229,0.03490744609435128,0.06872572343796492,0.04954657483358084
"30, 30",32,179.80016255378723,1884,0.00614516818895936,6,50,0.007514391441363841,0.0062373399699886594,0.07788976043835301,0.038047032213036264,6.167086515524233e-42,8.82209212196906e-42,2.019855228754373e-21,1.4447392049770965e-21,0.09061709638684988,0.04060758370215597,0.1673350116610527,0.0725138363989703,0.04174436841160059,0.02602056604339855,0.06277190655469894,0.04161848701563884
"30, 30",32,179.80016255378723,1884,0.00614516818895936,7,50,0.003999071180005558,0.005041707849254195,0.05325311518496923,0.03410537938657122,3.625047023331156e-42,6.520057308370874e-42,1.4991476681474894e-21,1.1737134626556433e-21,0.0649638568982482,0.037409282201498056,0.11604030549526215,0.06850838114536881,0.031395544465631246,0.019218288767281773,0.047455719094723466,0.036396023206074005
"30, 30",32,179.80016255378723,1884,0.00614516818895936,8,50,0.0056820951099507515,0.005443883499869691,0.06596646504058491,0.03647630189588906,5.5670224871310606e-42,7.640529639585486e-42,1.9107251344073716e-21,1.3842514034217169e-21,0.07870049603283405,0.040189844357185554,0.14166431173682212,0.07324385818181382,0.03283128067851067,0.013200915764256709,0.06160589324310422,0.044890033044731804
"30, 30",32,179.80016255378723,1884,0.00614516818895936,9,50,0.0021816006361041218,0.0030007506665246995,0.03948190884509299,0.02495555068620786,1.6155009475815085e-42,3.122278022544746e-42,1.0490859576227852e-21,7.175789859661391e-22,0.05073495712131262,0.02934037271226126,0.08869343042373658,0.05292536112056469,0.02949258353561163,0.020787480772625603,0.03401886010542512,0.024661704238822475
"30, 30",32,179.80016255378723,1884,0.00614516818895936,10,50,0.0010923439433099702,0.0013763440817255988,0.029034879251182186,0.015789861626348732,8.22926536159392e-43,9.898733395657847e-43,8.058251617707485e-22,4.1662014451600747e-22,0.03890898782759905,0.017351981341495105,0.06622841656208038,0.036242103620686535,0.024244552068412303,0.0046889361744666385,0.026253997310996056,0.01422273319910119
"30, 30",32,179.80016255378723,1884,0.00614516818895936,11,1,0.000255323393503204,0.0,0.015978842057646228,0.0,2.2420775429197073e-43,0.0,4.735058123106524e-22,0.0,0.024347925558686256,0.0,0.03580336272716522,0.0,0.021214304491877556,0.0,0.016026107594370842,0.0
"30, 30",33,183.88381457328796,2049,0.00532690548337996,3,50,0.01562745832139626,0.007536483179366232,0.12014771850227937,0.03452512215899161,1.701862971937847e-41,1.8392014246205694e-41,3.4691248665704034e-21,2.2324431413859922e-21,0.14770660407841205,0.0497283176621491,0.24927565231919288,0.06127783346610493,0.08490762114524841,0.0676801869779484,0.1089365327730775,0.06876414518097722
"30, 30",33,183.88381457328796,2049,0.00532690548337996,4,50,0.011420598307158797,0.006563890992701213,0.10077732073610676,0.035560229645077684,1.225550413526127e-41,1.3799731638901806e-41,2.9238741690193327e-21,1.9252179042910388e-21,0.12135042935609817,0.04529721604552201,0.21893445163965225,0.07111086332981326,0.05302709579467774,0.035133010838966035,0.09208973716944456,0.059584837954694214
"30, 30",33,183.88381457328796,2049,0.00532690548337996,5,50,0.008516460221726448,0.005999101020158269,0.08508155437342352,0.03574338158496793,6.939201969367207e-42,8.850462422913128e-42,2.172025828235347e-21,1.4904716605309092e-21,0.1010584707558155,0.04267609914912148,0.18889997363090516,0.07997577564755426,0.04673833057284355,0.02616179953478285,0.06753711517900228,0.04606636764839133
"30, 30",33,183.88381457328796,2049,0.00532690548337996,6,50,0.006094679502421058,0.0059037147981552225,0.06807703904257081,0.03821251441108457,5.3473269138942155e-42,8.549114825060228e-42,1.7860250547266138e-21,1.4688231404028913e-21,0.08328185051679611,0.04578645418787754,0.15354364175349475,0.08363400659040608,0.036413003392517566,0.023084544517345464,0.05988890890032053,0.05287010358338553
"30, 30",33,183.88381457328796,2049,0.00532690548337996,7,50,0.004722630769247189,0.004946792611876497,0.05955078707392748,0.03429773357122799,3.768876297709455e-42,6.581045415833524e-42,1.534705747678831e-21,1.1889300087688156e-21,0.07310573905706405,0.040460808992428335,0.13559833880513905,0.07437784282409547,0.03381923146545887,0.020920465989325822,0.04989964779466391,0.04217771991446057
