architecture,observed_species_count,n_seeds,repeats_per_seed,test_mse,test_mse_between_seed_std,test_mse_within_subset_std,test_mse_total_std,test_rmse,test_rmse_between_seed_std,test_rmse_within_subset_std,test_rmse_total_std,test_mse_unscaled,test_mse_unscaled_between_seed_std,test_mse_unscaled_within_subset_std,test_mse_unscaled_total_std,test_rmse_unscaled,test_rmse_unscaled_between_seed_std,test_rmse_unscaled_within_subset_std,test_rmse_unscaled_total_std,mean_rel_error_avg,mean_rel_error_avg_between_seed_std,mean_rel_error_avg_within_subset_std,mean_rel_error_avg_total_std,mean_rel_error_k1,mean_rel_error_k1_between_seed_std,mean_rel_error_k1_within_subset_std,mean_rel_error_k1_total_std,mean_rel_error_k2,mean_rel_error_k2_between_seed_std,mean_rel_error_k2_within_subset_std,mean_rel_error_k2_total_std,mean_rel_error_k3,mean_rel_error_k3_between_seed_std,mean_rel_error_k3_within_subset_std,mean_rel_error_k3_total_std,relative_deterioration_test_mse_pct,relative_deterioration_test_mse_pct_between_seed_std,relative_deterioration_test_mse_pct_within_subset_std,relative_deterioration_test_mse_pct_total_std,relative_deterioration_test_mse_unscaled_pct,relative_deterioration_test_mse_unscaled_pct_between_seed_std,relative_deterioration_test_mse_unscaled_pct_within_subset_std,relative_deterioration_test_mse_unscaled_pct_total_std
"30, 30",3,20,50.0,0.01568217134301085,0.0011591062295328075,0.00768963191695918,0.0077765009014118345,0.12005408385667601,0.005086346929589621,0.035260705711271635,0.035625669009087396,1.7076643475801517e-41,2.8566089022752033e-42,1.7994672335886392e-41,1.8220001286950365e-41,3.514658445439586e-21,3.4802125805078587e-22,2.1453905685553996e-21,2.1734349513389427e-21,0.14586750125512482,0.007377986594237077,0.05009084156507087,0.05063128573206268,0.24414008336886767,0.00955311649794165,0.06072519729386215,0.06147203934474379,0.08493944058381021,0.010841284834587935,0.06861135739675482,0.06946259295973545,0.10852297783456741,0.010544846306768723,0.06365092434597738,0.06451847761479428,3841.9483175342975,1155.7714797448323,1986.733332276986,2298.459711844429,4025.6628681256248,2392.530077220443,4961.290141112687,5508.048659435245
"30, 30",4,20,50.0,0.011645170788135147,0.0009564821098490624,0.006912636816519152,0.006978495954255284,0.10109433195716763,0.004806092701801034,0.03744340138410014,0.03775058720429574,1.1650221671386953e-41,2.1342267062192385e-42,1.3495657894294013e-41,1.3663370946928129e-41,2.8449686292918078e-21,2.722334690515407e-22,1.8660825566037026e-21,1.8858354036692722e-21,0.12047938460484149,0.006622901667915356,0.04644129810930927,0.04691116068251359,0.21352345708943904,0.011052077215752064,0.07239671847592112,0.0732354644749709,0.05933338189963252,0.007018741786470255,0.046513732232066216,0.04704030210810193,0.08858131486177447,0.008663073250679998,0.05527689006688628,0.055951616720281455,2805.2276845279653,746.2497631909895,1768.2081864630713,1919.2313304387335,2644.407555737498,1393.6176040752198,3522.725523194831,3788.3723600190956
"30, 30",5,20,50.0,0.008561239709059008,0.0008472875614367818,0.00621637739489516,0.006273854009102302,0.08440029620962168,0.005264657069379627,0.03755147260399998,0.03791872504168791,7.570729352179866e-42,1.404188673945049e-42,9.779920550654875e-42,9.880212133813581e-42,2.2590118366157393e-21,2.355450996600847e-22,1.5530979944085854e-21,1.5708580057439468e-21,0.1000687426291406,0.006603772796311395,0.04318427513319153,0.043686284276927084,0.1831849793661386,0.01192890236489001,0.07817691715153281,0.07908178732773244,0.0453750902172178,0.005475952001032729,0.031665734446917476,0.032135724488181534,0.07164615805447103,0.007378630241195556,0.047159826382084914,0.04773356689610235,2036.7709740539256,598.0853549004527,1604.7518753049842,1712.5812894695725,1617.1101567273224,792.5510853422984,2486.7969354830875,2610.0375899985293
"30, 30",6,20,50.0,0.006133818194823107,0.0008717235699549937,0.005664652345413638,0.005731333891583643,0.0688805818461045,0.005896271930926335,0.03680377177249331,0.03727309538212791,5.292232062172356e-42,1.2545244751647309e-42,7.689530198554113e-42,7.791194153226e-42,1.8586582659381547e-21,2.346630581821313e-22,1.3351235005634271e-21,1.3555889910412116e-21,0.08277651803754268,0.006635811811025127,0.041520522823921685,0.0420474471753416,0.15116017545945942,0.01202279227763991,0.07848766863765158,0.07940315901980899,0.037322437310125675,0.003832923463564926,0.0241497527377204,0.02445203180863669,0.05984694235958158,0.007709594660780881,0.04186206820789509,0.04256607339743709,1429.7148872694634,450.9729553297289,1458.644589278513,1526.768038789885,1142.1606074406548,693.8597897411928,2008.9390356822428,2125.38877782574
"30, 30",7,20,50.0,0.004435015339040547,0.0007802700987195786,0.004923829936514869,0.004985270571461081,0.05707908374971954,0.006024362599977631,0.033774259319739944,0.03430733940912716,3.8134445953673055e-42,7.898912689818976e-43,6.250553251759381e-42,6.300265404718567e-42,1.5715152886774808e-21,1.8341394442640429e-22,1.14461505223817e-21,1.1592171034022234e-21,0.07006313831172882,0.0071260228991272,0.03808164458457054,0.038742636159978014,0.12672290100343528,0.013420904042939509,0.07280623600274012,0.07403288908462564,0.032768552029039714,0.004472309804018074,0.02051001544367672,0.02099195770963189,0.050697961155325176,0.005941316421639064,0.03635977577158712,0.03684199417759755,1004.9935223754613,333.0282659218362,1271.2743094726018,1314.1712962273775,786.728293403428,490.21382402046055,1650.2894074917667,1721.5588057746647
"30, 30",8,20,50.0,0.003028134642969235,0.000864304079954636,0.0038481808980499826,0.003944048398123811,0.04647074317739454,0.006986637407020739,0.028632002536544524,0.02947209988293799,2.6575863596659095e-42,9.030809834984577e-43,4.6934830428651965e-42,4.779575120909775e-42,1.3310508668831956e-21,2.107777251815081e-22,9.173127601874466e-22,9.41217270047359e-22,0.058301985630765565,0.007937698751776572,0.03246697635996195,0.03342321970475441,0.10355728276260197,0.015390731813098408,0.06253753320891059,0.06440355336158336,0.027471672256942838,0.005162392503481564,0.01544894323965974,0.016288650760030155,0.04387700209673494,0.006737046814401247,0.03144480456926609,0.03215841311661338,670.700299543423,394.36023664634797,1011.4843922417845,1085.6429763032115,539.1940519241359,503.34840624025946,1329.827099760629,1421.9000433653468
"30, 30",9,20,50.0,0.001675597422814462,0.00038642190655556013,0.002472413365784869,0.002502428768452301,0.034948019417106485,0.0034837352827759367,0.021026101638571815,0.021312751151271164,1.556349336805429e-42,4.962061865920349e-43,2.783600245314281e-42,2.8274813713490555e-42,1.0669068472201057e-21,1.5668439574929884e-22,6.273030498004617e-22,6.465749114837997e-22,0.04545250197313726,0.004114709705811407,0.023497744176741164,0.023855289085623586,0.07849878390878438,0.00817286060621714,0.0467773114761123,0.04748591917002222,0.022867411621380597,0.005291394730891078,0.010947212629606195,0.012158960586987328,0.03499130996316672,0.00502152767308118,0.021052392202283103,0.02164298864783398,324.811503259651,176.75405496932788,677.2863903302447,699.9706068647973,244.01711084206278,167.1766859016456,706.5069863947897,726.0166431520045
"30, 30",10,20,50.0,0.0008782936344214249,0.00021193803796472075,0.0010383806349942768,0.0010597886935929507,0.026874018367947977,0.0029906846580739,0.012129986663495606,0.012493229013374399,8.874955667985511e-43,3.3732282485318856e-43,7.927293262290347e-43,8.615140584055922e-43,8.694815894567048e-22,1.677320526477989e-22,3.215016188278827e-22,3.626256091265386e-22,0.03704900121130049,0.0037750512946530487,0.012985947508733227,0.01352352930920166,0.06230027304776011,0.005497919835207188,0.02807058696066697,0.028603932856003055,0.01992849064990878,0.00600704565811917,0.005886311242281746,0.008410306628164091,0.02891824014205486,0.0056075693331878946,0.010630014115399987,0.012018403967254232,115.82531556788588,74.50321003732202,280.7110978899685,290.429765665396,81.37218493824606,63.1760188030436,202.89772411744423,212.5057547546443
"30, 30",11,20,1.0,0.00043826202163472773,0.00016828360628632887,0.0,0.00016828360628632887,0.020647877391498818,0.0034535750839325276,0.0,0.0034535750839325276,5.841312648538e-43,4.26094581254478e-43,0.0,4.26094581254478e-43,7.28512238547177e-22,2.310869601270937e-22,0.0,2.310869601270937e-22,0.030436590034514665,0.004245223260141524,0.0,0.004245223260141524,0.049562452174723146,0.0077747419693264905,0.0,0.0077747419693264905,0.017045470559969543,0.006282359167239698,0.0,0.006282359167239698,0.02470184853300452,0.007542640908569556,0.0,0.007542640908569556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"50, 50",3,20,50.0,0.015558127177529968,0.0011365058702960304,0.007685530269287598,0.007769106841417051,0.11944055049375749,0.005416637299721603,0.03553508288496597,0.03594554319075088,1.6993741257353597e-41,2.86167802339666e-42,1.8102570407622773e-41,1.832736359852478e-41,3.488628938979074e-21,3.501467356761332e-22,2.1680882470431607e-21,2.196180635437654e-21,0.14448486302606758,0.00730429155284985,0.050030823563716686,0.050561210246124276,0.2414749121852219,0.010110754088579418,0.06028070119906323,0.06112274769094129,0.08363431809656321,0.0098445132172681,0.06732767079796306,0.0680435867335332,0.10834536091610789,0.009873819553200361,0.06495124201599722,0.0656974592506423,3422.0559742084065,698.6120472015299,1795.6405090145397,1926.7546886173932,3943.845052053958,1378.8844179685868,4389.565123956071,4601.043818044776
