experiment_folder,run_timestamp,hidden_size_label,num_species_kept,test_mse,baseline_num_species,baseline_test_mse,mse_ratio_vs_baseline,relative_deterioration_test_mse_pct,absolute_relative_deterioration_test_mse_pct,mean_rel_error_avg,mean_rel_error_k1,mean_rel_error_k2,mean_rel_error_k3,max_rel_error_k1,max_rel_error_k2,max_rel_error_k3,training_time_s
2__O2(X)_O2(a),2026-04-10_20-47-03,"30, 30",2,0.0153602613136172,11,1.6265215663224808e-06,9443.625975612678,944262.5975612679,944262.5975612679,0.13869764283299443,0.2654861807823181,0.018746268004179,0.1318604797124862,0.7017970085144043,0.088563859462738,0.3070296049118042,35.17880725860596
3__O2(X)_O2(a)_O2(b),2026-04-10_20-31-52,"30, 30",3,1.7563362462169607e-06,11,1.6265215663224808e-06,1.07981122573615,7.981122573615008,7.981122573615008,0.0017356923005233,0.0028065072838217,0.0015975402202457,0.0008030293975025,0.0138476584106683,0.0066789016127586,0.0026927816215902,368.6074299812317
4__O2(X)_O2(a)_O2(b)_O2(Hz),2026-04-10_20-18-21,"30, 30",4,2.061754457827192e-06,11,1.6265215663224808e-06,1.267585072658311,26.75850726583111,26.75850726583111,0.0017835994367487332,0.0033752713352441,0.000917412166018,0.0010581148089841,0.0165543016046285,0.004007595591247,0.0044476524926722,339.66725730896
5__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X),2026-04-10_14-00-05,"30, 30",5,2.9205427836132003e-06,11,1.6265215663224808e-06,1.79557581287807,79.55758128780701,79.55758128780701,0.0021613467639932664,0.0037656512577086,0.0014579214621335,0.0012604675721377,0.0163690075278282,0.0048839841037988,0.0060590892098844,255.4839038848877
6__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P),2026-04-10_12-19-38,"30, 30",6,5.811209121020511e-06,11,1.6265215663224808e-06,3.5727833195347602,257.278331953476,257.278331953476,0.0027719609206541666,0.0055122035555541,0.0016538917552679,0.0011497874511405,0.0284459199756383,0.0063642608001828,0.0050517385825514,195.83027815818787
7__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D),2026-04-09_15-54-29,"30, 30",7,5.120197329233633e-06,11,1.6265215663224808e-06,3.1479430923318494,214.79430923318495,214.79430923318495,0.0029792926895121333,0.0055246977135539,0.0018591341795399,0.0015540461754426,0.0283482410013675,0.0123826637864112,0.0058673238381743,160.73392939567566
8__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd),2026-04-10_12-00-54,"30, 30",8,6.0146762734802905e-06,11,1.6265215663224808e-06,3.6978767438536355,269.7876743853636,269.7876743853636,0.0032884130487218,0.0059349727816879,0.0019892377313226,0.0019410286331549,0.0315978899598121,0.0080260401591658,0.0078483745455741,180.68909859657288
9__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd),2026-04-09_16-12-01,"30, 30",9,3.17273884320457e-06,11,1.6265215663224808e-06,1.950628204935544,95.0628204935544,95.0628204935544,0.0023294293011228,0.0037877100985497,0.0018489126814529,0.0013516651233658,0.0179924853146076,0.0062202382832765,0.0062425853684544,286.03457379341125
10__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd)_O3(X),2026-04-10_11-50-30,"30, 30",10,8.447114851151127e-06,11,1.6265215663224808e-06,5.193361727290106,419.33617272901057,419.33617272901057,0.0034952907590195,0.0075473426841199,0.0018342377152293,0.0011042918777093,0.0408925078809261,0.0067994510754942,0.0038760763127356,173.06698393821716
11__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd)_O3(X)_O3(exc),2026-04-09_15-18-35,"30, 30",11,1.6265215663224808e-06,11,1.6265215663224808e-06,1.0,0.0,0.0,0.0016588144159564667,0.0022372747771441,0.0016698351828381,0.0010693332878872,0.0115303825587034,0.0119855962693691,0.0048603895120322,210.55205845832825
