scheme,experiment_name,fullrun_timestamp,seed,split_seed,shuffle_seed,weight_seed,hidden_size,depth,num_parameters,input_size,output_size,num_pressure_conditions,num_species_total,num_species_kept,kept_species,removed_species,activation,learning_rate,batch_size,epochs_ran,best_epoch,final_train_loss,final_val_loss,best_val_loss,test_mse,test_rmse,test_mse_unscaled,test_rmse_unscaled,training_time_s,mean_rel_error_k1,max_rel_error_k1,mean_rel_error_k2,max_rel_error_k2,mean_rel_error_k3,max_rel_error_k3
O2_novib,10__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd)_O3(X),2026-04-17_19-31-37,32,32,32,32,"30, 30",2,1653,20,3,2,11,10,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X)",O3(exc),tanh,0.0001,16,3526,3426,5.44546798866779e-06,3.1363533635158093e-05,3.2625012045173205e-06,3.266602789153694e-06,0.00180737455696203,1.401298464324817e-45,3.743392130574644e-23,159.86825489997864,0.004329959396272898,0.02567148767411709,0.0014545355224981904,0.006334995850920677,0.0008897956577129662,0.002748363185673952
O2_novib,10__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd)_O3(X),2026-04-17_19-31-37,32,32,32,32,"50, 50",2,3753,20,3,2,11,10,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X)",O3(exc),tanh,0.0001,16,3176,3076,1.1001050308752585e-05,3.5726365968002938e-06,2.6585550403979143e-06,2.6366233214503154e-06,0.0016237682474572273,0.0,0.0,243.11979460716248,0.004006539471447468,0.020791618153452873,0.0011251256801187992,0.005172960460186005,0.0007471122080460191,0.002583668800070882
O2_novib,10__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd)_O3(X),2026-04-17_19-31-37,32,32,32,32,"30, 30, 30",3,2583,20,3,2,11,10,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X)",O3(exc),tanh,0.0001,16,3541,3441,9.99405859349483e-06,7.673587042518193e-06,1.5732404972368385e-06,1.2513988849605084e-06,0.0011186594141920536,1.401298464324817e-45,3.743392130574644e-23,187.91505646705627,0.002312424825504422,0.01156227383762598,0.0013637739466503263,0.005284934304654598,0.0008052692282944918,0.002332653384655714
O2_novib,10__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd)_O3(X),2026-04-17_19-31-37,33,33,33,33,"30, 30",2,1653,20,3,2,11,10,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X)",O3(exc),tanh,0.0001,16,4701,4601,7.510368207780023e-06,3.591040673200041e-05,1.9382863501959945e-06,2.673933295227471e-06,0.0016352165896991967,1.401298464324817e-45,3.743392130574644e-23,212.58736443519592,0.0036995145492255688,0.018291614949703217,0.0011850193841382861,0.005609048996120691,0.0011278126621618867,0.0038855678867548704
O2_novib,10__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd)_O3(X),2026-04-17_19-31-37,33,33,33,33,"50, 50",2,3753,20,3,2,11,10,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X)",O3(exc),tanh,0.0001,16,2425,2325,1.3927689429288472e-05,5.713995942642214e-06,5.34722692464129e-06,6.483922788902419e-06,0.0025463548042058905,1.401298464324817e-45,3.743392130574644e-23,185.79144048690796,0.0057105193845927715,0.023087220266461372,0.0025095236487686634,0.009347385726869106,0.0008330512791872025,0.0028474535793066025
O2_novib,10__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd)_O3(X),2026-04-17_19-31-37,33,33,33,33,"30, 30, 30",3,2583,20,3,2,11,10,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X)",O3(exc),tanh,0.0001,16,1610,1510,2.04328860895152e-05,1.7245360540982803e-05,6.982926388445776e-06,8.933042408898473e-06,0.002988819567805737,2.802596928649634e-45,5.293955920339377e-23,85.65861487388611,0.006746840663254261,0.034782420843839645,0.002054477110505104,0.007085805293172598,0.0016541295917704701,0.007568002678453922
O2_novib,10__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd)_O3(X),2026-04-17_19-31-37,34,34,34,34,"30, 30",2,1653,20,3,2,11,10,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X)",O3(exc),tanh,0.0001,16,2754,2654,9.859296572661454e-06,8.766085466049845e-06,5.472880602610531e-06,5.841189704369754e-06,0.002416855333769432,2.802596928649634e-45,5.293955920339377e-23,123.88941979408264,0.005565626546740532,0.02598894201219082,0.002088024280965328,0.008820914663374424,0.0018169026589021087,0.00821602251380682
O2_novib,10__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd)_O3(X),2026-04-17_19-31-37,34,34,34,34,"50, 50",2,3753,20,3,2,11,10,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X)",O3(exc),tanh,0.0001,16,3907,3807,4.714081181494597e-06,2.572269067968591e-06,9.418467834620969e-07,1.0075954151034239e-06,0.0010037905235174439,1.401298464324817e-45,3.743392130574644e-23,299.1966664791107,0.0021066919434815645,0.011963274329900742,0.001008181250654161,0.003662294242531061,0.0007013629656285048,0.003282143734395504
O2_novib,10__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd)_O3(X),2026-04-17_19-31-37,34,34,34,34,"30, 30, 30",3,2583,20,3,2,11,10,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X)",O3(exc),tanh,0.0001,16,2759,2659,6.632805268762039e-06,2.5228032245649956e-06,1.1106898250545782e-06,1.0678394346541609e-06,0.001033363166875112,1.401298464324817e-45,3.743392130574644e-23,157.04702520370483,0.0020213692914694548,0.012341462075710297,0.0013008603127673268,0.007907555438578129,0.0008208137005567551,0.0025429835077375174
O2_novib,10__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd)_O3(X),2026-04-17_19-31-37,35,35,35,35,"30, 30",2,1653,20,3,2,11,10,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X)",O3(exc),tanh,0.0001,16,2390,2290,1.3710977394415144e-05,6.196425470989198e-05,6.80474844557466e-06,8.01787155069178e-06,0.002831584635975372,1.401298464324817e-45,3.743392130574644e-23,108.4606409072876,0.006830930709838867,0.03453576937317848,0.0019032357959076762,0.006042692810297012,0.0012291158782318234,0.0046802908182144165
