scheme,experiment_name,fullrun_timestamp,seed,split_seed,shuffle_seed,weight_seed,hidden_size,depth,num_parameters,input_size,output_size,num_pressure_conditions,num_species_total,num_species_kept,kept_species,removed_species,activation,learning_rate,batch_size,epochs_ran,best_epoch,final_train_loss,final_val_loss,best_val_loss,test_mse,test_rmse,test_mse_unscaled,test_rmse_unscaled,training_time_s,mean_rel_error_k1,max_rel_error_k1,mean_rel_error_k2,max_rel_error_k2,mean_rel_error_k3,max_rel_error_k3
O2_novib,2__O2(X)_O2(a),2026-04-18_22-03-43,32,32,32,32,"30, 30",2,1173,4,3,2,11,2,"O2(X), O2(a)","O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,487,387,0.016579390420681902,0.015303940325975419,0.015279315486550331,0.015421084128320217,0.1241816577773071,1.9050652622495888e-41,4.364705330545911e-21,23.083083391189575,0.26859694719314575,0.723322331905365,0.019334567710757256,0.0930926650762558,0.13438108563423157,0.30716410279273987
O2_novib,2__O2(X)_O2(a),2026-04-18_22-03-43,32,32,32,32,"50, 50",2,2953,4,3,2,11,2,"O2(X), O2(a)","O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,330,230,0.016572688205374612,0.015274444296956062,0.015259784758090972,0.015391354449093342,0.12406189765231443,1.93393201061468e-41,4.3976493841763694e-21,25.16097378730774,0.2669898569583893,0.744229793548584,0.019469594582915306,0.12368649989366531,0.13413380086421967,0.32029178738594055
O2_novib,2__O2(X)_O2(a),2026-04-18_22-03-43,32,32,32,32,"30, 30, 30",3,2103,4,3,2,11,2,"O2(X), O2(a)","O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,329,229,0.01655409970217281,0.015311715751886367,0.015265885218977928,0.015365290455520153,0.12395680883081878,1.8942752640742877e-41,4.352327267191988e-21,27.75124764442444,0.2668798565864563,0.7160986065864563,0.01788240857422352,0.11802882701158524,0.1325826495885849,0.2979978024959564
O2_novib,2__O2(X)_O2(a),2026-04-18_22-03-43,33,33,33,33,"30, 30",2,1173,4,3,2,11,2,"O2(X), O2(a)","O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,679,579,0.01665256042447355,0.014433941207826137,0.014364576041698456,0.015503104776144028,0.12451146443658924,1.93337149122895e-41,4.397012043682562e-21,45.92743229866028,0.27072781324386597,0.7141649723052979,0.018312405794858932,0.08954153209924698,0.13693471252918243,0.3169252872467041
O2_novib,2__O2(X)_O2(a),2026-04-18_22-03-43,33,33,33,33,"50, 50",2,2953,4,3,2,11,2,"O2(X), O2(a)","O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,474,374,0.016651974461144872,0.01463617667555809,0.014364009350538253,0.015465259552001953,0.12435939671774687,1.9200591558178644e-41,4.381847961554422e-21,38.83766222000122,0.270671010017395,0.7192721366882324,0.017792081460356712,0.10158675909042358,0.1358153522014618,0.30971425771713257
O2_novib,2__O2(X)_O2(a),2026-04-18_22-03-43,33,33,33,33,"30, 30, 30",3,2103,4,3,2,11,2,"O2(X), O2(a)","O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,524,424,0.016623148053056664,0.014457989893853664,0.01432668700814247,0.015450275503098965,0.12429913717761264,1.9270656481394884e-41,4.38983558705732e-21,44.34509468078613,0.27088662981987,0.7167649865150452,0.01735767535865307,0.09431499987840652,0.1354871243238449,0.3027140498161316
O2_novib,2__O2(X)_O2(a),2026-04-18_22-03-43,34,34,34,34,"30, 30",2,1173,4,3,2,11,2,"O2(X), O2(a)","O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,593,493,0.016354913463195165,0.017040725611150265,0.01694366928189993,0.015494887717068195,0.12447846286433728,1.9208999348964592e-41,4.382807245244147e-21,40.08522629737854,0.27155593037605286,0.7228571772575378,0.018547048792243004,0.10759767889976501,0.13500559329986572,0.3082571029663086
O2_novib,2__O2(X)_O2(a),2026-04-18_22-03-43,34,34,34,34,"50, 50",2,2953,4,3,2,11,2,"O2(X), O2(a)","O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,419,319,0.016369219695528348,0.01697126653045416,0.016907491795718668,0.015428975224494934,0.1242134261040043,1.9249637004430012e-41,4.3874408263166366e-21,32.97451853752136,0.26859045028686523,0.7274277210235596,0.018463844433426857,0.10374037176370621,0.13569173216819763,0.3198324143886566
O2_novib,2__O2(X)_O2(a),2026-04-18_22-03-43,34,34,34,34,"30, 30, 30",3,2103,4,3,2,11,2,"O2(X), O2(a)","O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,368,268,0.016372575296296012,0.01703101269900799,0.016911447271704672,0.015387367457151413,0.12404582805218164,1.906886950253211e-41,4.366791671528665e-21,29.33182430267334,0.2681271731853485,0.7313700914382935,0.018742261454463005,0.09945844113826752,0.13349735736846924,0.302103191614151
O2_novib,2__O2(X)_O2(a),2026-04-18_22-03-43,35,35,35,35,"30, 30",2,1173,4,3,2,11,2,"O2(X), O2(a)","O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,1138,1038,0.016362103695670763,0.016758408285677432,0.016757780984044075,0.015424933284521103,0.12419715489704707,1.9141737022677e-41,4.375127086460118e-21,77.16163277626038,0.26399630308151245,0.6773061156272888,0.01733418181538582,0.08433841168880463,0.1302444040775299,0.3116779625415802
