scheme,experiment_name,fullrun_timestamp,seed,split_seed,shuffle_seed,weight_seed,hidden_size,depth,num_parameters,input_size,output_size,num_pressure_conditions,num_species_total,num_species_kept,kept_species,removed_species,activation,learning_rate,batch_size,epochs_ran,best_epoch,final_train_loss,final_val_loss,best_val_loss,test_mse,test_rmse,test_mse_unscaled,test_rmse_unscaled,training_time_s,mean_rel_error_k1,max_rel_error_k1,mean_rel_error_k2,max_rel_error_k2,mean_rel_error_k3,max_rel_error_k3
O2_novib,3__O2(X)_O2(a)_O2(b),2026-04-17_19-31-37,32,32,32,32,"30, 30",2,1233,6,3,2,11,3,"O2(X), O2(a), O2(b)","O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,2866,2766,5.1969621199532414e-06,9.992615596274844e-06,3.6708945117425175e-06,3.917095909855561e-06,0.0019791654579280533,1.401298464324817e-45,3.743392130574644e-23,124.48249840736389,0.004725589882582426,0.025208650156855583,0.0011348123662173748,0.006520918570458889,0.0011463894043117762,0.004716051276773214
O2_novib,3__O2(X)_O2(a)_O2(b),2026-04-17_19-31-37,32,32,32,32,"50, 50",2,3053,6,3,2,11,3,"O2(X), O2(a), O2(b)","O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,3095,2995,1.5478985202814025e-06,1.5453629430339787e-06,1.1339980051161546e-06,9.46283819303062e-07,0.0009727712060413086,0.0,0.0,188.49485111236572,0.002263792557641864,0.012615102343261242,0.0005473805940710008,0.0041038538329303265,0.0007963718962855637,0.0024247372057288885
O2_novib,3__O2(X)_O2(a)_O2(b),2026-04-17_19-31-37,32,32,32,32,"30, 30, 30",3,2163,6,3,2,11,3,"O2(X), O2(a), O2(b)","O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,2831,2731,3.622644230745209e-06,9.805376867007e-06,1.6045696565925028e-06,1.4130249610389e-06,0.0011887072646530347,0.0,0.0,144.88241720199585,0.002703753998503089,0.013588575646281242,0.0008954357472248375,0.003992867190390825,0.0005909691099077463,0.0025005831848829985
O2_novib,3__O2(X)_O2(a)_O2(b),2026-04-17_19-31-37,33,33,33,33,"30, 30",2,1233,6,3,2,11,3,"O2(X), O2(a), O2(b)","O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,5000,4970,2.780336798827597e-06,1.2981104509890428e-06,1.2502889967436204e-06,1.351227069790184e-06,0.0011624229306883894,1.401298464324817e-45,3.743392130574644e-23,218.72786164283752,0.0026705311611294746,0.012408465147018433,0.0006511494284495711,0.004261762835085392,0.000977610470727086,0.0044846138916909695
O2_novib,3__O2(X)_O2(a)_O2(b),2026-04-17_19-31-37,33,33,33,33,"50, 50",2,3053,6,3,2,11,3,"O2(X), O2(a), O2(b)","O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,2977,2877,3.149368527980793e-06,1.908182894112542e-06,9.96544422378065e-07,1.0514605719436076e-06,0.0010254075150610159,1.401298464324817e-45,3.743392130574644e-23,179.40799951553345,0.002135814633220434,0.01316980179399252,0.0007399113965220749,0.005412708036601543,0.0010411448311060667,0.003441817592829466
O2_novib,3__O2(X)_O2(a)_O2(b),2026-04-17_19-31-37,33,33,33,33,"30, 30, 30",3,2163,6,3,2,11,3,"O2(X), O2(a), O2(b)","O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,2364,2264,1.5503307728674069e-06,2.1340616876841524e-06,9.351128414891718e-07,8.054215072661464e-07,0.000897452788321562,1.401298464324817e-45,3.743392130574644e-23,121.32827734947205,0.0016496316529810429,0.0070113674737513065,0.0009913693647831678,0.003544884268194437,0.0009186723618768156,0.0031894631683826447
O2_novib,3__O2(X)_O2(a)_O2(b),2026-04-17_19-31-37,34,34,34,34,"30, 30",2,1233,6,3,2,11,3,"O2(X), O2(a), O2(b)","O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,3448,3348,7.5397025971647555e-06,3.729387999555911e-06,3.6513286431727464e-06,4.142018497077515e-06,0.0020351949530886507,1.401298464324817e-45,3.743392130574644e-23,149.82679224014282,0.004812499508261681,0.017978720366954803,0.0015900495927780867,0.0068237148225307465,0.0013565728440880775,0.006027715280652046
O2_novib,3__O2(X)_O2(a)_O2(b),2026-04-17_19-31-37,34,34,34,34,"50, 50",2,3053,6,3,2,11,3,"O2(X), O2(a), O2(b)","O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,4585,4485,1.7911491017407064e-06,1.660092789279588e-06,9.581476660969201e-07,8.007098699636117e-07,0.0008948239323820143,0.0,0.0,280.01701974868774,0.0020479338709264994,0.011564577929675579,0.000535446684807539,0.003046792931854725,0.0005570577923208475,0.0018849156331270933
O2_novib,3__O2(X)_O2(a)_O2(b),2026-04-17_19-31-37,34,34,34,34,"30, 30, 30",3,2163,6,3,2,11,3,"O2(X), O2(a), O2(b)","O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,2840,2740,3.9512114861079475e-06,2.81768102922797e-06,2.4671966457390226e-06,2.357465746172238e-06,0.0015354040986568448,1.401298464324817e-45,3.743392130574644e-23,146.0045714378357,0.003101935377344489,0.014096437022089958,0.0019092608708888292,0.008241117931902409,0.0012802797136828303,0.004914024379104376
O2_novib,3__O2(X)_O2(a)_O2(b),2026-04-17_19-31-37,35,35,35,35,"30, 30",2,1233,6,3,2,11,3,"O2(X), O2(a), O2(b)","O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,5000,4960,1.916673229768801e-06,2.2054525379644474e-06,1.0061543116535176e-06,8.692768460605294e-07,0.0009323501735187962,1.401298464324817e-45,3.743392130574644e-23,220.90391945838928,0.0019280409906059504,0.01213587075471878,0.0006815154920332134,0.002990765729919076,0.0007846140069887042,0.0029635329265147448
O2_novib,3__O2(X)_O2(a)_O2(b),2026-04-17_19-31-37,35,35,35,35,"50, 50",2,3053,6,3,2,11,3,"O2(X), O2(a), O2(b)","O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,3292,3192,3.388264440218336e-06,1.8834192269423512e-06,1.8511907956053619e-06,1.783457150850154e-06,0.0013354613999850965,1.401298464324817e-45,3.743392130574644e-23,201.98789811134338,0.003204755252227187,0.017044812440872192,0.0008875885396264493,0.004894155077636242,0.0012028001947328448,0.005846331361681223
O2_novib,3__O2(X)_O2(a)_O2(b),2026-04-17_19-31-37,35,35,35,35,"30, 30, 30",3,2163,6,3,2,11,3,"O2(X), O2(a), O2(b)","O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,3204,3104,3.2634581243150428e-06,1.3864694938092726e-06,7.350146506723832e-07,6.17502507793688e-07,0.0007858132779443778,0.0,0.0,164.79804396629333,0.001628231373615563,0.00987987034022808,0.0005431610043160617,0.0029758699238300323,0.0008157713455148041,0.003490473609417677
O2_novib,3__O2(X)_O2(a)_O2(b),2026-04-17_19-31-37,36,36,36,36,"30, 30",2,1233,6,3,2,11,3,"O2(X), O2(a), O2(b)","O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,5000,4992,3.0391380677327915e-06,2.394063531028223e-06,1.955426500899193e-06,1.8061488162857131e-06,0.0013439303613973876,1.401298464324817e-45,3.743392130574644e-23,215.5297350883484,0.0028178237844258547,0.013844524510204792,0.0010828672675415874,0.0034186174161732197,0.0014070686884224415,0.007972290739417076
O2_novib,3__O2(X)_O2(a)_O2(b),2026-04-17_19-31-37,36,36,36,36,"50, 50",2,3053,6,3,2,11,3,"O2(X), O2(a), O2(b)","O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,2627,2527,5.441618457350867e-06,3.4945600236824247e-06,3.4068944751197704e-06,3.4326851618970977e-06,0.0018527507014968576,1.401298464324817e-45,3.743392130574644e-23,158.28817009925842,0.0047034649178385735,0.022304382175207138,0.0012398833641782403,0.003908620681613684,0.0011682778131216764,0.0054783266969025135
