scheme,experiment_name,fullrun_timestamp,seed,split_seed,shuffle_seed,weight_seed,hidden_size,depth,num_parameters,input_size,output_size,num_pressure_conditions,num_species_total,num_species_kept,kept_species,removed_species,activation,learning_rate,batch_size,epochs_ran,best_epoch,final_train_loss,final_val_loss,best_val_loss,test_mse,test_rmse,test_mse_unscaled,test_rmse_unscaled,training_time_s,mean_rel_error_k1,max_rel_error_k1,mean_rel_error_k2,max_rel_error_k2,mean_rel_error_k3,max_rel_error_k3
O2_novib,5__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X),2026-04-17_19-31-37,32,32,32,32,"30, 30",2,1353,10,3,2,11,5,"O2(X), O2(a), O2(b), O2(Hz), O2+(X)","O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,4070,3970,2.8926542472618166e-06,2.4864132774382597e-06,1.944920104506309e-06,1.839533638303692e-06,0.001356294082529188,1.401298464324817e-45,3.743392130574644e-23,291.4905459880829,0.002547495299950242,0.011859636753797531,0.0017698683077469468,0.007814244367182255,0.001179841929115355,0.0032603833824396133
O2_novib,5__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X),2026-04-17_19-31-37,32,32,32,32,"50, 50",2,3253,10,3,2,11,5,"O2(X), O2(a), O2(b), O2(Hz), O2+(X)","O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,3459,3359,1.9248045643709905e-06,3.940749083994888e-06,1.347963170701405e-06,1.3700715726372437e-06,0.001170500564988007,1.401298464324817e-45,3.743392130574644e-23,285.8868942260742,0.002383979968726635,0.011602198705077171,0.001074720174074173,0.005821996834129095,0.001328950049355626,0.006628869101405144
O2_novib,5__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X),2026-04-17_19-31-37,32,32,32,32,"30, 30, 30",3,2283,10,3,2,11,5,"O2(X), O2(a), O2(b), O2(Hz), O2+(X)","O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,2702,2602,3.892607470435097e-06,1.2067243642377434e-06,1.0663201487659536e-06,9.456252314521407e-07,0.0009724326359456169,1.401298464324817e-45,3.743392130574644e-23,196.6317970752716,0.0020440530497580767,0.011565299704670906,0.0010701400460675359,0.003953112754970789,0.0007564128027297556,0.0024130851961672306
O2_novib,5__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X),2026-04-17_19-31-37,33,33,33,33,"30, 30",2,1353,10,3,2,11,5,"O2(X), O2(a), O2(b), O2(Hz), O2+(X)","O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,3254,3154,5.585389869035377e-06,4.318358978707693e-06,3.2082118968901342e-06,4.243930106895277e-06,0.002060080121474715,2.802596928649634e-45,5.293955920339377e-23,206.76808190345764,0.004711993504315615,0.02389153279364109,0.0018053522799164057,0.0077712032943964005,0.0014656813582405448,0.006553130690008402
O2_novib,5__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X),2026-04-17_19-31-37,33,33,33,33,"50, 50",2,3253,10,3,2,11,5,"O2(X), O2(a), O2(b), O2(Hz), O2+(X)","O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,2763,2663,6.365498437743453e-06,1.015592837575241e-05,3.569689706637291e-06,5.066004177933792e-06,0.0022507785715022684,2.802596928649634e-45,5.293955920339377e-23,230.32498717308044,0.005122676026076078,0.026440424844622612,0.0016059799818322062,0.006846804171800613,0.0016927175456658006,0.007362696807831526
O2_novib,5__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X),2026-04-17_19-31-37,33,33,33,33,"30, 30, 30",3,2283,10,3,2,11,5,"O2(X), O2(a), O2(b), O2(Hz), O2+(X)","O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,2264,2164,4.318020079254994e-06,1.3654614394909004e-06,1.3097975261189277e-06,1.6366639101761393e-06,0.0012793216601684422,4.203895392974451e-45,6.483745362808791e-23,170.84385299682617,0.0023394294548779726,0.0103143360465765,0.0010201032273471355,0.0043966202065348625,0.0018726624548435211,0.00831467192620039
O2_novib,5__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X),2026-04-17_19-31-37,34,34,34,34,"30, 30",2,1353,10,3,2,11,5,"O2(X), O2(a), O2(b), O2(Hz), O2+(X)","O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,3868,3768,4.300223153121705e-06,5.0298910537094345e-06,2.736741512308072e-06,3.839666078420123e-06,0.0019595065905528676,2.802596928649634e-45,5.293955920339377e-23,261.1935317516327,0.0037819158751517534,0.01610691472887993,0.00119331618770957,0.0059063429944217205,0.0015527114737778902,0.00560859264805913
O2_novib,5__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X),2026-04-17_19-31-37,34,34,34,34,"50, 50",2,3253,10,3,2,11,5,"O2(X), O2(a), O2(b), O2(Hz), O2+(X)","O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,1821,1721,8.533504011817665e-06,7.804763117746916e-06,5.685012019966962e-06,7.224676664918661e-06,0.0026878758648640495,1.401298464324817e-45,3.743392130574644e-23,154.00441527366638,0.006536540575325489,0.030956799164414406,0.0016286835307255387,0.00743246590718627,0.00102398416493088,0.003932712599635124
O2_novib,5__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X),2026-04-17_19-31-37,34,34,34,34,"30, 30, 30",3,2283,10,3,2,11,5,"O2(X), O2(a), O2(b), O2(Hz), O2+(X)","O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,2362,2262,6.444504652891839e-06,3.4483178751543165e-06,2.980430404022627e-06,3.848883807222592e-06,0.0019618572341591504,1.401298464324817e-45,3.743392130574644e-23,197.23566126823425,0.0028730062767863274,0.04068782180547714,0.0016796025447547436,0.009235410951077938,0.00107148801907897,0.003296764101833105
O2_novib,5__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X),2026-04-17_19-31-37,35,35,35,35,"30, 30",2,1353,10,3,2,11,5,"O2(X), O2(a), O2(b), O2(Hz), O2+(X)","O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,3042,2942,4.072034711902638e-06,2.892989950851188e-06,1.967228918147157e-06,2.1084003947180463e-06,0.0014520331933940238,1.401298464324817e-45,3.743392130574644e-23,207.81381273269653,0.003110084915533662,0.013012648560106754,0.0015197009779512882,0.005685604643076658,0.00126607995480299,0.004114177078008652
