scheme,experiment_name,fullrun_timestamp,seed,split_seed,shuffle_seed,weight_seed,hidden_size,depth,num_parameters,input_size,output_size,num_pressure_conditions,num_species_total,num_species_kept,kept_species,removed_species,activation,learning_rate,batch_size,epochs_ran,best_epoch,final_train_loss,final_val_loss,best_val_loss,test_mse,test_rmse,test_mse_unscaled,test_rmse_unscaled,training_time_s,mean_rel_error_k1,max_rel_error_k1,mean_rel_error_k2,max_rel_error_k2,mean_rel_error_k3,max_rel_error_k3
O2_novib,9__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd),2026-04-17_19-31-37,32,32,32,32,"30, 30",2,1593,18,3,2,11,9,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd)","O3(X), O3(exc)",tanh,0.0001,16,1774,1674,1.553668043925427e-05,1.7472205399826635e-05,6.7956702332594436e-06,7.695415661146399e-06,0.0027740612215930633,4.203895392974451e-45,6.483745362808791e-23,79.14216041564941,0.0065400986932218075,0.03368978202342987,0.00242899009026587,0.01124635897576809,0.0018804367864504457,0.006369478534907103
O2_novib,9__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd),2026-04-17_19-31-37,32,32,32,32,"50, 50",2,3653,18,3,2,11,9,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd)","O3(X), O3(exc)",tanh,0.0001,16,1992,1892,1.0119722450730882e-05,2.055557655694429e-05,4.702996993728448e-06,5.030778993386775e-06,0.0022429398104690137,1.401298464324817e-45,3.743392130574644e-23,127.04869103431702,0.005358896683901548,0.0276789553463459,0.0019078482873737812,0.00969183724373579,0.0013312207302078605,0.0048120045103132725
O2_novib,9__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd),2026-04-17_19-31-37,32,32,32,32,"30, 30, 30",3,2523,18,3,2,11,9,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd)","O3(X), O3(exc)",tanh,0.0001,16,1917,1817,2.2996308679365836e-06,2.9003273448324763e-06,1.1398364813430818e-06,1.2047231621181709e-06,0.0010975988165619398,2.802596928649634e-45,5.293955920339377e-23,101.29785585403442,0.002034866949543357,0.007716229651123285,0.0010621105320751667,0.005706277210265398,0.001341473194770515,0.006997624412178993
O2_novib,9__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd),2026-04-17_19-31-37,33,33,33,33,"30, 30",2,1593,18,3,2,11,9,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd)","O3(X), O3(exc)",tanh,0.0001,16,2764,2664,8.538064693210699e-06,8.265273172582966e-06,5.16623045768938e-06,6.774362645955989e-06,0.0026027605817585276,2.802596928649634e-45,5.293955920339377e-23,123.68545055389404,0.00646953983232379,0.037540946155786514,0.0016680731205269694,0.011305849067866802,0.0018237157491967082,0.007628588937222958
O2_novib,9__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd),2026-04-17_19-31-37,33,33,33,33,"50, 50",2,3653,18,3,2,11,9,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd)","O3(X), O3(exc)",tanh,0.0001,16,2323,2223,1.033974560616318e-05,1.1698605994752143e-05,3.5839672273141333e-06,4.792326308233896e-06,0.00218913825699381,2.802596928649634e-45,5.293955920339377e-23,150.29713821411133,0.004508580546826124,0.02097841165959835,0.0021044770255684853,0.010797034949064255,0.0014861439121887088,0.005583695136010647
O2_novib,9__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd),2026-04-17_19-31-37,33,33,33,33,"30, 30, 30",3,2523,18,3,2,11,9,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd)","O3(X), O3(exc)",tanh,0.0001,16,1521,1421,5.791009034510352e-06,3.4761445203912443e-06,1.3884445615985896e-06,1.5663796375520178e-06,0.0012515508929132758,2.802596928649634e-45,5.293955920339377e-23,81.74996399879456,0.0019851909019052982,0.00983305461704731,0.0016262790886685252,0.008491179905831814,0.0013456246815621853,0.006992069538682699
O2_novib,9__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd),2026-04-17_19-31-37,34,34,34,34,"30, 30",2,1593,18,3,2,11,9,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd)","O3(X), O3(exc)",tanh,0.0001,16,2161,2061,1.0123817307127561e-05,6.910631745995488e-06,6.873410638945643e-06,7.740547516732477e-06,0.002782183947321326,4.203895392974451e-45,6.483745362808791e-23,96.58527946472168,0.006313178688287735,0.03237488493323326,0.002437603659927845,0.008095087483525276,0.0021400628611445427,0.009976646862924099
O2_novib,9__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd),2026-04-17_19-31-37,34,34,34,34,"50, 50",2,3653,18,3,2,11,9,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd)","O3(X), O3(exc)",tanh,0.0001,16,1904,1804,1.45189337975656e-05,8.724453546165022e-06,6.5084954803751316e-06,7.295819159480743e-06,0.002701077407161954,2.802596928649634e-45,5.293955920339377e-23,123.12405490875244,0.006752868182957172,0.03384893760085106,0.0019112910376861691,0.00799466297030449,0.001433364930562675,0.005418703891336918
O2_novib,9__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd),2026-04-17_19-31-37,34,34,34,34,"30, 30, 30",3,2523,18,3,2,11,9,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd)","O3(X), O3(exc)",tanh,0.0001,16,3051,2951,7.05710619917631e-06,6.428350370697445e-06,2.0355792776172165e-06,2.2117053504189244e-06,0.0014871803355406916,4.203895392974451e-45,6.483745362808791e-23,161.09769797325134,0.0023975991643965244,0.010658317245543003,0.0011797614861279726,0.0052865492179989815,0.0017357267206534743,0.005654875189065933
O2_novib,9__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd),2026-04-17_19-31-37,35,35,35,35,"30, 30",2,1593,18,3,2,11,9,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd)","O3(X), O3(exc)",tanh,0.0001,16,2047,1947,1.032886376884158e-05,8.174062204489018e-06,5.9666574270522685e-06,6.5892713791981805e-06,0.0025669576114922855,2.802596928649634e-45,5.293955920339377e-23,90.64913201332092,0.006133634597063065,0.03029746189713478,0.0012970896204933524,0.004981661681085825,0.0015689731808379292,0.004677541088312864
