scheme,experiment_name,fullrun_timestamp,seed,split_seed,shuffle_seed,weight_seed,hidden_size,depth,num_parameters,input_size,output_size,num_pressure_conditions,num_species_total,num_species_kept,kept_species,removed_species,activation,learning_rate,batch_size,epochs_ran,best_epoch,final_train_loss,final_val_loss,best_val_loss,test_mse,test_rmse,test_mse_unscaled,test_rmse_unscaled,training_time_s,mean_rel_error_k1,max_rel_error_k1,mean_rel_error_k2,max_rel_error_k2,mean_rel_error_k3,max_rel_error_k3
O2_novib,4__O2(X)_O2(a)_O2(b)_O2(Hz),2026-04-17_19-31-37,32,32,32,32,"30, 30",2,1293,8,3,2,11,4,"O2(X), O2(a), O2(b), O2(Hz)","O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,1903,1803,9.6216283357838e-06,8.092728839983466e-06,6.649799961451208e-06,7.688595360377803e-06,0.0027728316502048595,2.802596928649634e-45,5.293955920339377e-23,119.02316880226135,0.006595730781555176,0.03249630704522133,0.0025165327824652195,0.007989417761564255,0.0015657093608751893,0.006969851907342672
O2_novib,4__O2(X)_O2(a)_O2(b)_O2(Hz),2026-04-17_19-31-37,32,32,32,32,"50, 50",2,3153,8,3,2,11,4,"O2(X), O2(a), O2(b), O2(Hz)","O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,3611,3511,1.6549042811675463e-06,1.8485438249626895e-06,7.377071710834571e-07,8.303158551825618e-07,0.0009112166894776246,1.401298464324817e-45,3.743392130574644e-23,221.47082614898682,0.0017777866451069713,0.008592993021011353,0.0009092057007364929,0.004705663304775953,0.0009604326914995909,0.0028539462946355343
O2_novib,4__O2(X)_O2(a)_O2(b)_O2(Hz),2026-04-17_19-31-37,32,32,32,32,"30, 30, 30",3,2223,8,3,2,11,4,"O2(X), O2(a), O2(b), O2(Hz)","O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,2439,2339,2.3689597628617777e-06,4.305887850932777e-06,1.3078448728265357e-06,1.5203771681626677e-06,0.0012330357529944814,2.802596928649634e-45,5.293955920339377e-23,127.5943808555603,0.0021025699097663164,0.010812172666192055,0.0014379199128597975,0.004692978225648403,0.0014060939429327846,0.005094220861792564
O2_novib,4__O2(X)_O2(a)_O2(b)_O2(Hz),2026-04-17_19-31-37,33,33,33,33,"30, 30",2,1293,8,3,2,11,4,"O2(X), O2(a), O2(b), O2(Hz)","O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,3329,3229,1.145280053202037e-06,1.1840181764455337e-06,5.790152101781132e-07,6.764848308193905e-07,0.0008224869791184481,1.401298464324817e-45,3.743392130574644e-23,153.17602038383484,0.0014347316464409232,0.004769884515553713,0.0006448995554819703,0.005120967049151659,0.0012520326999947429,0.0038318242877721786
O2_novib,4__O2(X)_O2(a)_O2(b)_O2(Hz),2026-04-17_19-31-37,33,33,33,33,"50, 50",2,3153,8,3,2,11,4,"O2(X), O2(a), O2(b), O2(Hz)","O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,3243,3143,2.1733615694251462e-06,1.2828231638195576e-06,1.0050797413896362e-06,1.1852940815515467e-06,0.0010887121206046835,1.401298464324817e-45,3.743392130574644e-23,213.76407933235168,0.0021996686700731516,0.01073960680514574,0.0011720198672264814,0.00559302419424057,0.0009048977517522871,0.003412074875086546
O2_novib,4__O2(X)_O2(a)_O2(b)_O2(Hz),2026-04-17_19-31-37,33,33,33,33,"30, 30, 30",3,2223,8,3,2,11,4,"O2(X), O2(a), O2(b), O2(Hz)","O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,1908,1808,1.8409656697965855e-06,5.966696494397184e-07,5.511483800546557e-07,6.906334419909399e-07,0.0008310435860957835,1.401298464324817e-45,3.743392130574644e-23,99.80060720443726,0.0010863086208701134,0.005774976685643196,0.001198559650219977,0.006846174597740173,0.0009626519167795777,0.0039650932885706425
O2_novib,4__O2(X)_O2(a)_O2(b)_O2(Hz),2026-04-17_19-31-37,34,34,34,34,"30, 30",2,1293,8,3,2,11,4,"O2(X), O2(a), O2(b), O2(Hz)","O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,4689,4589,2.374769892917862e-06,1.3676892513103668e-06,1.3519289041141747e-06,1.675333237471932e-06,0.0012943466450189966,1.401298464324817e-45,3.743392130574644e-23,206.40527653694153,0.002806703094393015,0.011678003706037998,0.0014669954543933272,0.005719643086194992,0.0009081109892576933,0.0039022862911224365
O2_novib,4__O2(X)_O2(a)_O2(b)_O2(Hz),2026-04-17_19-31-37,34,34,34,34,"50, 50",2,3153,8,3,2,11,4,"O2(X), O2(a), O2(b), O2(Hz)","O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,3266,3166,3.8324794564282964e-06,2.253385387120943e-06,1.498534631991788e-06,1.570166091369174e-06,0.00125306268453305,1.401298464324817e-45,3.743392130574644e-23,203.40083980560303,0.0028450225945562124,0.013765829615294933,0.0008537370595149696,0.00412169611081481,0.0014370712451636791,0.00594806345179677
O2_novib,4__O2(X)_O2(a)_O2(b)_O2(Hz),2026-04-17_19-31-37,34,34,34,34,"30, 30, 30",3,2223,8,3,2,11,4,"O2(X), O2(a), O2(b), O2(Hz)","O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,2688,2588,4.7227650760659244e-06,1.3361978199100122e-06,1.3187954573368187e-06,1.2478737971832743e-06,0.0011170827172520728,1.401298464324817e-45,3.743392130574644e-23,138.0962405204773,0.002283463953062892,0.014616331085562706,0.000879296800121665,0.0034005565103143454,0.0012251089792698622,0.005205744877457619
O2_novib,4__O2(X)_O2(a)_O2(b)_O2(Hz),2026-04-17_19-31-37,35,35,35,35,"30, 30",2,1293,8,3,2,11,4,"O2(X), O2(a), O2(b), O2(Hz)","O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,3259,3159,5.644837269250679e-06,3.170743329974357e-06,3.0594414874940414e-06,3.364018994034268e-06,0.0018341262208567512,1.401298464324817e-45,3.743392130574644e-23,141.8849437236786,0.004177863709628582,0.018886666744947433,0.0016432926058769226,0.005075824446976185,0.0013242559507489204,0.0069706132635474205
