scheme,experiment_name,fullrun_timestamp,seed,split_seed,shuffle_seed,weight_seed,hidden_size,depth,num_parameters,input_size,output_size,num_pressure_conditions,num_species_total,num_species_kept,kept_species,removed_species,activation,learning_rate,batch_size,epochs_ran,best_epoch,final_train_loss,final_val_loss,best_val_loss,test_mse,test_rmse,test_mse_unscaled,test_rmse_unscaled,training_time_s,mean_rel_error_k1,max_rel_error_k1,mean_rel_error_k2,max_rel_error_k2,mean_rel_error_k3,max_rel_error_k3
O2_novib,8__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd),2026-04-17_19-31-37,32,32,32,32,"30, 30",2,1533,16,3,2,11,8,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd)","O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,3229,3129,7.924553487504858e-06,9.523583103145938e-06,6.495864381577121e-06,6.916343863849761e-06,0.00262989426856856,2.802596928649634e-45,5.293955920339377e-23,144.07049655914307,0.005410057958215475,0.023079700767993927,0.0016800259472802281,0.006753905210644007,0.0013850231189280748,0.006774679757654667
O2_novib,8__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd),2026-04-17_19-31-37,32,32,32,32,"50, 50",2,3553,16,3,2,11,8,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd)","O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,2107,2007,1.0143630301576598e-05,8.073889403021894e-06,6.122567756392528e-06,6.945600034669042e-06,0.002635450632182102,2.802596928649634e-45,5.293955920339377e-23,132.87333393096924,0.00624648854136467,0.028505632653832436,0.0017120251432061195,0.007730361074209213,0.001611779211089015,0.0057942564599215984
O2_novib,8__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd),2026-04-17_19-31-37,32,32,32,32,"30, 30, 30",3,2463,16,3,2,11,8,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd)","O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,1815,1715,5.955533681319341e-06,2.712940713536227e-06,2.5640726471465313e-06,2.7987216526526026e-06,0.0016729380301292102,4.203895392974451e-45,6.483745362808791e-23,95.79311442375183,0.0030339304357767105,0.017953135073184967,0.0018303500255569816,0.010430393740534782,0.0018848770996555686,0.006286005489528179
O2_novib,8__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd),2026-04-17_19-31-37,33,33,33,33,"30, 30",2,1533,16,3,2,11,8,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd)","O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,2025,1925,5.8207514990095255e-06,5.954755906714127e-06,3.7110992343514224e-06,4.193794211460045e-06,0.0020478755361251926,1.401298464324817e-45,3.743392130574644e-23,89.77864146232605,0.005039094015955925,0.02906806580722332,0.0016995668411254883,0.006201886106282473,0.0013462654314935207,0.003419032320380211
O2_novib,8__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd),2026-04-17_19-31-37,33,33,33,33,"50, 50",2,3553,16,3,2,11,8,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd)","O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,3053,2953,2.3773232977772648e-06,2.1442487013700883e-06,8.463515746370831e-07,1.1561402288862155e-06,0.0010752396146376934,1.401298464324817e-45,3.743392130574644e-23,194.5784924030304,0.002249231096357107,0.011759334243834019,0.0009331356850452721,0.005366663448512554,0.0010849072132259607,0.003587969345971942
O2_novib,8__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd),2026-04-17_19-31-37,33,33,33,33,"30, 30, 30",3,2463,16,3,2,11,8,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd)","O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,1300,1200,6.532952975248918e-06,1.527021642687032e-05,2.5997321699833265e-06,2.745904339462868e-06,0.0016570770469301866,4.203895392974451e-45,6.483745362808791e-23,69.23940801620483,0.0029749337118119,0.014323800802230835,0.0019035552395507693,0.012623591348528862,0.0019591236487030983,0.006508792284876108
O2_novib,8__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd),2026-04-17_19-31-37,34,34,34,34,"30, 30",2,1533,16,3,2,11,8,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd)","O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,4064,3964,5.102281682209448e-06,4.328158547650674e-06,1.970990310837806e-06,1.9098029042652342e-06,0.0013819561875346245,1.401298464324817e-45,3.743392130574644e-23,181.47813320159912,0.0029256618581712246,0.013655070215463638,0.001104770228266716,0.004641583189368248,0.0014158490812405944,0.0064391796477139
O2_novib,8__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd),2026-04-17_19-31-37,34,34,34,34,"50, 50",2,3553,16,3,2,11,8,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd)","O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,4372,4272,2.4377857471336028e-06,1.3889863521399093e-06,6.651390481238196e-07,8.206773145502666e-07,0.0009059124210155563,1.401298464324817e-45,3.743392130574644e-23,279.73042249679565,0.0015921596204861999,0.006079795304685831,0.0008409951697103679,0.0031850733794271946,0.0009596191230230033,0.0035195746459066868
O2_novib,8__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd),2026-04-17_19-31-37,34,34,34,34,"30, 30, 30",3,2463,16,3,2,11,8,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd)","O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,2747,2647,5.195791228389781e-06,1.115854534873506e-05,1.757782256390783e-06,1.9019950059373514e-06,0.0013791283500593232,4.203895392974451e-45,6.483745362808791e-23,144.11946392059326,0.002521517686545849,0.013589045032858849,0.0011662222677841783,0.004735410679131746,0.002044016495347023,0.009116556495428085
O2_novib,8__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd),2026-04-17_19-31-37,35,35,35,35,"30, 30",2,1533,16,3,2,11,8,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd)","O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,2406,2306,1.6762289788958797e-05,1.63587285351241e-05,8.502389428031164e-06,1.0941313121293206e-05,0.0033077655783463867,2.802596928649634e-45,5.293955920339377e-23,106.62221336364746,0.008022197522222996,0.042697835713624954,0.001508795190602541,0.006710809655487537,0.0015167068922892213,0.005167221650481224
O2_novib,8__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd),2026-04-17_19-31-37,35,35,35,35,"50, 50",2,3553,16,3,2,11,8,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd)","O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,3155,3055,1.0326600926823124e-05,4.247511315043084e-06,3.5399615080677903e-06,4.5133106141292956e-06,0.002124455368824983,2.802596928649634e-45,5.293955920339377e-23,199.60859656333923,0.004885692149400711,0.026387928053736687,0.0014699148014187813,0.00615970091894269,0.0018062005983665586,0.007159373722970486
O2_novib,8__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd),2026-04-17_19-31-37,35,35,35,35,"30, 30, 30",3,2463,16,3,2,11,8,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd)","O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,1223,1123,2.0115443286259607e-05,1.4290404978964943e-05,8.606807459727862e-06,1.1511706361488905e-05,0.0033928905613781453,4.203895392974451e-45,6.483745362808791e-23,65.6187391281128,0.007797465194016695,0.039316173642873764,0.002678927266970277,0.02212139032781124,0.0019765363540500402,0.008119160309433937
O2_novib,8__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd),2026-04-17_19-31-37,36,36,36,36,"30, 30",2,1533,16,3,2,11,8,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd)","O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,4473,4373,3.7085055525191515e-06,2.1413657486846205e-06,2.0917343954351964e-06,2.224247737103724e-06,0.0014913912086048128,2.802596928649634e-45,5.293955920339377e-23,200.4746608734131,0.0031270324252545834,0.013865145854651928,0.0015059751458466053,0.005341332405805588,0.0014246096834540367,0.0053063551895320415
O2_novib,8__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd),2026-04-17_19-31-37,36,36,36,36,"50, 50",2,3553,16,3,2,11,8,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd)","O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,2086,1986,1.1326229493230737e-05,6.423717059078626e-06,5.241462095000315e-06,6.6093421082769055e-06,0.00257086407814122,2.802596928649634e-45,5.293955920339377e-23,131.09575200080872,0.006105361040681601,0.029835419729351997,0.0015281722880899906,0.007142679765820503,0.0013468143297359347,0.005310181528329849
O2_novib,8__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd),2026-04-17_19-31-37,36,36,36,36,"30, 30, 30",3,2463,16,3,2,11,8,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd)","O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,2617,2517,3.6616866145777747e-06,1.649624107812997e-05,9.327111683887779e-07,1.0833185797309852e-06,0.001040825912307618,2.802596928649634e-45,5.293955920339377e-23,138.30992126464844,0.0017060271929949522,0.0063045090064406395,0.0012111495016142726,0.004926309920847416,0.0013012789422646165,0.005046613048762083
O2_novib,8__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd),2026-04-17_19-31-37,37,37,37,37,"30, 30",2,1533,16,3,2,11,8,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd)","O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,1811,1711,1.6612953002347948e-05,8.052634948398918e-06,7.850084166420857e-06,1.0734045645222068e-05,0.003276285342460584,2.802596928649634e-45,5.293955920339377e-23,80.6987156867981,0.007737102918326855,0.040378715842962265,0.00217742589302361,0.007598921190947294,0.001344956923276186,0.003852478927001357
O2_novib,8__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd),2026-04-17_19-31-37,37,37,37,37,"50, 50",2,3553,16,3,2,11,8,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd)","O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,2062,1962,8.366331852206107e-06,5.793300133518642e-06,4.240724997544021e-06,5.215646979195299e-06,0.002283779100349966,1.401298464324817e-45,3.743392130574644e-23,130.2799415588379,0.0053994543850421906,0.03047058917582035,0.0015445834724232554,0.006764600984752178,0.0012851852225139737,0.005477411672472954
O2_novib,8__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd),2026-04-17_19-31-37,37,37,37,37,"30, 30, 30",3,2463,16,3,2,11,8,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd)","O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,2040,1940,6.72344501961359e-06,2.988728974742116e-06,2.2356314366334116e-06,2.9368729883572087e-06,0.0017137307222423273,2.802596928649634e-45,5.293955920339377e-23,106.41444802284241,0.003463580971583724,0.014894235879182816,0.0011012627510353923,0.003481048159301281,0.0014635170809924603,0.004302930552512407
O2_novib,8__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd),2026-04-17_19-31-37,38,38,38,38,"30, 30",2,1533,16,3,2,11,8,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd)","O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,3644,3544,5.2167746677393245e-06,4.408702552609611e-06,2.2390536059901934e-06,2.2914400688023306e-06,0.0015137503323871908,1.401298464324817e-45,3.743392130574644e-23,161.80436754226685,0.003364414907991886,0.018841231241822243,0.0015394011279568076,0.006085903383791447,0.0011343396035954356,0.006732198875397444
O2_novib,8__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd),2026-04-17_19-31-37,38,38,38,38,"50, 50",2,3553,16,3,2,11,8,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd)","O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,3295,3195,5.907270516319032e-06,2.5480027579760646e-06,1.97804487470421e-06,2.1173748336877907e-06,0.001455120212796108,1.401298464324817e-45,3.743392130574644e-23,213.1292371749878,0.003505959175527096,0.016786767169833183,0.0013209916651248932,0.006670649163424969,0.0008486637962050736,0.003315945155918598
