experiment_folder,run_timestamp,source_mode,hidden_size_label,num_species_kept,test_mse,test_mse_std,baseline_num_species,baseline_test_mse,baseline_test_mse_std,mse_ratio_vs_baseline,mse_ratio_vs_baseline_std,relative_deterioration_test_mse_pct,relative_deterioration_test_mse_pct_std,mean_rel_error_avg,mean_rel_error_avg_std,mean_rel_error_k1,mean_rel_error_k1_std,mean_rel_error_k2,mean_rel_error_k2_std,mean_rel_error_k3,mean_rel_error_k3_std,max_rel_error_k1,max_rel_error_k2,max_rel_error_k3,training_time_s,training_time_s_std
2__O2(X)_O2(a),2026-04-17_19-31-37,seed_aggregate,"30, 30, 30",2,0.0152514211833477,0.0003914907442091,11,1.955560750843688e-06,1.4344503439113132e-06,7799.001476567667,5724.254905699673,779800.1476567667,572425.4905699673,0.1381230318297942,0.0024987988302503238,0.2640713937580585,0.0070073850874263,0.018121888116002,0.000718393867008,0.1321758136153221,0.0025644541007599,0.6809321820735932,0.0969911143183708,0.3062508970499039,58.36392081975937,51.92907636607764
3__O2(X)_O2(a)_O(3P),2026-04-17_19-31-37,seed_aggregate,"30, 30, 30",3,0.014675013849046,0.0029065176453398,11,1.955560750843688e-06,1.4344503439113132e-06,7504.2485091372155,5701.671033156948,750324.8509137216,570167.1033156948,0.13453075521004693,0.013155449916523695,0.2575038377195596,0.0340647605792439,0.018583574751392,0.0025152716532058,0.1275048531591892,0.0197701355014284,0.6640221565961838,0.0942330926656723,0.298594144359231,57.32924610376358,58.620723124375935
4__O2(X)_O2(a)_O2(b)_O2(Hz),2026-04-17_19-31-37,seed_aggregate,"30, 30, 30",4,1.0585481078351222e-06,5.483076145636579e-07,11,1.955560750843688e-06,1.4344503439113132e-06,0.5413015716225806,0.48607593741486743,-45.869842837741935,48.607593741486745,0.0013359765192338332,0.00024784537191052035,0.0017854606208857,0.0006000859217278,0.0010467617976246,0.0003108046730386,0.0011757071391912,0.0003100698262628,0.0090323638869449,0.0044275626947637,0.0051819060463458,114.91016751527786,20.05921773618184
5__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X),2026-04-17_19-31-37,seed_aggregate,"30, 30, 30",5,1.5520382248723765e-06,8.056196250939345e-07,11,1.955560750843688e-06,1.4344503439113132e-06,0.793653801960783,0.7131821490628172,-20.634619803921705,71.31821490628172,0.0015016184120516332,0.00023695717915290227,0.002153033320792,0.0005649160276214,0.0011130290862638,0.000243443277333,0.0012387928290991,0.00035629144703,0.0123267212416976,0.0056874976609833,0.0048554441425949,173.31570743322374,32.64743528496487
6__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P),2026-04-17_19-31-37,seed_aggregate,"30, 30, 30",6,2.437457011694733e-06,1.9584297250982515e-06,11,1.955560750843688e-06,1.4344503439113132e-06,1.246423569629908,1.3560408197686986,24.642356962990796,135.60408197686985,0.0018110059744988335,0.0004746606534491668,0.0027282546914648,0.0012879965209283,0.0013189071469241,0.0003713419908049,0.0013858560851076,0.0004805150479816,0.0155515788821503,0.0064312413684092,0.0053223349736072,155.44875600337983,62.56363412134837
7__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D),2026-04-17_19-31-37,seed_aggregate,"30, 30, 30",7,1.7409066131790495e-06,6.802172311236451e-07,11,1.955560750843688e-06,1.4344503439113132e-06,0.8902339712166802,0.739871656531454,-10.976602878331976,73.98716565314541,0.0016961820724342002,0.00026304086940152487,0.0024391126236878,0.0005378198413503,0.0012726198125164,0.0003552771559358,0.0013768137810984,0.0004552388949768,0.0122223982354626,0.0060752279008738,0.0053560918313451,122.23574985265732,19.97667482633083
8__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd),2026-04-17_19-31-37,seed_aggregate,"30, 30, 30",8,2.1018178159692978e-06,2.338957285382691e-06,11,1.955560750843688e-06,1.4344503439113132e-06,1.0747903459723815,1.4325139517301733,7.4790345972381544,143.25139517301733,0.0017297342138286667,0.0005206003801895717,0.002519775298424,0.00142147793157,0.0012808688945369,0.0004392895411532,0.0013885584485251,0.0004750242012515,0.0137903419323265,0.0068618693621829,0.0051428659760858,136.1659984588623,34.17383548332156
9__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd),2026-04-17_19-31-37,seed_aggregate,"30, 30, 30",9,2.348167095078679e-06,1.5563984217881012e-06,11,1.955560750843688e-06,1.4344503439113132e-06,1.2007640744812498,1.1871056201456702,20.07640744812498,118.71056201456702,0.0018492055397169667,0.0004116089794255659,0.0027824346616398,0.0011503004111667,0.0012753769347909,0.0003293182098854,0.0014898050227202,0.0003052147575092,0.0142522909911349,0.0065460541285574,0.0056848328793421,124.0978767633438,33.2263836168479
10__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd)_O3(X),2026-04-17_19-31-37,seed_aggregate,"30, 30, 30",10,3.0683277202570026e-06,2.4515795818503896e-06,11,1.955560750843688e-06,1.4344503439113132e-06,1.5690270521809324,1.7018344192345443,56.90270521809324,170.18344192345444,0.0021324046101653333,0.0005590293777823471,0.0033634714258369,0.001573541152201,0.0015697025897679,0.0003657033092556,0.0014640398148912,0.0004503930938002,0.0172896606847643,0.0076099379453808,0.0055167981307022,122.05945081710816,30.63436442019797
11__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd)_O3(X)_O3(exc),2026-04-17_19-31-37,seed_aggregate,"30, 30, 30",11,1.955560750843688e-06,1.4344503439113132e-06,11,1.955560750843688e-06,1.4344503439113132e-06,1.0,0.0,0.0,0.0,0.0016783764057132335,0.00042092510451586943,0.0028529363917186,0.0011346098721889,0.0009973526219255,0.0004003835653226,0.0011848402034956,0.0003833470112787,0.0142998383147642,0.0067947816802188,0.0044065687281545,139.5993730187416,51.82221750649423
