experiment_folder,run_timestamp,hidden_size_label,hidden_size_tuple,num_species_kept,source_mode,test_mse,test_mse_std,test_rmse,test_rmse_std,test_mse_unscaled,test_mse_unscaled_std,test_rmse_unscaled,test_rmse_unscaled_std,training_time_s,training_time_s_std,epochs_ran,epochs_ran_std,best_val_loss,best_val_loss_std,mean_rel_error_k1,mean_rel_error_k1_std,mean_rel_error_k2,mean_rel_error_k2_std,mean_rel_error_k3,mean_rel_error_k3_std,max_rel_error_k1,max_rel_error_k1_std,max_rel_error_k2,max_rel_error_k2_std,max_rel_error_k3,max_rel_error_k3_std,arch_sort_key,mean_rel_error_avg,mean_rel_error_avg_std,baseline_num_species,baseline_test_mse,baseline_test_mse_std,mse_ratio_vs_baseline,mse_ratio_vs_baseline_std,relative_deterioration_test_mse_pct,relative_deterioration_test_mse_pct_std
2__O2(X)_O2(a),2026-04-17_19-31-37,"30, 30","(30, 30)",2,seed_aggregate,0.0154080332722514,7.923871750684848e-05,0.1241287087833143,0.0003194205915978,1.9147272151611083e-41,1.5073224450646296e-43,4.375727416861048e-21,1.7220701789794298e-23,55.10298894643783,43.69283451042888,1029.45,778.9011473662246,0.0161387889515608,0.0010539719100552,0.2661023765802383,0.0035003838661851,0.018369969073683,0.0007710833304758,0.1329638823866844,0.0020693653367595,0.695895916223526,0.0253968636918528,0.0957378976047039,0.007442281933008,0.309985513985157,0.0058687809784715,"(2, 30, (30, 30))",0.13914540934686856,0.0013795945302140353,11,3.1735521588416304e-06,2.5076169498513565e-06,4855.13787108369,3836.421544747004,485413.787108369,383642.1544747004
3__O2(X)_O2(a)_O(3P),2026-04-17_19-31-37,"30, 30","(30, 30)",3,seed_aggregate,0.014326137676835,0.0015381086966782,0.1195179653435356,0.0066168554287305,1.7315424734122468e-41,2.3064701994970974e-42,4.15170842927084e-21,2.878995666326749e-22,112.29449447393418,90.80919315234144,2526.6,2114.29912239195,0.0149810273535549,0.0015568727323996,0.2574589267373085,0.0134378588084139,0.0177355768159031,0.0017958335534329,0.1261284280568361,0.0087393966765725,0.6503954201936721,0.0723715988606346,0.0940678857266903,0.0134562647594155,0.2960630252957344,0.0170108115412098,"(2, 30, (30, 30))",0.13377431053668257,0.005376679290923275,11,3.1735521588416304e-06,2.5076169498513565e-06,4514.227893473207,3599.7430749985992,451322.7893473207,359974.30749985995
4__O2(X)_O2(a)_O2(b)_O2(Hz),2026-04-17_19-31-37,"30, 30","(30, 30)",4,seed_aggregate,2.1541636442634627e-06,1.848566375287718e-06,0.0013633769584103,0.0005575953197146,1.471363387541058e-45,8.475127644909787e-46,3.491996068941394e-23,1.6285600129234065e-23,171.92796108722686,37.03658402046102,3908.75,945.8124814147886,2.0436018007785605e-06,1.624946384180218e-06,0.0028784264577552,0.0015241038442301,0.0013426611956674,0.0004922375217473,0.0011335261136991,0.000280017703488,0.014386564050801,0.0080672630300484,0.005785119428765,0.0015086179224913,0.0046471248148009,0.0015195059308072,"(2, 30, (30, 30))",0.0017848712557072333,0.0005419717315382977,11,3.1735521588416304e-06,2.5076169498513565e-06,0.6787862736907869,0.7918129896144284,-32.12137263092131,79.18129896144283
5__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X),2026-04-17_19-31-37,"30, 30","(30, 30)",5,seed_aggregate,2.2722299718225258e-06,1.0749369502645748e-06,0.0014645878027216,0.0003659343339733,1.6815581571897804e-45,9.750968629967414e-46,3.816183337081833e-23,1.5397629037159434e-23,255.17138010263443,59.450940111048965,4038.6,829.8730023322846,2.0327133656223847e-06,8.440552729315749e-07,0.0030663522193208,0.0008689092267139,0.0013201442459831,0.0004069643578572,0.0011211236065719,0.0003193284749095,0.0140121331438422,0.0046935225159372,0.005699801701121,0.0016847504362549,0.0045806995301973,0.0014815190101256,"(2, 30, (30, 30))",0.0018358733572919333,0.0003370779513740434,11,3.1735521588416304e-06,2.5076169498513565e-06,0.7159894837373356,0.6593928831537349,-28.401051626266437,65.93928831537349
6__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P),2026-04-17_19-31-37,"30, 30","(30, 30)",6,seed_aggregate,4.073697994044778e-06,1.928210689304141e-06,0.0019641109173631,0.0004767944479758,2.2420775429197077e-45,9.53663545377233e-46,4.637652969703952e-23,9.803062688950508e-24,189.8139881014824,70.05329756479674,3236.95,911.1999303983152,3.497221457109845e-06,1.5644186640282358e-06,0.0043671463034115,0.0011890245761051,0.0016127825714647,0.0004486754843415,0.001388879888691,0.0002959430124162,0.0218407400418072,0.0058915601022191,0.0065963687375187,0.0015601968133964,0.0057004676782526,0.0019173662353196,"(2, 30, (30, 30))",0.0024562695878557333,0.00043495483794028897,11,3.1735521588416304e-06,2.5076169498513565e-06,1.283639842721762,1.1823411930718966,28.36398427217619,118.23411930718966
7__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D),2026-04-17_19-31-37,"30, 30","(30, 30)",7,seed_aggregate,4.223090684263298e-06,2.1931782709546804e-06,0.0019899418850882,0.0005263798690704,2.1720126197034665e-45,1.0638022515586557e-45,4.5420860628509496e-23,1.070946651917101e-23,130.8813201189041,40.64511617098013,2950.4,907.9989218634915,3.801892874889745e-06,1.815551992791864e-06,0.0046332870726473,0.0014936265561803,0.0016403031069785,0.0004537932540841,0.0013883148698369,0.0003528701874943,0.0228353732265532,0.008345715493096,0.0069122644374147,0.0024927038553337,0.0055522766546346,0.002298968817616,"(2, 30, (30, 30))",0.0025539683498209003,0.0005334756035244017,11,3.1735521588416304e-06,2.5076169498513565e-06,1.3307141250215835,1.2582520249357334,33.071412502158346,125.82520249357334
8__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd),2026-04-17_19-31-37,"30, 30","(30, 30)",8,seed_aggregate,4.706977574642224e-06,2.913042210090805e-06,0.0020791953348879,0.0006357128895331,2.3822073893521893e-45,9.205783812987109e-46,4.792709348680425e-23,9.470235880979078e-24,138.93030158281326,34.50627764275621,3119.15,770.9693334743573,4.1348070728872704e-06,2.384768812807122e-06,0.004714727285318,0.001677342393956,0.0016027700068661,0.0003195105103969,0.0013778364955214,0.0002815975308889,0.0241264141630381,0.0087309861998255,0.0067262285505421,0.0013972109103433,0.0051757195382378,0.0012334936204111,"(2, 30, (30, 30))",0.0025651112625685,0.0005768556185831808,11,3.1735521588416304e-06,2.5076169498513565e-06,1.4831889753342844,1.4886397554325217,48.31889753342844,148.86397554325217
9__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd),2026-04-17_19-31-37,"30, 30","(30, 30)",9,seed_aggregate,5.041997121679743e-06,2.496315592920693e-06,0.0021841241829407,0.0005346899496789,2.732532005433393e-45,1.3994534359218652e-45,5.0714816548848884e-23,1.2999570351199589e-23,134.0638313293457,44.47509816873836,3004.8,998.4064987980122,4.4987445232891335e-06,2.142491479291503e-06,0.0049484501476399,0.0013687303976565,0.001693793098093,0.000465471945391,0.0014563000411726,0.0003222874333819,0.0248952079564332,0.0074470893310587,0.0071631121565587,0.0023789684550763,0.0057484286138787,0.0018907604761697,"(2, 30, (30, 30))",0.0026995144289685,0.0004937336464949605,11,3.1735521588416304e-06,2.5076169498513565e-06,1.5887550824184686,1.4814515414781406,58.875508241846866,148.14515414781405
10__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd)_O3(X),2026-04-17_19-31-37,"30, 30","(30, 30)",10,seed_aggregate,6.05247377620799e-06,3.261775151584284e-06,0.002372967309269,0.0006660961882083,1.8216880036222626e-45,9.205783812987109e-46,4.080881133098802e-23,1.2827967857035768e-23,131.57196716070175,36.99242947669026,2909.65,819.6250281940548,5.1234457874898e-06,2.502415492260492e-06,0.0056276156567037,0.0018475385296072,0.001829423563322,0.0003477431824978,0.0012731090711895,0.0002962090530537,0.0300161725375801,0.011723885715215,0.0078625417314469,0.0020782256184167,0.0053632020950317,0.0020544974122114,"(2, 30, (30, 30))",0.0029100494304050667,0.0006343906737499117,11,3.1735521588416304e-06,2.5076169498513565e-06,1.9071606431126649,1.8240920271490944,90.71606431126649,182.40920271490944
11__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd)_O3(X)_O3(exc),2026-04-17_19-31-37,"30, 30","(30, 30)",11,seed_aggregate,3.1735521588416304e-06,2.5076169498513565e-06,0.0016648053533655,0.0006504858866118,1.5414283107572992e-45,7.742261616910658e-46,3.679165675470126e-23,1.406010795801721e-23,156.2164982676506,65.66186843340574,3170.6,1036.625923495625,3.0236186022420952e-06,2.417654577665646e-06,0.003904956189217,0.0018108953403007,0.0011589228452066,0.0006004928531228,0.0011609731154749,0.0003320603426046,0.0197334421332925,0.0094025732052985,0.0086001742747612,0.0049470099899871,0.004885207535699,0.0019687178676373,"(2, 30, (30, 30))",0.0020749507166328333,0.0006455142369808769,11,3.1735521588416304e-06,2.5076169498513565e-06,1.0,0.0,0.0,0.0
