experiment_folder,run_timestamp,source_mode,hidden_size_label,num_species_kept,test_mse,test_mse_std,baseline_num_species,baseline_test_mse,baseline_test_mse_std,mse_ratio_vs_baseline,mse_ratio_vs_baseline_std,relative_deterioration_test_mse_pct,relative_deterioration_test_mse_pct_std,mean_rel_error_avg,mean_rel_error_avg_std,mean_rel_error_k1,mean_rel_error_k1_std,mean_rel_error_k2,mean_rel_error_k2_std,mean_rel_error_k3,mean_rel_error_k3_std,max_rel_error_k1,max_rel_error_k2,max_rel_error_k3,training_time_s,training_time_s_std
2__O2(X)_O2(a),2026-04-17_19-31-37,seed_aggregate,"50, 50",2,0.0153931832406669,7.210195276137349e-05,11,3.85937473197373e-06,2.1339551294025338e-06,3988.517391985578,2205.4408114648054,398751.7391985578,220544.08114648054,0.13898857344562804,0.001414696985459543,0.2657113701105117,0.0036097689174458,0.0184228110127151,0.0007492384952001,0.1328315392136573,0.0021025028147347,0.6936304152011872,0.1021783847361803,0.3122768148779869,70.13500944375991,59.74672833563505
3__O2(X)_O2(a)_O2(b),2026-04-17_19-31-37,seed_aggregate,"50, 50",3,1.7503216383829569e-06,1.1456720263730285e-06,11,3.85937473197373e-06,2.1339551294025338e-06,0.45352466654302354,0.3885952145097585,-54.64753334569765,38.85952145097585,0.0015953076925749332,0.0003690435557454819,0.0029013792693149,0.0010321481731446,0.0009091945918044,0.0003310836374027,0.0009753492166055,0.000225371000916,0.0160573919769376,0.0043602174497209,0.0040411549038253,220.1414099812508,53.12161461766812
4__O2(X)_O2(a)_O2(b)_O2(Hz),2026-04-17_19-31-37,seed_aggregate,"50, 50",4,1.5741139804958948e-06,1.5003284903430209e-06,11,3.85937473197373e-06,2.1339551294025338e-06,0.4078676184136372,0.44942822085187517,-59.21323815863629,44.942822085187515,0.0014874576891694333,0.000528837397965591,0.0025925950496457,0.0015303554044068,0.0009038646705448,0.0003480256091395,0.0009659133473178,0.0002321883997299,0.0130379942478612,0.004098232393153,0.0035468693706206,206.9930811882019,54.84012028235637
5__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X),2026-04-17_19-31-37,seed_aggregate,"50, 50",5,3.4565065305969258e-06,2.292678100707409e-06,11,3.85937473197373e-06,2.1339551294025338e-06,0.8956130903694929,0.7733904039529356,-10.438690963050712,77.33904039529355,0.002189338551640133,0.0005208183955160005,0.0040158976684324,0.001466772001651,0.0013750432612141,0.000475955103476,0.0011770747252739,0.0002516204376012,0.020138642610982,0.0058538100100122,0.0047332662390545,239.1309319257736,73.98240072348074
6__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P),2026-04-17_19-31-37,seed_aggregate,"50, 50",6,3.2381508603407383e-06,2.4224480226498752e-06,11,3.85937473197373e-06,2.1339551294025338e-06,0.8390350990054571,0.7805176916178792,-16.096490099454286,78.05176916178792,0.0020402556537494998,0.0006213358356864743,0.0037984404189046,0.0017908525003768,0.0011946629732847,0.0004513303581287,0.0011276635690592,0.0002523335413683,0.0182759613264352,0.0060190297313965,0.0043549393652938,239.3040591955185,70.52740764727783
7__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D),2026-04-17_19-31-37,seed_aggregate,"50, 50",7,3.3657794574537542e-06,2.154274423495752e-06,11,3.85937473197373e-06,2.1339551294025338e-06,0.8721048592584982,0.7376356496548307,-12.789514074150176,73.76356496548307,0.0021722793841035667,0.0005409492284267317,0.0040732791472692,0.0015546599414695,0.0013278291909955,0.0004117997365333,0.001115729814046,0.0002169978179624,0.0201756245922297,0.005835808312986,0.0039777119178324,219.72007511854173,79.61459338721974
8__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd),2026-04-17_19-31-37,seed_aggregate,"50, 50",8,3.653782147239326e-06,1.9847391803373995e-06,11,3.85937473197373e-06,2.1339551294025338e-06,0.9467290431708709,0.7338198531869411,-5.327095682912908,73.3819853186941,0.0022806689599140333,0.0004964136377144374,0.004197597753955,0.0014133985198032,0.0013849500101059,0.0004049306658903,0.0012594591156812,0.0002370111335353,0.0203336573438718,0.0063243606127798,0.0050357056548818,183.6009647488594,47.08492776165679
9__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd),2026-04-17_19-31-37,seed_aggregate,"50, 50",9,4.058044621046975e-06,1.9539641776762e-06,11,3.85937473197373e-06,2.1339551294025338e-06,1.0514772217964028,0.7709379053633562,5.1477221796402794,77.09379053633562,0.0024761950703881,0.0004745907957714489,0.0045052381872665,0.0013291852296921,0.0016570857464103,0.0004498083322507,0.0012662612774875,0.0002409707457037,0.0226496153045445,0.0075374246924184,0.0044835432781837,171.6976850748062,55.35537248376796
10__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd)_O3(X),2026-04-17_19-31-37,seed_aggregate,"50, 50",10,3.8282064195982455e-06,2.3887901406165965e-06,11,3.85937473197373e-06,2.1339551294025338e-06,0.9919239994714002,0.8269943173401164,-0.8076000528599803,82.69943173401164,0.0022828116508510667,0.0005983220573345308,0.0043660888157319,0.0016949763443168,0.0014422069740248,0.0004838141932165,0.0010401391627965,0.0003389433245927,0.022708837268874,0.00645547285676,0.004106877441518,210.7202290892601,57.73000390167301
11__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd)_O3(X)_O3(exc),2026-04-17_19-31-37,seed_aggregate,"50, 50",11,3.85937473197373e-06,2.1339551294025338e-06,11,3.85937473197373e-06,2.1339551294025338e-06,1.0,0.0,0.0,0.0,0.0023218216995397663,0.0005722356788082137,0.0045637393079232,0.0015618909591416,0.0013012140872888,0.0006589341005349,0.0011005117034073,0.0002708976408422,0.0232816397212445,0.0085344468941912,0.0045120599679648,194.9323652267456,64.47236066546893
