scheme,experiment_name,fullrun_timestamp,seed,split_seed,shuffle_seed,weight_seed,hidden_size,depth,num_parameters,input_size,output_size,num_pressure_conditions,num_species_total,num_species_kept,kept_species,removed_species,activation,learning_rate,batch_size,epochs_ran,best_epoch,final_train_loss,final_val_loss,best_val_loss,test_mse,test_rmse,test_mse_unscaled,test_rmse_unscaled,training_time_s,mean_rel_error_k1,max_rel_error_k1,mean_rel_error_k2,max_rel_error_k2,mean_rel_error_k3,max_rel_error_k3
O2_novib,11__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd)_O3(X)_O3(exc),2026-04-17_19-31-37,32,32,32,32,"30, 30",2,1713,22,3,2,11,11,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",,tanh,0.0001,16,3796,3696,7.958248322918532e-06,3.386153020983329e-06,3.1296590896090493e-06,3.133737664029468e-06,0.0017702366124418135,1.401298464324817e-45,3.743392130574644e-23,259.06884765625,0.003974977880716324,0.017653856426477432,0.001201918814331293,0.005122804548591375,0.0008995179086923599,0.003415931249037385
O2_novib,11__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd)_O3(X)_O3(exc),2026-04-17_19-31-37,32,32,32,32,"50, 50",2,3853,22,3,2,11,11,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",,tanh,0.0001,16,2733,2633,5.488382120246469e-06,2.0725175345432946e-05,2.565575114203966e-06,2.5597919375286438e-06,0.0015999349791565418,1.401298464324817e-45,3.743392130574644e-23,227.90638709068298,0.00396198034286499,0.019848991185426712,0.0010444829240441322,0.004983577877283096,0.0009900578297674656,0.003400399349629879
O2_novib,11__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd)_O3(X)_O3(exc),2026-04-17_19-31-37,32,32,32,32,"30, 30, 30",3,2643,22,3,2,11,11,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",,tanh,0.0001,16,3014,2914,3.9491093007705385e-06,2.977543463202892e-06,2.0997507726860932e-06,1.7799653733163723e-06,0.0013341534294511904,1.401298464324817e-45,3.743392130574644e-23,275.74964213371277,0.0030183938797563314,0.012270909734070301,0.0009705033153295517,0.004981697537004948,0.001007711747661233,0.003836079966276884
O2_novib,11__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd)_O3(X)_O3(exc),2026-04-17_19-31-37,33,33,33,33,"30, 30",2,1713,22,3,2,11,11,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",,tanh,0.0001,16,4500,4400,3.604246001032152e-06,4.851149915339193e-06,1.3297873283590888e-06,1.5215136954793707e-06,0.0012334965324148142,1.401298464324817e-45,3.743392130574644e-23,334.5347955226898,0.002691881265491247,0.013349340297281742,0.0007804634515196085,0.00912003219127655,0.0013736506225541234,0.005160173401236534
O2_novib,11__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd)_O3(X)_O3(exc),2026-04-17_19-31-37,33,33,33,33,"50, 50",2,3853,22,3,2,11,11,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",,tanh,0.0001,16,1955,1855,6.9791589501417344e-06,6.134177710919175e-06,4.00237562644179e-06,4.842619091505185e-06,0.002200595167563808,2.802596928649634e-45,5.293955920339377e-23,170.26141023635864,0.005682509392499924,0.028550628572702408,0.0009493351681157947,0.003957285080105066,0.001448949333280325,0.006526060402393341
O2_novib,11__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd)_O3(X)_O3(exc),2026-04-17_19-31-37,33,33,33,33,"30, 30, 30",3,2643,22,3,2,11,11,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",,tanh,0.0001,16,2239,2139,4.602811280468207e-06,3.7381881702458485e-06,1.4515011025650893e-06,1.5247431974785286e-06,0.0012348049228434945,1.401298464324817e-45,3.743392130574644e-23,131.92839407920837,0.0025743397418409586,0.017208192497491837,0.0009796690428629518,0.009074890054762363,0.0012225856771692634,0.006198371760547161
O2_novib,11__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd)_O3(X)_O3(exc),2026-04-17_19-31-37,34,34,34,34,"30, 30",2,1713,22,3,2,11,11,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",,tanh,0.0001,16,4195,4095,3.5995462248037157e-06,6.819593854743289e-06,1.1090861471529934e-06,1.1254784340053448e-06,0.0010608856837592564,0.0,0.0,196.6336007118225,0.002291109412908554,0.01113827247172594,0.0006124452920630574,0.006354129407554865,0.0006034045945852995,0.00206120777875185
O2_novib,11__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd)_O3(X)_O3(exc),2026-04-17_19-31-37,34,34,34,34,"50, 50",2,3853,22,3,2,11,11,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",,tanh,0.0001,16,4656,4556,2.9990658789655654e-06,7.5944387208437544e-06,1.0127332029696846e-06,1.0158670420423732e-06,0.0010079022978654098,1.401298464324817e-45,3.743392130574644e-23,386.54045391082764,0.0021114926785230637,0.00907839834690094,0.0006737462244927883,0.005858543794602156,0.0010542991803959012,0.002777548274025321
O2_novib,11__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd)_O3(X)_O3(exc),2026-04-17_19-31-37,34,34,34,34,"30, 30, 30",3,2643,22,3,2,11,11,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",,tanh,0.0001,16,3595,3495,3.031530019749577e-06,1.220273472426925e-05,8.351235237569199e-07,7.366676868514332e-07,0.0008582934736157751,0.0,0.0,230.04366159439087,0.0019422965124249458,0.008404427208006382,0.0006357741076499224,0.002473111730068922,0.0008046117145568132,0.003050407860428095
O2_novib,11__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd)_O3(X)_O3(exc),2026-04-17_19-31-37,35,35,35,35,"30, 30",2,1713,22,3,2,11,11,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",,tanh,0.0001,16,4001,3901,2.1829634025986402e-06,1.6689719086571131e-06,9.341601844425895e-07,9.580514870322077e-07,0.0009788010456840592,1.401298464324817e-45,3.743392130574644e-23,180.87380957603455,0.002225309843197465,0.010221586562693119,0.0006384686566889286,0.003070325590670109,0.0008062310516834259,0.003516078693792224
