scheme,experiment_name,fullrun_timestamp,seed,split_seed,shuffle_seed,weight_seed,hidden_size,depth,num_parameters,input_size,output_size,num_pressure_conditions,num_species_total,num_species_kept,kept_species,removed_species,activation,learning_rate,batch_size,epochs_ran,best_epoch,final_train_loss,final_val_loss,best_val_loss,test_mse,test_rmse,test_mse_unscaled,test_rmse_unscaled,training_time_s,mean_rel_error_k1,max_rel_error_k1,mean_rel_error_k2,max_rel_error_k2,mean_rel_error_k3,max_rel_error_k3
O2_novib,3__O2(X)_O(3P)_O2(Hz),2026-04-23_14-32-46,32,32,32,32,"30, 30",2,1233,6,3,2,11,3,"O2(X), O(3P), O2(Hz)","O2(a), O2(b), O2+(X), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,393,293,0.01725205008354452,0.015810263976454735,0.015769429728388785,0.01605583354830742,0.12671161568028172,2.052621990542992e-41,4.530587147978716e-21,23.510469436645508,0.26247814297676086,0.7452879548072815,0.0679488256573677,0.5766292810440063,0.13832944631576538,0.33611956238746643
O2_novib,3__O2(X)_O(3P)_O2(Hz),2026-04-23_14-32-46,32,32,32,32,"50, 50",2,3053,6,3,2,11,3,"O2(X), O(3P), O2(Hz)","O2(a), O2(b), O2+(X), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,707,607,0.01734055602302154,0.01579579770565033,0.01573464147746563,0.016034970059990883,0.1266292622579429,2.0671954945719701e-41,4.5466421616089055e-21,54.12467336654663,0.26368391513824463,0.7542571425437927,0.06655005365610123,0.5632478594779968,0.13842792809009552,0.3363195061683655
O2_novib,3__O2(X)_O(3P)_O2(Hz),2026-04-23_14-32-46,32,32,32,32,"30, 30, 30",3,2163,6,3,2,11,3,"O2(X), O(3P), O2(Hz)","O2(a), O2(b), O2+(X), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,1544,1444,0.016588160999947123,0.015293783619999885,0.015202941298484802,0.015368958003818989,0.12397160160221771,1.9506074623401454e-41,4.416568195262183e-21,115.7526228427887,0.2662599980831146,0.7304095029830933,0.02362045831978321,0.137181356549263,0.1346874237060547,0.3173381984233856
O2_novib,3__O2(X)_O(3P)_O2(Hz),2026-04-23_14-32-46,33,33,33,33,"30, 30",2,1233,6,3,2,11,3,"O2(X), O(3P), O2(Hz)","O2(a), O2(b), O2+(X), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,615,515,0.017364625113291874,0.015039328262209892,0.014956812784075737,0.016042659059166908,0.12665961889713276,2.133476911934534e-41,4.618957579297015e-21,41.17989540100098,0.26305243372917175,0.7488800883293152,0.0658923014998436,0.5491883754730225,0.14139045774936676,0.34409400820732117
O2_novib,3__O2(X)_O(3P)_O2(Hz),2026-04-23_14-32-46,33,33,33,33,"50, 50",2,3053,6,3,2,11,3,"O2(X), O(3P), O2(Hz)","O2(a), O2(b), O2+(X), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,396,296,0.017291200423820152,0.01505427859723568,0.014976719692349434,0.01602848619222641,0.12660365789433736,2.049399004075045e-41,4.527028831446786e-21,32.76529860496521,0.26465651392936707,0.7473205924034119,0.06566210091114044,0.5672033429145813,0.13955509662628174,0.3356606662273407
O2_novib,3__O2(X)_O(3P)_O2(Hz),2026-04-23_14-32-46,33,33,33,33,"30, 30, 30",3,2163,6,3,2,11,3,"O2(X), O(3P), O2(Hz)","O2(a), O2(b), O2+(X), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,927,827,0.016669170980652175,0.014323910400271415,0.014288251996040344,0.015413053333759308,0.12414931870034289,2.0428129012927183e-41,4.519748777634348e-21,71.2130799293518,0.26506203413009644,0.7373239398002625,0.02555873617529869,0.13846726715564728,0.13759291172027588,0.3171353042125702
O2_novib,3__O2(X)_O(3P)_O2(Hz),2026-04-23_14-32-46,34,34,34,34,"30, 30",2,1233,6,3,2,11,3,"O2(X), O(3P), O2(Hz)","O2(a), O2(b), O2+(X), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,658,558,0.01703166006753842,0.01754172820597887,0.017464141808450222,0.01602683775126934,0.1265971474847255,2.071259260118512e-41,4.551108941915709e-21,42.26042079925537,0.2635842263698578,0.7543730735778809,0.06597729027271271,0.57085782289505,0.13793666660785675,0.33271920680999756
O2_novib,3__O2(X)_O(3P)_O2(Hz),2026-04-23_14-32-46,34,34,34,34,"50, 50",2,3053,6,3,2,11,3,"O2(X), O(3P), O2(Hz)","O2(a), O2(b), O2+(X), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,462,362,0.017142727457814748,0.017522044107317926,0.017469006665050982,0.016034334897994995,0.1266267542741067,2.0678961438041326e-41,4.547412609170332e-21,33.57916259765625,0.2632009983062744,0.7535436153411865,0.0666905865073204,0.5782820582389832,0.13819514214992523,0.3343341052532196
O2_novib,3__O2(X)_O(3P)_O2(Hz),2026-04-23_14-32-46,34,34,34,34,"30, 30, 30",3,2163,6,3,2,11,3,"O2(X), O(3P), O2(Hz)","O2(a), O2(b), O2+(X), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,1270,1170,0.016421740622156195,0.016957071796059608,0.016867806613445283,0.01539730653166771,0.12408588369217391,2.0121244649240048e-41,4.485671036672222e-21,92.91523313522339,0.26508286595344543,0.7388729453086853,0.026113536208868027,0.10181264579296112,0.13558760285377502,0.31657570600509644
O2_novib,3__O2(X)_O(3P)_O2(Hz),2026-04-23_14-32-46,35,35,35,35,"30, 30",2,1233,6,3,2,11,3,"O2(X), O(3P), O2(Hz)","O2(a), O2(b), O2+(X), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,338,238,0.01707705256425672,0.017428223453462125,0.01733910892158747,0.016049092635512352,0.1266850134605998,2.0844314656831654e-41,4.565557431117437e-21,21.14971375465393,0.2583508789539337,0.7203816175460815,0.0672612413764,0.5829716920852661,0.13701371848583221,0.33340975642204285
