scheme,experiment_name,fullrun_timestamp,seed,split_seed,shuffle_seed,weight_seed,hidden_size,depth,num_parameters,input_size,output_size,num_pressure_conditions,num_species_total,num_species_kept,kept_species,removed_species,activation,learning_rate,batch_size,epochs_ran,best_epoch,final_train_loss,final_val_loss,best_val_loss,test_mse,test_rmse,test_mse_unscaled,test_rmse_unscaled,training_time_s,mean_rel_error_k1,max_rel_error_k1,mean_rel_error_k2,max_rel_error_k2,mean_rel_error_k3,max_rel_error_k3
O2_novib,3__O2(X)_O2(a)_O2+(X),2026-04-23_14-32-46,32,32,32,32,"30, 30",2,1233,6,3,2,11,3,"O2(X), O2(a), O2+(X)","O2(b), O2(Hz), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,437,337,0.01654671104417907,0.015460608564317226,0.015260516330599785,0.015379481017589569,0.12401403556690496,1.9010014967030468e-41,4.360047587702509e-21,32.3457453250885,0.2677675485610962,0.7240221500396729,0.018760645762085915,0.12211289256811142,0.1312953680753708,0.30082595348358154
O2_novib,3__O2(X)_O2(a)_O2+(X),2026-04-23_14-32-46,32,32,32,32,"50, 50",2,3053,6,3,2,11,3,"O2(X), O2(a), O2+(X)","O2(b), O2(Hz), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,344,244,0.01655605909311109,0.015283523425459862,0.015267968624830246,0.015404949896037579,0.12411667855706411,1.895256172999315e-41,4.353453999985891e-21,27.635714054107666,0.26922607421875,0.7218834161758423,0.018998313695192337,0.11982028186321259,0.13078421354293823,0.3016093373298645
O2_novib,3__O2(X)_O2(a)_O2+(X),2026-04-23_14-32-46,32,32,32,32,"30, 30, 30",3,2163,6,3,2,11,3,"O2(X), O2(a), O2+(X)","O2(b), O2(Hz), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,344,244,0.016558377332985402,0.015260250940918922,0.0152395498752594,0.015320836566388607,0.12377736693914848,1.8837655255918516e-41,4.3402367741770164e-21,26.68919610977173,0.2660827934741974,0.7204549908638,0.019027341157197952,0.15030957758426666,0.13177362084388733,0.3011523485183716
O2_novib,3__O2(X)_O2(a)_O2+(X),2026-04-23_14-32-46,33,33,33,33,"30, 30",2,1233,6,3,2,11,3,"O2(X), O2(a), O2+(X)","O2(b), O2(Hz), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,2681,2581,0.016448453677197297,0.014339968450367451,0.014152911528944968,0.015305462293326855,0.12371524681027336,1.904504742863859e-41,4.364063178809238e-21,203.17126655578613,0.2700553834438324,0.6785050630569458,0.017656493932008743,0.08631803095340729,0.13524961471557617,0.3014737665653229
O2_novib,3__O2(X)_O2(a)_O2+(X),2026-04-23_14-32-46,33,33,33,33,"50, 50",2,3053,6,3,2,11,3,"O2(X), O2(a), O2+(X)","O2(b), O2(Hz), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,796,696,0.016607795179718072,0.01451549757272005,0.014351031556725503,0.015538029372692108,0.12465163204985368,1.930428764453868e-41,4.393664489300324e-21,65.68705105781555,0.27146589756011963,0.702719509601593,0.02010023593902588,0.090474933385849,0.13799722492694855,0.32020583748817444
O2_novib,3__O2(X)_O2(a)_O2+(X),2026-04-23_14-32-46,33,33,33,33,"30, 30, 30",3,2163,6,3,2,11,3,"O2(X), O2(a), O2+(X)","O2(b), O2(Hz), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,524,424,0.016632781264682612,0.014502037651836872,0.014335465729236602,0.015543048270046711,0.12467176211976275,1.9506074623401454e-41,4.416568195262183e-21,42.47826623916626,0.27155473828315735,0.7111563086509705,0.018813008442521095,0.0949791893362999,0.13809441030025482,0.32214421033859253
O2_novib,3__O2(X)_O2(a)_O2+(X),2026-04-23_14-32-46,34,34,34,34,"30, 30",2,1233,6,3,2,11,3,"O2(X), O2(a), O2+(X)","O2(b), O2(Hz), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,422,322,0.01632475197729137,0.016902213878929616,0.01688119664788246,0.015389353036880493,0.12405383120597482,1.900440977317317e-41,4.359404749868171e-21,28.68152403831482,0.2686298191547394,0.7274171710014343,0.018440866842865944,0.1076439619064331,0.13310013711452484,0.30271029472351074
O2_novib,3__O2(X)_O2(a)_O2+(X),2026-04-23_14-32-46,34,34,34,34,"50, 50",2,3053,6,3,2,11,3,"O2(X), O2(a), O2+(X)","O2(b), O2(Hz), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,528,428,0.016387990319894418,0.016942140720784662,0.016871133334934712,0.015400302596390247,0.12409795564952006,1.9315498032253279e-41,4.394940048766681e-21,42.99507021903992,0.26889994740486145,0.7371616363525391,0.018222784623503685,0.09234809875488281,0.13352787494659424,0.3178067207336426
O2_novib,3__O2(X)_O2(a)_O2+(X),2026-04-23_14-32-46,34,34,34,34,"30, 30, 30",3,2163,6,3,2,11,3,"O2(X), O2(a), O2+(X)","O2(b), O2(Hz), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,369,269,0.01637875738243262,0.01690199673175812,0.016886287964880467,0.015399153344333172,0.12409332514012658,1.9384161657005195e-41,4.40274478672171e-21,30.485888957977295,0.26633012294769287,0.7132403254508972,0.01799364760518074,0.10950805246829987,0.13441124558448792,0.3168869912624359
O2_novib,3__O2(X)_O2(a)_O2+(X),2026-04-23_14-32-46,35,35,35,35,"30, 30",2,1233,6,3,2,11,3,"O2(X), O2(a), O2+(X)","O2(b), O2(Hz), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,1025,925,0.016340468401710193,0.016777496226131915,0.016743681393563747,0.015456964261829853,0.12432604015985489,1.919358506585702e-41,4.381048398027237e-21,67.60095715522766,0.2634578049182892,0.6703266501426697,0.019854875281453133,0.08499544858932495,0.131899893283844,0.30920732021331787
