scheme,experiment_name,fullrun_timestamp,seed,split_seed,shuffle_seed,weight_seed,hidden_size,depth,num_parameters,input_size,output_size,num_pressure_conditions,num_species_total,num_species_kept,kept_species,removed_species,activation,learning_rate,batch_size,epochs_ran,best_epoch,final_train_loss,final_val_loss,best_val_loss,test_mse,test_rmse,test_mse_unscaled,test_rmse_unscaled,training_time_s,mean_rel_error_k1,max_rel_error_k1,mean_rel_error_k2,max_rel_error_k2,mean_rel_error_k3,max_rel_error_k3
O2_novib,3__O2(a)_O2(b)_O+(gnd),2026-04-23_14-32-46,32,32,32,32,"30, 30",2,1233,6,3,2,11,3,"O2(a), O2(b), O+(gnd)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,3221,3121,8.246135360726233e-06,1.3859680766472593e-05,7.84224092058139e-06,7.234393706312403e-06,0.002689682826340757,1.401298464324817e-45,3.743392130574644e-23,227.8409984111786,0.00630202516913414,0.025683648884296417,0.0017960130935534835,0.00857432372868061,0.001295503112487495,0.004443466197699308
O2_novib,3__O2(a)_O2(b)_O+(gnd),2026-04-23_14-32-46,32,32,32,32,"50, 50",2,3053,6,3,2,11,3,"O2(a), O2(b), O+(gnd)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,4346,4246,2.778454990625e-06,3.2574554188613546e-06,1.6548437224628288e-06,1.473128918405564e-06,0.0012137252236011098,1.401298464324817e-45,3.743392130574644e-23,383.7113423347473,0.0024076527915894985,0.017525753006339073,0.0007125938427634537,0.004731245804578066,0.000869261974003166,0.0029939215164631605
O2_novib,3__O2(a)_O2(b)_O+(gnd),2026-04-23_14-32-46,32,32,32,32,"30, 30, 30",3,2163,6,3,2,11,3,"O2(a), O2(b), O+(gnd)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,2848,2748,2.489067978785897e-06,7.23923589248443e-06,1.0235299282612688e-06,7.260709935508203e-07,0.0008520979952744991,1.401298464324817e-45,3.743392130574644e-23,213.700936794281,0.001226135645993054,0.019100937992334366,0.000860332977026701,0.005590890534222126,0.0008672878029756248,0.0030772744212299585
O2_novib,3__O2(a)_O2(b)_O+(gnd),2026-04-23_14-32-46,33,33,33,33,"30, 30",2,1233,6,3,2,11,3,"O2(a), O2(b), O+(gnd)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,5000,4960,1.189591824489374e-05,9.876087060547434e-06,7.097002799127949e-06,9.180662345897872e-06,0.0030299607828976715,2.802596928649634e-45,5.293955920339377e-23,304.7422671318054,0.005846165586262941,0.035913191735744476,0.0017168180784210563,0.006678546313196421,0.0013109092833474278,0.00660618906840682
O2_novib,3__O2(a)_O2(b)_O+(gnd),2026-04-23_14-32-46,33,33,33,33,"50, 50",2,3053,6,3,2,11,3,"O2(a), O2(b), O+(gnd)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,5000,4930,1.9203126958523676e-06,1.7357771912429599e-06,1.1949464101235207e-06,1.33499145249516e-06,0.0011554183019561184,0.0,0.0,363.9323525428772,0.0019427126972004771,0.019662056118249893,0.0005464853020384908,0.0019053358118981123,0.0007221956038847566,0.002971661975607276
O2_novib,3__O2(a)_O2(b)_O+(gnd),2026-04-23_14-32-46,33,33,33,33,"30, 30, 30",3,2163,6,3,2,11,3,"O2(a), O2(b), O+(gnd)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,4262,4162,2.5097559455389275e-06,3.3938941669475754e-06,1.749519084341955e-06,1.8428154362482019e-06,0.0013575033835126166,1.401298464324817e-45,3.743392130574644e-23,328.77850317955017,0.0016873686108738184,0.027315273880958557,0.0007104655378498137,0.002681086538359523,0.000712779292371124,0.00472296355292201
O2_novib,3__O2(a)_O2(b)_O+(gnd),2026-04-23_14-32-46,34,34,34,34,"30, 30",2,1233,6,3,2,11,3,"O2(a), O2(b), O+(gnd)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,3308,3208,5.285641554008988e-06,3.713390497068758e-06,3.6020193965669023e-06,5.00690157423378e-06,0.002237610684241962,1.401298464324817e-45,3.743392130574644e-23,24621.826808691025,0.004682220984250307,0.02315359376370907,0.0011493486817926168,0.004680329468101263,0.0011469704331830144,0.004259953740984201
O2_novib,3__O2(a)_O2(b)_O+(gnd),2026-04-23_14-32-46,34,34,34,34,"50, 50",2,3053,6,3,2,11,3,"O2(a), O2(b), O+(gnd)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,3968,3868,2.9715378443345093e-06,1.4920871717549745e-06,1.2468275872379308e-06,1.5518572809014586e-06,0.0012457356384488077,1.401298464324817e-45,3.743392130574644e-23,291.580771446228,0.0020701102912425995,0.010501398704946041,0.001133236917667091,0.003994440194219351,0.0011859976220875978,0.004650346003472805
O2_novib,3__O2(a)_O2(b)_O+(gnd),2026-04-23_14-32-46,34,34,34,34,"30, 30, 30",3,2163,6,3,2,11,3,"O2(a), O2(b), O+(gnd)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,2240,2140,2.590948062738284e-06,2.0372227118059528e-06,1.2489431924223027e-06,1.4277693480835296e-06,0.0011948930278830527,0.0,0.0,112.55829954147339,0.002127942629158497,0.015218428336083889,0.0012173015857115388,0.005691667553037405,0.0007448063115589321,0.0032226520124822855
O2_novib,3__O2(a)_O2(b)_O+(gnd),2026-04-23_14-32-46,35,35,35,35,"30, 30",2,1233,6,3,2,11,3,"O2(a), O2(b), O+(gnd)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,4648,4548,3.5331558683537878e-06,3.884839843522059e-06,2.481773517502006e-06,3.235261601730599e-06,0.001798683296673041,1.401298464324817e-45,3.743392130574644e-23,199.53151845932007,0.0038390778936445713,0.01844203658401966,0.0014898617519065738,0.005173205863684416,0.001307259313762188,0.006267833989113569
