scheme,experiment_name,fullrun_timestamp,seed,split_seed,shuffle_seed,weight_seed,hidden_size,depth,num_parameters,input_size,output_size,num_pressure_conditions,num_species_total,num_species_kept,kept_species,removed_species,activation,learning_rate,batch_size,epochs_ran,best_epoch,final_train_loss,final_val_loss,best_val_loss,test_mse,test_rmse,test_mse_unscaled,test_rmse_unscaled,training_time_s,mean_rel_error_k1,max_rel_error_k1,mean_rel_error_k2,max_rel_error_k2,mean_rel_error_k3,max_rel_error_k3
O2_novib,3__O2(X)_O(3P)_O2+(X),2026-04-23_14-32-46,32,32,32,32,"30, 30",2,1233,6,3,2,11,3,"O2(X), O(3P), O2+(X)","O2(a), O2(b), O2(Hz), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,871,771,0.017296017739507886,0.015879626348614694,0.01576872557401657,0.01604205183684826,0.12665722181087133,1.9663020051405833e-41,4.434300401574732e-21,37.88383674621582,0.2627611458301544,0.7376301884651184,0.06851500272750854,0.596442461013794,0.13570471107959747,0.32741212844848633
O2_novib,3__O2(X)_O(3P)_O2+(X),2026-04-23_14-32-46,32,32,32,32,"50, 50",2,3053,6,3,2,11,3,"O2(X), O(3P), O2+(X)","O2(a), O2(b), O2(Hz), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,1128,1028,0.017231255107455785,0.016008347272872925,0.015762822404503822,0.01607411913573742,0.1267837494939214,1.931269543532463e-41,4.394621193609823e-21,64.96426439285278,0.26593318581581116,0.7500074505805969,0.07017085701227188,0.5839484930038452,0.1326504945755005,0.3069954514503479
O2_novib,3__O2(X)_O(3P)_O2+(X),2026-04-23_14-32-46,32,32,32,32,"30, 30, 30",3,2163,6,3,2,11,3,"O2(X), O(3P), O2+(X)","O2(a), O2(b), O2(Hz), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,623,523,0.01730154131849607,0.01594411864876747,0.01577743224799633,0.016064241528511047,0.12674478895998464,1.9564929158903096e-41,4.423226103072631e-21,32.1266872882843,0.26465970277786255,0.7458966970443726,0.0683242604136467,0.60552978515625,0.137416273355484,0.3356040120124817
O2_novib,3__O2(X)_O(3P)_O2+(X),2026-04-23_14-32-46,33,33,33,33,"30, 30",2,1233,6,3,2,11,3,"O2(X), O(3P), O2+(X)","O2(a), O2(b), O2(Hz), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,619,519,0.017297167227500014,0.015070001929998397,0.015011339411139489,0.01608022302389145,0.1268078192537489,2.0765841942829464e-41,4.556955336935997e-21,26.893956899642944,0.2633844316005707,0.7410736083984375,0.06880313903093338,0.5149990916252136,0.13993684947490692,0.3320670425891876
O2_novib,3__O2(X)_O(3P)_O2+(X),2026-04-23_14-32-46,33,33,33,33,"50, 50",2,3053,6,3,2,11,3,"O2(X), O(3P), O2+(X)","O2(a), O2(b), O2(Hz), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,584,484,0.017308565088444285,0.01520176112651825,0.015126698389649392,0.016091637313365936,0.1268528175223788,1.8851668240561764e-41,4.341850785156229e-21,32.520782709121704,0.26978519558906555,0.7570939064025879,0.0677790716290474,0.5742348432540894,0.132492795586586,0.3033970296382904
O2_novib,3__O2(X)_O(3P)_O2+(X),2026-04-23_14-32-46,33,33,33,33,"30, 30, 30",3,2163,6,3,2,11,3,"O2(X), O(3P), O2+(X)","O2(a), O2(b), O2(Hz), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,593,493,0.017342158286935753,0.0150749222189188,0.014995543882250786,0.01607445813715458,0.12678508641458813,2.0628514693325632e-41,4.5418624696621576e-21,30.745620012283325,0.2632747292518616,0.7381182909011841,0.06820272654294968,0.5543200969696045,0.14033491909503937,0.3375912010669708
O2_novib,3__O2(X)_O(3P)_O2+(X),2026-04-23_14-32-46,34,34,34,34,"30, 30",2,1233,6,3,2,11,3,"O2(X), O(3P), O2+(X)","O2(a), O2(b), O2(Hz), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,550,450,0.01708557874792152,0.017517375610768795,0.017481901459395887,0.016153568401932716,0.12709668918556735,1.963919797751231e-41,4.431613473387804e-21,23.92420506477356,0.265855610370636,0.7497626543045044,0.06947280466556549,0.5588318705558777,0.13435538113117218,0.33924564719200134
O2_novib,3__O2(X)_O(3P)_O2+(X),2026-04-23_14-32-46,34,34,34,34,"50, 50",2,3053,6,3,2,11,3,"O2(X), O(3P), O2+(X)","O2(a), O2(b), O2(Hz), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,5000,4988,0.007807888103028139,0.006325328620150685,0.0057219369243830445,0.007123084273189306,0.08439836653152302,8.609577764811676e-42,2.934208200658514e-21,298.77586698532104,0.18127016723155975,1.5077966451644897,0.017776018008589745,0.13610784709453583,0.07609065622091293,0.4536258578300476
O2_novib,3__O2(X)_O(3P)_O2+(X),2026-04-23_14-32-46,34,34,34,34,"30, 30, 30",3,2163,6,3,2,11,3,"O2(X), O(3P), O2+(X)","O2(a), O2(b), O2(Hz), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,658,558,0.017101063711775673,0.017503358609974384,0.017461957484483717,0.01609897054731846,0.12688171872779175,1.9521488906509027e-41,4.418312902738898e-21,33.97210454940796,0.2666390538215637,0.7576795220375061,0.06885716319084167,0.5491579174995422,0.1339929848909378,0.31400907039642334
O2_novib,3__O2(X)_O(3P)_O2+(X),2026-04-23_14-32-46,35,35,35,35,"30, 30",2,1233,6,3,2,11,3,"O2(X), O(3P), O2+(X)","O2(a), O2(b), O2(Hz), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,5000,4999,0.008862646246949832,0.00811194183304906,0.007585249841213226,0.00951595138758421,0.09754973801904447,1.1616764269252734e-41,3.4083374641095524e-21,217.48461365699768,0.21489129960536957,1.5810604095458984,0.019159292802214622,0.14576613903045654,0.09061897546052933,0.45210912823677063
