scheme,experiment_name,fullrun_timestamp,seed,split_seed,shuffle_seed,weight_seed,hidden_size,depth,num_parameters,input_size,output_size,num_pressure_conditions,num_species_total,num_species_kept,kept_species,removed_species,activation,learning_rate,batch_size,epochs_ran,best_epoch,final_train_loss,final_val_loss,best_val_loss,test_mse,test_rmse,test_mse_unscaled,test_rmse_unscaled,training_time_s,mean_rel_error_k1,max_rel_error_k1,mean_rel_error_k2,max_rel_error_k2,mean_rel_error_k3,max_rel_error_k3
O2_novib,3__O2(X)_O2(a)_O(1D),2026-04-23_14-32-46,32,32,32,32,"30, 30",2,1233,6,3,2,11,3,"O2(X), O2(a), O(1D)","O2(b), O2(Hz), O2+(X), O(3P), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,2792,2692,0.00023731233248124934,0.00026111521292477847,0.00023015526996459813,0.00019168572907801718,0.013845061541142284,5.5491419187262756e-43,7.449256284171109e-22,171.191650390625,0.018815336748957634,0.19720351696014404,0.007885344326496124,0.04987529665231705,0.023847918957471848,0.09430144727230072
O2_novib,3__O2(X)_O2(a)_O(1D),2026-04-23_14-32-46,32,32,32,32,"50, 50",2,3053,6,3,2,11,3,"O2(X), O2(a), O(1D)","O2(b), O2(Hz), O2+(X), O(3P), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,2060,1960,0.0003110174310212541,0.00024078152724541724,0.000213234344846569,0.0001755633275024593,0.013250031226471101,4.946583579066604e-43,7.03319527602256e-22,162.6742582321167,0.019348880276083946,0.17530402541160583,0.007233439013361931,0.04823267087340355,0.022065913304686546,0.07923677563667297
O2_novib,3__O2(X)_O2(a)_O(1D),2026-04-23_14-32-46,32,32,32,32,"30, 30, 30",3,2163,6,3,2,11,3,"O2(X), O2(a), O(1D)","O2(b), O2(Hz), O2+(X), O(3P), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,1972,1872,0.00018870244598171362,0.00020511705748504027,0.0001730168901849538,0.0001480502396589145,0.012167589722657256,4.2319213622609476e-43,6.505321946115309e-22,102.75012040138245,0.014424042776226997,0.1708398014307022,0.007116553373634815,0.04173167422413826,0.018931569531559944,0.09041078388690948
O2_novib,3__O2(X)_O2(a)_O(1D),2026-04-23_14-32-46,33,33,33,33,"30, 30",2,1233,6,3,2,11,3,"O2(X), O2(a), O(1D)","O2(b), O2(Hz), O2+(X), O(3P), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,2574,2474,0.00024335444468306377,0.0001467509925714694,0.00012561403797008098,0.00019257441454101354,0.01387711838030553,4.792440747990874e-43,6.922745660495462e-22,113.03310346603394,0.019104627892374992,0.23226326704025269,0.007355574518442154,0.04452027380466461,0.020339351147413254,0.09404142200946808
O2_novib,3__O2(X)_O2(a)_O(1D),2026-04-23_14-32-46,33,33,33,33,"50, 50",2,3053,6,3,2,11,3,"O2(X), O2(a), O(1D)","O2(b), O2(Hz), O2+(X), O(3P), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,2061,1961,0.00027101244809778614,0.0001818444614764303,0.0001265390164917335,0.00017628195928409696,0.013277121649065996,4.848492686563867e-43,6.963111866517633e-22,155.2887737751007,0.017694251611828804,0.19891124963760376,0.007020981516689062,0.04207215830683708,0.020805349573493004,0.10086047649383545
O2_novib,3__O2(X)_O2(a)_O(1D),2026-04-23_14-32-46,33,33,33,33,"30, 30, 30",3,2163,6,3,2,11,3,"O2(X), O2(a), O(1D)","O2(b), O2(Hz), O2+(X), O(3P), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,1932,1832,0.00023181621328047995,0.00021725457394495607,9.878961107460782e-05,0.00018007309699896723,0.013419131752798585,4.764414778704378e-43,6.902474033782654e-22,99.8903341293335,0.014085366390645504,0.2323995977640152,0.006294104270637035,0.037433870136737823,0.01960548385977745,0.09959731996059418
O2_novib,3__O2(X)_O2(a)_O(1D),2026-04-23_14-32-46,34,34,34,34,"30, 30",2,1233,6,3,2,11,3,"O2(X), O2(a), O(1D)","O2(b), O2(Hz), O2+(X), O(3P), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,4530,4430,0.0002787644032570016,0.0003359022963559255,0.00013259236991871147,0.00017945635772775859,0.01339613219282934,4.8064537326341226e-43,6.932859246107714e-22,198.66391897201538,0.015470989048480988,0.23038847744464874,0.0070693837478756905,0.045900776982307434,0.020007483661174774,0.09576765447854996
O2_novib,3__O2(X)_O2(a)_O(1D),2026-04-23_14-32-46,34,34,34,34,"50, 50",2,3053,6,3,2,11,3,"O2(X), O2(a), O(1D)","O2(b), O2(Hz), O2+(X), O(3P), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,2503,2403,0.0002601541170992682,0.00014736835320945828,0.00013399238378042355,0.00018458497652318329,0.013586205376159425,4.8064537326341226e-43,6.932859246107714e-22,183.24705123901367,0.019094115123152733,0.22827371954917908,0.006063809618353844,0.03597065433859825,0.020293662324547768,0.10149718821048737
O2_novib,3__O2(X)_O2(a)_O(1D),2026-04-23_14-32-46,34,34,34,34,"30, 30, 30",3,2163,6,3,2,11,3,"O2(X), O2(a), O(1D)","O2(b), O2(Hz), O2+(X), O(3P), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,2658,2558,0.00020973176333225437,0.00020941586000844837,0.00010029922967078164,0.0001710476353764534,0.0130785180879354,4.526194039769159e-43,6.727699487766349e-22,137.3969931602478,0.013181066140532494,0.22854457795619965,0.0054117171093821526,0.03611074760556221,0.018950683996081352,0.08695705980062485
O2_novib,3__O2(X)_O2(a)_O(1D),2026-04-23_14-32-46,35,35,35,35,"30, 30",2,1233,6,3,2,11,3,"O2(X), O2(a), O(1D)","O2(b), O2(Hz), O2+(X), O(3P), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,4676,4576,0.0002024728342560896,0.00010611308200168423,0.00010269793900079094,0.00015188353427220136,0.012324103791846341,4.273960316190692e-43,6.537553300884584e-22,204.80465531349182,0.012710260227322578,0.19560274481773376,0.006908417213708162,0.046558450907468796,0.019909067079424858,0.08520741760730743
