scheme,experiment_name,fullrun_timestamp,seed,split_seed,shuffle_seed,weight_seed,hidden_size,depth,num_parameters,input_size,output_size,num_pressure_conditions,num_species_total,num_species_kept,kept_species,removed_species,activation,learning_rate,batch_size,epochs_ran,best_epoch,final_train_loss,final_val_loss,best_val_loss,test_mse,test_rmse,test_mse_unscaled,test_rmse_unscaled,training_time_s,mean_rel_error_k1,max_rel_error_k1,mean_rel_error_k2,max_rel_error_k2,mean_rel_error_k3,max_rel_error_k3
O2_novib,3__O2(X)_O2(b)_O2(Hz),2026-04-23_14-32-46,32,32,32,32,"30, 30",2,1233,6,3,2,11,3,"O2(X), O2(b), O2(Hz)","O2(a), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,1201,1101,0.0009705955141948329,0.0008621526136994361,0.0008484568167477846,0.0010240859119221568,0.03200134234562914,2.6624670822171524e-43,5.159909962603177e-22,80.55073642730713,0.04949696362018585,0.3379362225532532,0.06840156763792038,0.4522630572319031,0.017991378903388977,0.0832277461886406
O2_novib,3__O2(X)_O2(b)_O2(Hz),2026-04-23_14-32-46,32,32,32,32,"50, 50",2,3053,6,3,2,11,3,"O2(X), O2(b), O2(Hz)","O2(a), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,5000,4964,8.685094545297842e-05,7.383691787254066e-05,5.770762523752637e-05,6.245783879421651e-05,0.007903027191792807,1.401298464324817e-45,3.743392130574644e-23,370.3675627708435,0.01756327599287033,0.1400597244501114,0.009965621866285801,0.04844477027654648,0.0013997858623042703,0.006677172612398863
O2_novib,3__O2(X)_O2(b)_O2(Hz),2026-04-23_14-32-46,32,32,32,32,"30, 30, 30",3,2163,6,3,2,11,3,"O2(X), O2(b), O2(Hz)","O2(a), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,5000,4977,2.377446424361551e-05,9.02983674313873e-05,9.056418421096168e-06,9.934487934515346e-06,0.0031519022723611443,4.203895392974451e-45,6.483745362808791e-23,369.89098715782166,0.008787641301751137,0.043160371482372284,0.0015157957095652819,0.008904948830604553,0.0021633573342114687,0.009709253907203674
O2_novib,3__O2(X)_O2(b)_O2(Hz),2026-04-23_14-32-46,33,33,33,33,"30, 30",2,1233,6,3,2,11,3,"O2(X), O2(b), O2(Hz)","O2(a), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,5000,4994,0.0004101485343158452,0.0003895656776148826,0.0003891413996461779,0.0004067585396114737,0.020168255740432132,4.203895392974451e-44,2.0503403115030567e-22,301.0392563343048,0.02951023168861866,0.15876534581184387,0.041079673916101456,0.1312554031610489,0.007076171692460775,0.042667992413043976
O2_novib,3__O2(X)_O2(b)_O2(Hz),2026-04-23_14-32-46,33,33,33,33,"50, 50",2,3053,6,3,2,11,3,"O2(X), O2(b), O2(Hz)","O2(a), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,5000,4996,9.4751489410151e-05,0.00010856117558432743,8.112276089377701e-05,8.285477088065818e-05,0.009102459606098682,1.5414283107572988e-44,1.2415427140285182e-22,372.034086227417,0.018022267147898674,0.1666109561920166,0.013338848017156124,0.04946623370051384,0.004617624916136265,0.020415116101503372
O2_novib,3__O2(X)_O2(b)_O2(Hz),2026-04-23_14-32-46,33,33,33,33,"30, 30, 30",3,2163,6,3,2,11,3,"O2(X), O2(b), O2(Hz)","O2(a), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,3468,3368,3.353683155890192e-05,2.722164055739995e-05,2.137021168891806e-05,2.253643651783932e-05,0.0047472556827960425,4.203895392974451e-45,6.483745362808791e-23,247.09479475021362,0.013660861179232597,0.09503898024559021,0.0026340133044868708,0.010312595404684544,0.0022071008570492268,0.010425649583339691
O2_novib,3__O2(X)_O2(b)_O2(Hz),2026-04-23_14-32-46,34,34,34,34,"30, 30",2,1233,6,3,2,11,3,"O2(X), O2(b), O2(Hz)","O2(a), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,5000,5000,0.00041940466914739874,0.00039921716670505704,0.00039921716670505704,0.00044482643716037273,0.02109090887468752,8.127531093083939e-44,2.8508825112732966e-22,301.67703223228455,0.03112313523888588,0.1906079649925232,0.04166635498404503,0.15012305974960327,0.010090874508023262,0.03486934304237366
O2_novib,3__O2(X)_O2(b)_O2(Hz),2026-04-23_14-32-46,34,34,34,34,"50, 50",2,3053,6,3,2,11,3,"O2(X), O2(b), O2(Hz)","O2(a), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,5000,4957,5.782608501855672e-05,0.00011567116162041202,4.499783302890137e-05,4.9956859584199265e-05,0.007068016665529253,1.401298464324817e-45,3.743392130574644e-23,373.87385272979736,0.017033180221915245,0.12754538655281067,0.007389607839286327,0.03031778521835804,0.0012099756859242916,0.004237147513777018
O2_novib,3__O2(X)_O2(b)_O2(Hz),2026-04-23_14-32-46,34,34,34,34,"30, 30, 30",3,2163,6,3,2,11,3,"O2(X), O2(b), O2(Hz)","O2(a), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,4100,4000,9.81603265952597e-06,7.658664471819066e-06,5.394965664891061e-06,5.045923444413347e-06,0.0022463133005912925,2.802596928649634e-45,5.293955920339377e-23,300.39996790885925,0.005646431352943182,0.02408004179596901,0.0021112882532179356,0.012038972228765488,0.0015912674134597182,0.00650390749797225
O2_novib,3__O2(X)_O2(b)_O2(Hz),2026-04-23_14-32-46,35,35,35,35,"30, 30",2,1233,6,3,2,11,3,"O2(X), O2(b), O2(Hz)","O2(a), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,5000,4986,0.000295451901296878,0.0002817988826427609,0.00024621286429464816,0.00031895303982309997,0.017859256418538257,9.10844001811131e-44,3.0180192209645236e-22,300.90988278388977,0.02991502359509468,0.21473298966884613,0.029588889330625534,0.09002327919006348,0.0108551736921072,0.06536436080932617
