scheme,experiment_name,fullrun_timestamp,seed,split_seed,shuffle_seed,weight_seed,hidden_size,depth,num_parameters,input_size,output_size,num_pressure_conditions,num_species_total,num_species_kept,kept_species,removed_species,activation,learning_rate,batch_size,epochs_ran,best_epoch,final_train_loss,final_val_loss,best_val_loss,test_mse,test_rmse,test_mse_unscaled,test_rmse_unscaled,training_time_s,mean_rel_error_k1,max_rel_error_k1,mean_rel_error_k2,max_rel_error_k2,mean_rel_error_k3,max_rel_error_k3
O2_novib,3__O2(X)_O2(b)_O2+(X),2026-04-23_14-32-46,32,32,32,32,"30, 30",2,1233,6,3,2,11,3,"O2(X), O2(b), O2+(X)","O2(a), O2(Hz), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,1934,1834,0.0010337988721827666,0.0009025365486741066,0.0008495349599979818,0.0010933977318927646,0.03306656516623347,1.0509738482436128e-43,3.241872681404396e-22,88.996009349823,0.04646168649196625,0.26880019903182983,0.0702490359544754,0.48856884241104126,0.010893292725086212,0.05294928327202797
O2_novib,3__O2(X)_O2(b)_O2+(X),2026-04-23_14-32-46,32,32,32,32,"50, 50",2,3053,6,3,2,11,3,"O2(X), O2(b), O2+(X)","O2(a), O2(Hz), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,5000,4954,0.00013158117317491107,0.00011190662975423038,9.06149810180068e-05,0.00010184532584389672,0.010091844521389374,1.2611686178923354e-44,1.123017639172393e-22,37852.44784498215,0.020274460315704346,0.14675423502922058,0.013410245068371296,0.044914886355400085,0.0033939171116799116,0.01527190301567316
O2_novib,3__O2(X)_O2(b)_O2+(X),2026-04-23_14-32-46,32,32,32,32,"30, 30, 30",3,2163,6,3,2,11,3,"O2(X), O2(b), O2+(X)","O2(a), O2(Hz), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,971,871,0.001064016340403921,0.0010446484154090286,0.0008553447294980288,0.0011005670530721545,0.033174795448836676,6.866362475191604e-44,2.6203744914022506e-22,60.63933825492859,0.04906506836414337,0.33213746547698975,0.06962796300649643,0.4307660460472107,0.007304065860807896,0.04065099358558655
O2_novib,3__O2(X)_O2(b)_O2+(X),2026-04-23_14-32-46,33,33,33,33,"30, 30",2,1233,6,3,2,11,3,"O2(X), O2(b), O2+(X)","O2(a), O2(Hz), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,1561,1461,0.0011591631854470405,0.0013555930647999048,0.0011204022774472832,0.0011930390028283,0.034540396680239505,7.847271400218976e-44,2.801298163391212e-22,67.67033767700195,0.05359500274062157,0.3652319014072418,0.07198580354452133,0.4607692062854767,0.00760614825412631,0.04128602147102356
O2_novib,3__O2(X)_O2(b)_O2+(X),2026-04-23_14-32-46,33,33,33,33,"50, 50",2,3053,6,3,2,11,3,"O2(X), O2(b), O2+(X)","O2(a), O2(Hz), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,1724,1624,0.0010778426619557043,0.001072267615236342,0.0010721998335793614,0.0011503443820402026,0.03391672717170987,6.165713243029195e-44,2.4830854280570364e-22,124.94019150733948,0.05252007022500038,0.36634111404418945,0.07083114981651306,0.4144718050956726,0.0065889800898730755,0.03705710545182228
O2_novib,3__O2(X)_O2(b)_O2+(X),2026-04-23_14-32-46,33,33,33,33,"30, 30, 30",3,2163,6,3,2,11,3,"O2(X), O2(b), O2+(X)","O2(a), O2(Hz), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,5000,4910,6.51997755954249e-05,3.658567686215974e-05,3.0492117657558994e-05,3.654553074738942e-05,0.006045289963880097,1.8216880036222622e-44,1.3496992270955266e-22,261.66209650039673,0.015974368900060654,0.08847938477993011,0.0048992871306836605,0.03136922046542168,0.0029697404243052006,0.016993585973978043
O2_novib,3__O2(X)_O2(b)_O2+(X),2026-04-23_14-32-46,34,34,34,34,"30, 30",2,1233,6,3,2,11,3,"O2(X), O2(b), O2+(X)","O2(a), O2(Hz), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,1425,1325,0.001103432202556481,0.0010497651062905788,0.0009892284637317062,0.0012223931262269616,0.034962739112188584,8.407790785948902e-44,2.899619076007899e-22,64.20129108428955,0.05174018070101738,0.3368161916732788,0.07163702696561813,0.4826492369174957,0.009859039448201656,0.04858599603176117
O2_novib,3__O2(X)_O2(b)_O2+(X),2026-04-23_14-32-46,34,34,34,34,"50, 50",2,3053,6,3,2,11,3,"O2(X), O2(b), O2+(X)","O2(a), O2(Hz), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,1153,1053,0.0011140440062930186,0.001103219846263528,0.0009714497672393918,0.0011473995400592685,0.03387328652580479,7.567011707354012e-44,2.750820188117357e-22,91.67640542984009,0.05308199301362038,0.35192716121673584,0.06991192698478699,0.44034552574157715,0.008906406350433826,0.04730188101530075
O2_novib,3__O2(X)_O2(b)_O2+(X),2026-04-23_14-32-46,34,34,34,34,"30, 30, 30",3,2163,6,3,2,11,3,"O2(X), O2(b), O2+(X)","O2(a), O2(Hz), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,5000,4999,5.1460639341611464e-05,5.2548979874700306e-05,4.069915754371323e-05,4.812120459973812e-05,0.006936944903899563,4.203895392974451e-45,6.483745362808791e-23,401.226948261261,0.016248131170868874,0.12429342418909073,0.006111887749284506,0.023752912878990173,0.001779724843800068,0.006721180398017168
O2_novib,3__O2(X)_O2(b)_O2+(X),2026-04-23_14-32-46,35,35,35,35,"30, 30",2,1233,6,3,2,11,3,"O2(X), O2(b), O2+(X)","O2(a), O2(Hz), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,2879,2779,0.001064206131009592,0.0008753698784857988,0.0008621723554097116,0.0011259440798312426,0.033555090222367794,5.184804318001823e-44,2.2770165388072663e-22,215.97865557670593,0.050206299871206284,0.31010907888412476,0.07055544853210449,0.36080387234687805,0.006786630023270845,0.03884393721818924
