scheme,experiment_name,fullrun_timestamp,seed,split_seed,shuffle_seed,weight_seed,hidden_size,depth,num_parameters,input_size,output_size,num_pressure_conditions,num_species_total,num_species_kept,kept_species,removed_species,activation,learning_rate,batch_size,epochs_ran,best_epoch,final_train_loss,final_val_loss,best_val_loss,test_mse,test_rmse,test_mse_unscaled,test_rmse_unscaled,training_time_s,mean_rel_error_k1,max_rel_error_k1,mean_rel_error_k2,max_rel_error_k2,mean_rel_error_k3,max_rel_error_k3
O2_novib,3__O2(X)_O3(X)_O(3P),2026-04-23_14-32-46,32,32,32,32,"30, 30",2,1233,6,3,2,11,3,"O2(X), O3(X), O(3P)","O2(a), O2(b), O2(Hz), O2+(X), O(1D), O+(gnd), O-(gnd), O3(exc)",tanh,0.0001,16,5000,4994,0.0001881529299943294,0.00016775317024439573,0.00013032560818828642,0.00015351909678429365,0.012390282352888237,1.5414283107572988e-44,1.2415427140285182e-22,222.54032731056213,0.03162167966365814,0.24248911440372467,0.010773282498121262,0.0592731311917305,0.004255583509802818,0.022803401574492455
O2_novib,3__O2(X)_O3(X)_O(3P),2026-04-23_14-32-46,32,32,32,32,"50, 50",2,3053,6,3,2,11,3,"O2(X), O3(X), O(3P)","O2(a), O2(b), O2(Hz), O2+(X), O(1D), O+(gnd), O-(gnd), O3(exc)",tanh,0.0001,16,5000,4982,4.712574765209057e-05,5.768281756900251e-05,2.8012361799483187e-05,3.2663716410752386e-05,0.005715217967037861,5.605193857299268e-45,7.486784261149288e-23,299.9628620147705,0.015100984834134579,0.06054159253835678,0.002464066492393613,0.01750972308218479,0.002305716974660754,0.010247851721942425
O2_novib,3__O2(X)_O3(X)_O(3P),2026-04-23_14-32-46,32,32,32,32,"30, 30, 30",3,2163,6,3,2,11,3,"O2(X), O3(X), O(3P)","O2(a), O2(b), O2(Hz), O2+(X), O(1D), O+(gnd), O-(gnd), O3(exc)",tanh,0.0001,16,3854,3754,5.8989118956055286e-05,0.00011051000852603465,2.71155664086109e-05,3.0098919523879886e-05,0.005486248219309794,2.802596928649634e-45,5.293955920339377e-23,202.50380444526672,0.012626580893993378,0.06086118146777153,0.0051651583053171635,0.024701816961169243,0.0017503008712083101,0.0070577701553702354
O2_novib,3__O2(X)_O3(X)_O(3P),2026-04-23_14-32-46,33,33,33,33,"30, 30",2,1233,6,3,2,11,3,"O2(X), O3(X), O(3P)","O2(a), O2(b), O2(Hz), O2+(X), O(1D), O+(gnd), O-(gnd), O3(exc)",tanh,0.0001,16,3582,3482,0.000187915422138758,0.00018015278648817913,0.00010474129623617046,0.00013829956878907979,0.011760083706720789,9.80908925027372e-45,9.904084637296735e-23,159.83266925811768,0.03011029027402401,0.2380818873643875,0.0083931814879179,0.03316237032413483,0.0029370307456701994,0.018195994198322296
O2_novib,3__O2(X)_O3(X)_O(3P),2026-04-23_14-32-46,33,33,33,33,"50, 50",2,3053,6,3,2,11,3,"O2(X), O3(X), O(3P)","O2(a), O2(b), O2(Hz), O2+(X), O(1D), O+(gnd), O-(gnd), O3(exc)",tanh,0.0001,16,3733,3633,0.00013417684149721431,0.00010658131068339572,8.186040853615851e-05,0.00010855754226213321,0.010419095078850813,1.961817850054744e-44,1.400649081695606e-22,221.79196548461914,0.02558314800262451,0.15679429471492767,0.007708005141466856,0.0469224750995636,0.004807611461728811,0.02694433555006981
O2_novib,3__O2(X)_O3(X)_O(3P),2026-04-23_14-32-46,33,33,33,33,"30, 30, 30",3,2163,6,3,2,11,3,"O2(X), O3(X), O(3P)","O2(a), O2(b), O2(Hz), O2+(X), O(1D), O+(gnd), O-(gnd), O3(exc)",tanh,0.0001,16,3741,3641,7.115197588670223e-05,2.4812714254949242e-05,1.8823295613401568e-05,2.2735301172360778e-05,0.004768154902303487,4.203895392974451e-45,6.483745362808791e-23,196.31352615356445,0.011511137709021568,0.05553091689944267,0.003209145972505212,0.013677396811544895,0.001995438477024436,0.009726803749799728
O2_novib,3__O2(X)_O3(X)_O(3P),2026-04-23_14-32-46,34,34,34,34,"30, 30",2,1233,6,3,2,11,3,"O2(X), O3(X), O(3P)","O2(a), O2(b), O2(Hz), O2+(X), O(1D), O+(gnd), O-(gnd), O3(exc)",tanh,0.0001,16,5000,4995,0.00010591588928946294,8.390825416427106e-05,6.76026803557761e-05,8.04558876552619e-05,0.008969720600735672,2.1019476964872256e-44,1.4498095380039496e-22,222.60659909248352,0.023701457306742668,0.15041983127593994,0.005140149965882301,0.022279497236013412,0.005275445524603128,0.025063734501600266
O2_novib,3__O2(X)_O3(X)_O(3P),2026-04-23_14-32-46,34,34,34,34,"50, 50",2,3053,6,3,2,11,3,"O2(X), O3(X), O(3P)","O2(a), O2(b), O2(Hz), O2+(X), O(1D), O+(gnd), O-(gnd), O3(exc)",tanh,0.0001,16,5000,4989,6.488298129018707e-05,5.856714109540917e-05,5.021273624151945e-05,5.96839417994488e-05,0.007725538285417321,9.80908925027372e-45,9.904084637296735e-23,409.2176470756531,0.020693862810730934,0.12664538621902466,0.004287221468985081,0.023185230791568756,0.00295517616905272,0.015401989221572876
O2_novib,3__O2(X)_O3(X)_O(3P),2026-04-23_14-32-46,34,34,34,34,"30, 30, 30",3,2163,6,3,2,11,3,"O2(X), O3(X), O(3P)","O2(a), O2(b), O2(Hz), O2+(X), O(1D), O+(gnd), O-(gnd), O3(exc)",tanh,0.0001,16,2987,2887,6.289016891160928e-05,2.5591698940843343e-05,2.0228077919455244e-05,2.0777837562491186e-05,0.004558271334891242,4.203895392974451e-45,6.483745362808791e-23,233.62921857833862,0.011617067269980907,0.06243949010968208,0.0020932313054800034,0.008954266086220741,0.0020916289649903774,0.011187909170985222
O2_novib,3__O2(X)_O3(X)_O(3P),2026-04-23_14-32-46,35,35,35,35,"30, 30",2,1233,6,3,2,11,3,"O2(X), O3(X), O(3P)","O2(a), O2(b), O2(Hz), O2+(X), O(1D), O+(gnd), O-(gnd), O3(exc)",tanh,0.0001,16,5000,4985,0.00012667623316196518,0.00020629088627174496,9.796543483389541e-05,0.00011052881018258631,0.01051326829214333,1.8216880036222622e-44,1.3496992270955266e-22,314.54949498176575,0.026505978778004646,0.18037259578704834,0.00805283710360527,0.0464138388633728,0.004477875307202339,0.021032923832535744
