scheme,experiment_name,seed,split_seed,shuffle_seed,weight_seed,hidden_size,depth,num_parameters,input_size,output_size,num_pressure_conditions,num_species_total,num_species_kept,kept_species,removed_species,activation,learning_rate,batch_size,epochs_ran,best_epoch,final_train_loss,final_val_loss,best_val_loss,training_time_s,cached_training_time_s,reused_saved_weights,saved_weights_path,test_mse,test_rmse,test_mse_unscaled,test_rmse_unscaled,mean_rel_error_k1,max_rel_error_k1,mean_rel_error_k2,max_rel_error_k2,mean_rel_error_k3,max_rel_error_k3,display_species_for_folder,folder_species_slots
O2_novib,3__O2(a)_O2(b)_O3(X),32,32,32,32,"30, 30",2,1233,6,3,2,11,3,"O2(a), O2(b), O3(X)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(exc)",tanh,0.0001,16,2815,2715,6.505409168716546e-06,8.21693323814543e-06,5.369359405449358e-06,234.43717288970947,234.43717288970947,False,"saved_weights\O2_novib\3__O2(a)__O2(b)__O3(X)\seed_0032\30, 30\model.pth",5.396798314905027e-06,0.0023231010126348417,2.802596928649634e-45,5.293955920339377e-23,0.005606696009635925,0.028217347338795662,0.002029463415965438,0.010837865993380547,0.002026207046583295,0.009187646210193634,"O2(a), O2(b), O3(X)",3
O2_novib,3__O2(a)_O2(b)_O3(X),32,32,32,32,"50, 50",2,3053,6,3,2,11,3,"O2(a), O2(b), O3(X)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(exc)",tanh,0.0001,16,3466,3366,2.3479218695380646e-06,2.2884314557813924e-06,1.1112937136203983e-06,329.91360783576965,329.91360783576965,False,"saved_weights\O2_novib\3__O2(a)__O2(b)__O3(X)\seed_0032\50, 50\model.pth",1.0028373935710988e-06,0.0010014176918604438,1.401298464324817e-45,3.743392130574644e-23,0.0022897117305547,0.014501724392175674,0.0007719201385043561,0.0027567504439502954,0.000787418510299176,0.0023536705411970615,"O2(a), O2(b), O3(X)",3
O2_novib,3__O2(a)_O2(b)_O3(X),32,32,32,32,"30, 30, 30",3,2163,6,3,2,11,3,"O2(a), O2(b), O3(X)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(exc)",tanh,0.0001,16,2460,2360,1.8987568738440233e-06,1.4465687308984342e-06,1.0062893579743105e-06,219.49123311042786,219.49123311042786,False,"saved_weights\O2_novib\3__O2(a)__O2(b)__O3(X)\seed_0032\30, 30, 30\model.pth",9.738386097524199e-07,0.000986832614860504,1.401298464324817e-45,3.743392130574644e-23,0.0022008828818798065,0.010433735325932503,0.0008419273653998971,0.004252241458743811,0.0008042114786803722,0.002415283350273967,"O2(a), O2(b), O3(X)",3
O2_novib,3__O2(a)_O2(b)_O3(X),33,33,33,33,"30, 30",2,1233,6,3,2,11,3,"O2(a), O2(b), O3(X)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(exc)",tanh,0.0001,16,4929,4829,2.6926583000709394e-06,1.1229178489884362e-05,1.4015336932970968e-06,375.14168906211853,375.14168906211853,False,"saved_weights\O2_novib\3__O2(a)__O2(b)__O3(X)\seed_0033\30, 30\model.pth",1.3063448704997427e-06,0.0011429544481298206,0.0,0.0,0.0025234008207917213,0.01563357189297676,0.0011643408797681332,0.004075173754245043,0.0005480700638145208,0.0023815911263227463,"O2(a), O2(b), O3(X)",3
O2_novib,3__O2(a)_O2(b)_O3(X),33,33,33,33,"50, 50",2,3053,6,3,2,11,3,"O2(a), O2(b), O3(X)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(exc)",tanh,0.0001,16,3739,3639,2.7707606573636034e-06,1.8028093882094254e-06,8.188486572180409e-07,302.97952151298523,302.97952151298523,False,"saved_weights\O2_novib\3__O2(a)__O2(b)__O3(X)\seed_0033\50, 50\model.pth",7.345681183323904e-07,0.0008570694944591077,0.0,0.0,0.0020987538155168295,0.014065510593354702,0.0005749573465436697,0.0026612267829477787,0.00029462340171448886,0.0011594807729125023,"O2(a), O2(b), O3(X)",3
O2_novib,3__O2(a)_O2(b)_O3(X),33,33,33,33,"30, 30, 30",3,2163,6,3,2,11,3,"O2(a), O2(b), O3(X)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(exc)",tanh,0.0001,16,2241,2141,4.114894445592654e-06,5.884071661057533e-06,1.2674678328039591e-06,200.9158170223236,200.9158170223236,False,"saved_weights\O2_novib\3__O2(a)__O2(b)__O3(X)\seed_0033\30, 30, 30\model.pth",1.1502871757329558e-06,0.0010725144174942153,1.401298464324817e-45,3.743392130574644e-23,0.002106456318870187,0.015530054457485676,0.0013055837480351329,0.004364518914371729,0.0009463599999435246,0.0037771551869809628,"O2(a), O2(b), O3(X)",3
O2_novib,3__O2(a)_O2(b)_O3(X),34,34,34,34,"30, 30",2,1233,6,3,2,11,3,"O2(a), O2(b), O3(X)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(exc)",tanh,0.0001,16,4834,4734,2.0749836853105486e-06,3.2029280282586113e-06,1.083848173948354e-06,362.5587477684021,362.5587477684021,False,"saved_weights\O2_novib\3__O2(a)__O2(b)__O3(X)\seed_0034\30, 30\model.pth",1.0198249356108136e-06,0.001009863820329659,1.401298464324817e-45,3.743392130574644e-23,0.0022889706306159496,0.015305040404200554,0.0007574377814307809,0.004288228694349527,0.0010384218767285347,0.004434715025126934,"O2(a), O2(b), O3(X)",3
O2_novib,3__O2(a)_O2(b)_O3(X),34,34,34,34,"50, 50",2,3053,6,3,2,11,3,"O2(a), O2(b), O3(X)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(exc)",tanh,0.0001,16,3120,3020,2.0336738528688632e-06,2.311356288373645e-06,1.5119215277081822e-06,262.8922300338745,262.8922300338745,False,"saved_weights\O2_novib\3__O2(a)__O2(b)__O3(X)\seed_0034\50, 50\model.pth",1.4450151866185479e-06,0.0012020878448010977,1.401298464324817e-45,3.743392130574644e-23,0.0027613090351223946,0.014030806720256805,0.0008632952230982482,0.0029249286744743586,0.0011630438966676593,0.004164380021393299,"O2(a), O2(b), O3(X)",3
O2_novib,3__O2(a)_O2(b)_O3(X),34,34,34,34,"30, 30, 30",3,2163,6,3,2,11,3,"O2(a), O2(b), O3(X)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(exc)",tanh,0.0001,16,2835,2735,1.3061863018669506e-06,5.872844849363901e-06,4.98601784784114e-07,215.20063400268555,215.20063400268555,False,"saved_weights\O2_novib\3__O2(a)__O2(b)__O3(X)\seed_0034\30, 30, 30\model.pth",3.866641691274708e-07,0.0006218232619703695,0.0,0.0,0.0012899111025035381,0.00903963204473257,0.0005939224502071738,0.0028958325274288654,0.0005186307826079428,0.002957885852083564,"O2(a), O2(b), O3(X)",3
O2_novib,3__O2(a)_O2(b)_O3(X),35,35,35,35,"30, 30",2,1233,6,3,2,11,3,"O2(a), O2(b), O3(X)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(exc)",tanh,0.0001,16,4160,4060,2.8276679005203832e-06,2.134901019417157e-06,1.749055700202007e-06,275.59097599983215,275.59097599983215,False,"saved_weights\O2_novib\3__O2(a)__O2(b)__O3(X)\seed_0035\30, 30\model.pth",1.8269688553118613e-06,0.001351654118223986,1.401298464324817e-45,3.743392130574644e-23,0.0029902278911322355,0.016928590834140778,0.0013841706095263362,0.004407043568789959,0.0010933135636150837,0.00329216499812901,"O2(a), O2(b), O3(X)",3
