scheme,experiment_name,seed,split_seed,shuffle_seed,weight_seed,hidden_size,depth,num_parameters,input_size,output_size,num_pressure_conditions,num_species_total,num_species_kept,kept_species,removed_species,activation,learning_rate,batch_size,epochs_ran,best_epoch,final_train_loss,final_val_loss,best_val_loss,training_time_s,cached_training_time_s,reused_saved_weights,saved_weights_path,test_mse,test_rmse,test_mse_unscaled,test_rmse_unscaled,mean_rel_error_k1,max_rel_error_k1,mean_rel_error_k2,max_rel_error_k2,mean_rel_error_k3,max_rel_error_k3,display_species_for_folder,folder_species_slots
O2_novib,3__O2(a)_O2(b)_O3(exc),32,32,32,32,"30, 30",2,1233,6,3,2,11,3,"O2(a), O2(b), O3(exc)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X)",tanh,0.0001,16,3473,3373,4.471799766179174e-06,3.972296299252775e-06,3.2832315628184004e-06,151.91726446151733,151.91726446151733,False,"saved_weights\O2_novib\3__O2(a)__O2(b)__O3(exc)\seed_0032\30, 30\model.pth",3.3141398034786107e-06,0.0018204779052431838,1.401298464324817e-45,3.743392130574644e-23,0.004369921516627073,0.019481200724840164,0.001094688894227147,0.0070924898609519005,0.001314297434873879,0.004567024298012257,"O2(a), O2(b), O3(exc)",3
O2_novib,3__O2(a)_O2(b)_O3(exc),32,32,32,32,"50, 50",2,3053,6,3,2,11,3,"O2(a), O2(b), O3(exc)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X)",tanh,0.0001,16,3815,3715,3.219118398192222e-06,6.1401502534863536e-06,1.5100444898052957e-06,212.52689862251282,212.52689862251282,False,"saved_weights\O2_novib\3__O2(a)__O2(b)__O3(exc)\seed_0032\50, 50\model.pth",1.254695121133409e-06,0.0011201317427577031,0.0,0.0,0.002598273567855358,0.012311054393649101,0.0006455820985138416,0.005248032510280609,0.0007103641983121634,0.0027619660831987858,"O2(a), O2(b), O3(exc)",3
O2_novib,3__O2(a)_O2(b)_O3(exc),32,32,32,32,"30, 30, 30",3,2163,6,3,2,11,3,"O2(a), O2(b), O3(exc)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X)",tanh,0.0001,16,1602,1502,4.6821907300101075e-06,5.62813464057399e-06,2.529544544813689e-06,82.31192827224731,82.31192827224731,False,"saved_weights\O2_novib\3__O2(a)__O2(b)__O3(exc)\seed_0032\30, 30, 30\model.pth",2.6138502562389476e-06,0.001616740627385527,1.401298464324817e-45,3.743392130574644e-23,0.003952653147280216,0.013371621258556843,0.0008905464201234281,0.005270450375974178,0.0012057615676894784,0.005732757970690727,"O2(a), O2(b), O3(exc)",3
O2_novib,3__O2(a)_O2(b)_O3(exc),33,33,33,33,"30, 30",2,1233,6,3,2,11,3,"O2(a), O2(b), O3(exc)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X)",tanh,0.0001,16,5000,4944,3.4666394741280886e-06,2.2081324095779562e-06,2.055242516689759e-06,227.83839440345764,227.83839440345764,False,"saved_weights\O2_novib\3__O2(a)__O2(b)__O3(exc)\seed_0033\30, 30\model.pth",2.171989990529255e-06,0.001473767278280141,1.401298464324817e-45,3.743392130574644e-23,0.0034048857633024454,0.016968615353107452,0.0010207492159679532,0.009943653829395771,0.000861434091348201,0.0036879228428006172,"O2(a), O2(b), O3(exc)",3
O2_novib,3__O2(a)_O2(b)_O3(exc),33,33,33,33,"50, 50",2,3053,6,3,2,11,3,"O2(a), O2(b), O3(exc)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X)",tanh,0.0001,16,1948,1848,5.207774647715269e-06,9.666499499871861e-06,2.8142089968241636e-06,167.01649022102356,167.01649022102356,False,"saved_weights\O2_novib\3__O2(a)__O2(b)__O3(exc)\seed_0033\50, 50\model.pth",3.4030617825919762e-06,0.0018447389470036069,1.401298464324817e-45,3.743392130574644e-23,0.0043878210708498955,0.023011809214949608,0.0008697286248207092,0.005343656521290541,0.0010328326607123017,0.005539245437830687,"O2(a), O2(b), O3(exc)",3
O2_novib,3__O2(a)_O2(b)_O3(exc),33,33,33,33,"30, 30, 30",3,2163,6,3,2,11,3,"O2(a), O2(b), O3(exc)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X)",tanh,0.0001,16,2590,2490,3.3304975841019767e-06,6.0242291510803625e-06,1.8833579315469252e-06,213.33997130393982,213.33997130393982,False,"saved_weights\O2_novib\3__O2(a)__O2(b)__O3(exc)\seed_0033\30, 30, 30\model.pth",1.5243798543451703e-06,0.0012346577883548017,1.401298464324817e-45,3.743392130574644e-23,0.002784902462735772,0.013362117111682892,0.0008677822188474238,0.004172762855887413,0.0009537693695165217,0.003823533421382308,"O2(a), O2(b), O3(exc)",3
O2_novib,3__O2(a)_O2(b)_O3(exc),34,34,34,34,"30, 30",2,1233,6,3,2,11,3,"O2(a), O2(b), O3(exc)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X)",tanh,0.0001,16,4552,4452,3.1910846817279685e-06,4.141309118494974e-06,1.9227726670578702e-06,317.7335696220398,317.7335696220398,False,"saved_weights\O2_novib\3__O2(a)__O2(b)__O3(exc)\seed_0034\30, 30\model.pth",1.5348376791735063e-06,0.0012388856602501728,1.401298464324817e-45,3.743392130574644e-23,0.002880029147490859,0.014741376042366028,0.0008310794946737587,0.00520690344274044,0.0010023540817201138,0.003511075396090746,"O2(a), O2(b), O3(exc)",3
O2_novib,3__O2(a)_O2(b)_O3(exc),34,34,34,34,"50, 50",2,3053,6,3,2,11,3,"O2(a), O2(b), O3(exc)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X)",tanh,0.0001,16,4207,4107,3.3295885385895315e-06,2.7594779339779054e-06,2.5401473794772756e-06,358.7543272972107,358.7543272972107,False,"saved_weights\O2_novib\3__O2(a)__O2(b)__O3(exc)\seed_0034\50, 50\model.pth",2.3860973215050763e-06,0.0015446997512478197,0.0,0.0,0.003650895319879055,0.017153937369585037,0.0007062452496029437,0.005833074916154146,0.0008190487278625369,0.003908631857484579,"O2(a), O2(b), O3(exc)",3
O2_novib,3__O2(a)_O2(b)_O3(exc),34,34,34,34,"30, 30, 30",3,2163,6,3,2,11,3,"O2(a), O2(b), O3(exc)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X)",tanh,0.0001,16,2050,1950,4.548312983590424e-06,4.793060143128969e-06,2.4797228388706573e-06,163.29898285865784,163.29898285865784,False,"saved_weights\O2_novib\3__O2(a)__O2(b)__O3(exc)\seed_0034\30, 30, 30\model.pth",2.380747673669248e-06,0.0015429671654540312,0.0,0.0,0.003651401959359646,0.011660279706120491,0.0007361253374256194,0.004511724691838026,0.0007630259497091174,0.0029744307976216078,"O2(a), O2(b), O3(exc)",3
O2_novib,3__O2(a)_O2(b)_O3(exc),35,35,35,35,"30, 30",2,1233,6,3,2,11,3,"O2(a), O2(b), O3(exc)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X)",tanh,0.0001,16,2026,1926,6.645915036137416e-06,8.943629345594673e-06,4.2280808338546194e-06,127.59433770179749,127.59433770179749,False,"saved_weights\O2_novib\3__O2(a)__O2(b)__O3(exc)\seed_0035\30, 30\model.pth",5.223382231633877e-06,0.0022854719931851885,1.401298464324817e-45,3.743392130574644e-23,0.00564283411949873,0.031818389892578125,0.001072156010195613,0.006672671064734459,0.0010455215815454721,0.004149031359702349,"O2(a), O2(b), O3(exc)",3
