experiment_name,combination_of_3_species,hidden_size_tuple,architecture,num_species_kept,test_mse_mean,test_mse_std,test_mse_min,test_mse_max,num_seeds,source_mode
3__O2(X)_O2(a)_O2(b),O2(X)  O2(a)  O2(b),"(30, 30)","30, 30",3,1.90546622036436e-06,8.869764416903337e-07,8.205728931898193e-07,4.142018497077515e-06,,seed_aggregate
3__O2(a)_O2(b)_O(3P),O2(a)  O2(b)  O(3P),"(30, 30)","30, 30",3,3.9049462486673295e-06,1.8783892715457791e-06,1.4522174751618877e-06,7.824842214176897e-06,,seed_aggregate
3__O2(a)_O2(b)_NONE,O2(a)  O2(b)  -,"(30, 30)","30, 30",2,4.228333733635736e-06,2.236088181602498e-06,1.2807262237402028e-06,7.688769073865842e-06,,seed_aggregate
3__O2(a)_O2(b)_O+(gnd),O2(a)  O2(b)  O+(gnd),"(30, 30)","30, 30",3,6.370616324602451e-06,5.083362341574405e-06,1.0439865718581132e-06,2.096047865052242e-05,,seed_aggregate
3__O2(a)_O2(b)_O2+(X),O2(a)  O2(b)  O2+(X),"(30, 30)","30, 30",3,6.481483131892673e-06,4.891109475740362e-06,1.2803080835510627e-06,2.0210272850818e-05,,seed_aggregate
3__O2(X)_O3(X)_O(3P),O2(X)  O3(X)  O(3P),"(30, 30)","30, 30",3,0.0001078519957445,3.2564572374343866e-05,4.664774678531103e-05,0.0001846552477218,,seed_aggregate
3__O2(X)_O2(a)_O(1D),O2(X)  O2(a)  O(1D),"(30, 30)","30, 30",3,0.0001826582454668,1.6434332188796726e-05,0.0001518835342722,0.000222442075028,,seed_aggregate
3__O2(X)_O2(b)_O(3P),O2(X)  O2(b)  O(3P),"(30, 30)","30, 30",3,0.000269827019656,0.0003335447924189,5.597585186478682e-05,0.0009959212038666,,seed_aggregate
3__O2(X)_O2(b)_O2(Hz),O2(X)  O2(b)  O2(Hz),"(30, 30)","30, 30",3,0.0006429663775634,0.0003499009694204,7.299292337847874e-05,0.0010240859119221,,seed_aggregate
3__O2(b)_O(3P)_O2+(X),O2(b)  O(3P)  O2+(X),"(30, 30)","30, 30",3,0.000722073441284,0.0003810819329433,0.0001342228933935,0.001347970101051,,seed_aggregate
3__O2(X)_O2(b)_O2+(X),O2(X)  O2(b)  O2+(X),"(30, 30)","30, 30",3,0.001080397478654,0.0001147237409926,0.0007188431336544,0.0012223931262269,,seed_aggregate
3__O2(a)_O(3P)_O2+(X),O2(a)  O(3P)  O2+(X),"(30, 30)","30, 30",3,0.0111959241796284,0.0037207248239576,0.0060241757892072,0.0154570899903774,,seed_aggregate
3__O2(X)_O2(a)_O2(Hz),O2(X)  O2(a)  O2(Hz),"(30, 30)","30, 30",3,0.0142986305989325,0.0019974582249981,0.0084787346422672,0.0155219882726669,,seed_aggregate
3__O2(X)_O2(a)_O(3P),O2(X)  O2(a)  O(3P),"(30, 30)","30, 30",3,0.014326137676835,0.0015381086966782,0.0111849932000041,0.0155334854498505,,seed_aggregate
3__O2(X)_O(3P)_O2+(X),O2(X)  O(3P)  O2+(X),"(30, 30)","30, 30",3,0.0144226626260206,0.0031380877341928,0.0072795748710632,0.0162749458104372,,seed_aggregate
