scheme,experiment_name,seed,split_seed,shuffle_seed,weight_seed,hidden_size,depth,num_parameters,input_size,output_size,num_pressure_conditions,num_species_total,num_species_kept,kept_species,removed_species,activation,learning_rate,batch_size,epochs_ran,best_epoch,final_train_loss,final_val_loss,best_val_loss,training_time_s,cached_training_time_s,reused_saved_weights,saved_weights_path,test_mse,test_rmse,test_mse_unscaled,test_rmse_unscaled,mean_rel_error_k1,max_rel_error_k1,mean_rel_error_k2,max_rel_error_k2,mean_rel_error_k3,max_rel_error_k3,display_species_for_folder,folder_species_slots
O2_novib,3__O2(a)_O2(b)_O(1D),32,32,32,32,"30, 30",2,1233,6,3,2,11,3,"O2(a), O2(b), O(1D)","O2(X), O2(Hz), O2+(X), O(3P), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,2827,2727,9.344109609325338e-06,8.934606939874357e-06,6.798902250011452e-06,178.14353919029236,178.14353919029236,False,"saved_weights\O2_novib\3__O2(a)__O2(b)__O(1D)\seed_0032\30, 30\model.pth",7.4420154305698816e-06,0.0027280057607288665,2.802596928649634e-45,5.293955920339377e-23,0.006719493772834539,0.03485428914427757,0.0020446302369236946,0.008933977223932743,0.0015479868743568659,0.00670879241079092,"O2(a), O2(b), O(1D)",3
O2_novib,3__O2(a)_O2(b)_O(1D),32,32,32,32,"50, 50",2,3053,6,3,2,11,3,"O2(a), O2(b), O(1D)","O2(X), O2(Hz), O2+(X), O(3P), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,3831,3731,3.938538125112245e-06,3.287471681687748e-06,2.1139959017091316e-06,295.4657175540924,295.4657175540924,False,"saved_weights\O2_novib\3__O2(a)__O2(b)__O(1D)\seed_0032\50, 50\model.pth",2.0539860088319983e-06,0.0014331734050114097,1.401298464324817e-45,3.743392130574644e-23,0.0034146918915212154,0.016633518040180206,0.0008407752029597759,0.004293377511203289,0.0011223924811929464,0.003766748122870922,"O2(a), O2(b), O(1D)",3
O2_novib,3__O2(a)_O2(b)_O(1D),32,32,32,32,"30, 30, 30",3,2163,6,3,2,11,3,"O2(a), O2(b), O(1D)","O2(X), O2(Hz), O2+(X), O(3P), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,2364,2264,2.9595831304302716e-06,8.566255451114558e-07,7.582973398712057e-07,173.49889612197876,173.49889612197876,False,"saved_weights\O2_novib\3__O2(a)__O2(b)__O(1D)\seed_0032\30, 30, 30\model.pth",7.354480544563557e-07,0.0008575826808281262,1.401298464324817e-45,3.743392130574644e-23,0.001473123556934297,0.0077537670731544495,0.000999509822577238,0.004720662254840136,0.0009646796970628202,0.003877362236380577,"O2(a), O2(b), O(1D)",3
O2_novib,3__O2(a)_O2(b)_O(1D),33,33,33,33,"30, 30",2,1233,6,3,2,11,3,"O2(a), O2(b), O(1D)","O2(X), O2(Hz), O2+(X), O(3P), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,3405,3305,8.784468245721655e-06,6.831149639765499e-06,5.474448153108824e-06,197.10094285011292,197.10094285011292,False,"saved_weights\O2_novib\3__O2(a)__O2(b)__O(1D)\seed_0033\30, 30\model.pth",6.849080818938091e-06,0.0026170748592537606,1.401298464324817e-45,3.743392130574644e-23,0.00648216437548399,0.03450922667980194,0.0018856797832995653,0.006249330937862396,0.001187280286103487,0.00483339000493288,"O2(a), O2(b), O(1D)",3
O2_novib,3__O2(a)_O2(b)_O(1D),33,33,33,33,"50, 50",2,3053,6,3,2,11,3,"O2(a), O2(b), O(1D)","O2(X), O2(Hz), O2+(X), O(3P), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,4236,4136,4.12337717938903e-06,2.6806559526448838e-06,1.309466333623277e-06,348.0115211009979,348.0115211009979,False,"saved_weights\O2_novib\3__O2(a)__O2(b)__O(1D)\seed_0033\50, 50\model.pth",1.789723796719045e-06,0.0013378055900313188,1.401298464324817e-45,3.743392130574644e-23,0.00271667935885489,0.015672855079174042,0.00096692587248981,0.005042839329689741,0.0007605170249007642,0.0028113601729273796,"O2(a), O2(b), O(1D)",3
O2_novib,3__O2(a)_O2(b)_O(1D),33,33,33,33,"30, 30, 30",3,2163,6,3,2,11,3,"O2(a), O2(b), O(1D)","O2(X), O2(Hz), O2+(X), O(3P), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,3255,3155,2.9935858409165425e-06,8.876366655385936e-07,8.310570933645067e-07,191.0301628112793,191.0301628112793,False,"saved_weights\O2_novib\3__O2(a)__O2(b)__O(1D)\seed_0033\30, 30, 30\model.pth",1.0797789400385227e-06,0.0010391241215747628,1.401298464324817e-45,3.743392130574644e-23,0.0016262988792732358,0.013492878526449203,0.0007929633720777929,0.0036289950367063284,0.0010361223248764873,0.0043937829323112965,"O2(a), O2(b), O(1D)",3
O2_novib,3__O2(a)_O2(b)_O(1D),34,34,34,34,"30, 30",2,1233,6,3,2,11,3,"O2(a), O2(b), O(1D)","O2(X), O2(Hz), O2+(X), O(3P), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,5000,4958,3.707657968637553e-06,2.7404517959439547e-06,2.463226819600095e-06,219.35505485534668,219.35505485534668,False,"saved_weights\O2_novib\3__O2(a)__O2(b)__O(1D)\seed_0034\30, 30\model.pth",2.5661247491370887e-06,0.0016019128406805062,1.401298464324817e-45,3.743392130574644e-23,0.003907888662070036,0.018851488828659058,0.0011777293402701616,0.005363893695175648,0.0008777026669122279,0.003388844197615981,"O2(a), O2(b), O(1D)",3
O2_novib,3__O2(a)_O2(b)_O(1D),34,34,34,34,"50, 50",2,3053,6,3,2,11,3,"O2(a), O2(b), O(1D)","O2(X), O2(Hz), O2+(X), O(3P), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,2724,2624,5.384716461473241e-06,1.0208342682744842e-05,3.219099198759068e-06,153.81575679779053,153.81575679779053,False,"saved_weights\O2_novib\3__O2(a)__O2(b)__O(1D)\seed_0034\50, 50\model.pth",3.4574875371617964e-06,0.0018594320469330942,1.401298464324817e-45,3.743392130574644e-23,0.004394047893583775,0.022701477631926537,0.0014617039123550057,0.009340339340269566,0.0013588489964604378,0.007748533971607685,"O2(a), O2(b), O(1D)",3
O2_novib,3__O2(a)_O2(b)_O(1D),34,34,34,34,"30, 30, 30",3,2163,6,3,2,11,3,"O2(a), O2(b), O(1D)","O2(X), O2(Hz), O2+(X), O(3P), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,3304,3204,1.7612523444970268e-06,1.6139234003276214e-06,6.01274126665885e-07,170.7022740840912,170.7022740840912,False,"saved_weights\O2_novib\3__O2(a)__O2(b)__O(1D)\seed_0034\30, 30, 30\model.pth",7.291087626981607e-07,0.0008538786580645758,0.0,0.0,0.0016411234391853213,0.008982808329164982,0.0008747734827920794,0.004792655352503061,0.0005280656623654068,0.001958513865247369,"O2(a), O2(b), O(1D)",3
O2_novib,3__O2(a)_O2(b)_O(1D),35,35,35,35,"30, 30",2,1233,6,3,2,11,3,"O2(a), O2(b), O(1D)","O2(X), O2(Hz), O2+(X), O(3P), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,3651,3551,5.090063700158175e-06,4.905918958684197e-06,2.871005772249191e-06,160.80323839187622,160.80323839187622,False,"saved_weights\O2_novib\3__O2(a)__O2(b)__O(1D)\seed_0035\30, 30\model.pth",3.3222161164303543e-06,0.0018226947403310173,1.401298464324817e-45,3.743392130574644e-23,0.0044033108279109,0.022907640784978867,0.0014104690635576844,0.0050743985921144485,0.0010572413448244333,0.004592255223542452,"O2(a), O2(b), O(1D)",3
