scheme,experiment_name,species_config_name,kept_species,num_species_kept,input_size,output_size,hidden_size,noise_std,noise_percent,noise_label,test_mse_scaled_mean,test_mse_scaled_std,test_mse_scaled_min,test_mse_scaled_max,test_rmse_scaled_mean,test_rmse_scaled_std,test_rmse_scaled_min,test_rmse_scaled_max,k1_mse_scaled_mean,k1_mse_scaled_std,k1_mse_scaled_min,k1_mse_scaled_max,k1_rmse_scaled_mean,k1_rmse_scaled_std,k1_rmse_scaled_min,k1_rmse_scaled_max,k2_mse_scaled_mean,k2_mse_scaled_std,k2_mse_scaled_min,k2_mse_scaled_max,k2_rmse_scaled_mean,k2_rmse_scaled_std,k2_rmse_scaled_min,k2_rmse_scaled_max,k3_mse_scaled_mean,k3_mse_scaled_std,k3_mse_scaled_min,k3_mse_scaled_max,k3_rmse_scaled_mean,k3_rmse_scaled_std,k3_rmse_scaled_min,k3_rmse_scaled_max,num_seeds,num_noise_repeats,num_evaluations,fraction_reused_saved_weights,num_reused_saved_weights
O2_novib,InverseProblem_GaussianNoiseRobustness,2__O2(a)__O2(b),"O2(a), O2(b)",2,4,3,"30, 30",0.0,0.0,0%,4.228363404677804e-06,2.18220272648589e-06,1.280781098470148e-06,7.688866397668193e-06,0.0019782895834373044,0.0005617139263708509,0.0011317159972670475,0.0027728805235112805,1.0680731305716673e-05,5.761829190063572e-06,3.0350274996582273e-06,2.026127189348692e-05,0.003133870377000337,0.0009283006631363496,0.0017421330315616622,0.004501252258370655,1.2560234970711016e-06,6.972881084626661e-07,2.249823471611734e-07,2.188720754814355e-06,0.0010634823677746845,0.0003540368706333727,0.0004743230409343124,0.0014794325786646565,7.483354112456375e-07,3.635659359979383e-07,1.1821947107470976e-07,1.8117961573516083e-06,0.0008375545381465964,0.0002166914739043422,0.0003438305848447892,0.0013460297758042384,20,20,400,1.0,400
O2_novib,InverseProblem_GaussianNoiseRobustness,2__O2(a)__O2(b),"O2(a), O2(b)",2,4,3,"30, 30",0.005,0.5,0.5%,0.0006897967665073574,0.00010543858068469075,0.0004336000054328289,0.00108143937496138,0.02618851094793095,0.0019921300894246777,0.020823064266164787,0.03288524555117964,0.0018769607332061993,0.00030388798224184767,0.001140580861319309,0.0030160605845309706,0.04318415938023617,0.0034812943504458627,0.03377248675059787,0.054918672457835056,7.888166145194868e-05,1.4382276331323333e-05,4.559068022710555e-05,0.000136472628771811,0.00884586592423253,0.0007961797900572977,0.006752087101563897,0.01168215000639056,0.00011354790486392384,2.279199086717775e-05,6.872304569507825e-05,0.00024577269621502753,0.010607367756628848,0.0010169757808826045,0.008289936410798232,0.01567713928671387,20,20,400,1.0,400
O2_novib,InverseProblem_GaussianNoiseRobustness,2__O2(a)__O2(b),"O2(a), O2(b)",2,4,3,"30, 30",0.01,1.0,1%,0.00275003401216598,0.0004111408835010073,0.0017094596673728044,0.004201994787503263,0.05229702989627947,0.0038848947491097025,0.04134561243194741,0.06482279527684118,0.007484901516120135,0.001185522558761265,0.00447666940035111,0.011700115174816155,0.0862493750030863,0.006786897866754875,0.06690791732187686,0.10816707065838548,0.0003159707425229932,5.439382333119216e-05,0.00019357780281857196,0.000489694230208606,0.01771156077116622,0.001508989793793665,0.013913224026751382,0.022129035907797835,0.00044922977785481197,9.725110844863086e-05,0.0002736709657364944,0.0009321365102225165,0.02108677500164413,0.0021422350038867817,0.016543003528274255,0.030530910733591238,20,20,400,1.0,400
O2_novib,InverseProblem_GaussianNoiseRobustness,2__O2(a)__O2(b),"O2(a), O2(b)",2,4,3,"30, 30",0.02,2.0,2%,0.010971207994120779,0.0016465556164783563,0.006856139859232062,0.01670594328068878,0.10445470614777103,0.0077829166887515115,0.08280181072435591,0.1292514730310211,0.029852278463061186,0.00474648034545327,0.017934698667663004,0.047126870287671166,0.1722436075759444,0.013597070017761928,0.1339204938299699,0.21708724119042824,0.0012619710754738815,0.00021632296024162509,0.0007693371709330954,0.0019421001170105456,0.03539737824934951,0.003003204394967806,0.02773692792890185,0.0440692649928558,0.0017993744438272708,0.0003898883409122752,0.0010908550672541306,0.0037323492017753714,0.04220204493562905,0.004290438992140553,0.03302809511997522,0.06109295541856992,20,20,400,1.0,400
O2_novib,InverseProblem_GaussianNoiseRobustness,2__O2(a)__O2(b),"O2(a), O2(b)",2,4,3,"30, 30",0.05,5.0,5%,0.06877116970077206,0.01056106105513753,0.042280638784936535,0.10755109822158732,0.26148566246031263,0.019935183905771044,0.2056225639003087,0.32794984101473096,0.18709568993357958,0.030506373727351276,0.11175583023257975,0.3035117559700797,0.43113838323196285,0.034906024035884366,0.3342990132091026,0.5509190103545889,0.007917421990314841,0.0013373937415194792,0.005401418070259378,0.012324354774874416,0.08867000683833327,0.007428987295409808,0.07349434039611062,0.11101511057002292,0.011300397178421757,0.0024224986330930345,0.006733545327081967,0.023369935981282862,0.10576449843343301,0.010703010587455875,0.0820581825723795,0.15287228650505252,20,20,400,1.0,400
O2_novib,InverseProblem_GaussianNoiseRobustness,2__O2(a)__O2(b),"O2(a), O2(b)",2,4,3,"30, 30",0.1,10.0,10%,0.2761282180033118,0.042695040321623856,0.16612171005334675,0.4213909062363493,0.523923359795716,0.040455192747422715,0.4075803111698929,0.6491462903201013,0.7505909305657836,0.12313053859080761,0.4329947760054753,1.1762434917821794,0.8634722697196612,0.07084573230212088,0.6580233856068303,1.0845475977485632,0.032523399931366305,0.005954408282315067,0.020578975022974868,0.05194842416359791,0.17961037472096503,0.016253419889552298,0.14345373826768987,0.2279219694623533,0.045270323512785406,0.009950222028244827,0.028360248877211624,0.09421646019352589,0.21164093448527055,0.021900626854690616,0.16840501440637576,0.3069469989974261,20,20,400,1.0,400
O2_novib,InverseProblem_GaussianNoiseRobustness,2__O2(a)__O2(b),"O2(a), O2(b)",2,4,3,"30, 30, 30",0.0,0.0,0%,1.2911808257870895e-06,4.6809247545274555e-07,7.022997206392508e-07,2.5725336564796917e-06,0.001118517778649031,0.00020049763811664498,0.0008380332455453368,0.0016039119852659285,2.408736513340948e-06,9.469392751178501e-07,1.2590671034384826e-06,4.983593800780284e-06,0.0015244274418001304,0.0002916678992214403,0.0011220815939308882,0.002232396425543699,7.018290519664738e-07,3.87315331286136e-07,2.2884601498240896e-07,1.4551451466537912e-06,0.0008044572081961141,0.00023412536998361117,0.00047837852688264445,0.0012062939719047721,7.629769120538476e-07,4.523294889007811e-07,1.8935641600492657e-07,2.1771207551690706e-06,0.0008407317242457687,0.00023725049925992197,0.0004351510266619241,0.001475506948532968,20,20,400,1.0,400
O2_novib,InverseProblem_GaussianNoiseRobustness,2__O2(a)__O2(b),"O2(a), O2(b)",2,4,3,"30, 30, 30",0.005,0.5,0.5%,0.0006956947453411888,0.00010925726127329461,0.0004429374788093147,0.0012324950974101512,0.02629647040454831,0.002049607726733922,0.02104607989173553,0.035106909539436126,0.0018885348853348808,0.0003047706921921196,0.001166109075771715,0.0031998694257655115,0.04331782727190642,0.0034829661798079265,0.03414833928277794,0.05656738835906702,8.116385411659739e-05,1.682018765498566e-05,4.4787267722101734e-05,0.0001562009978770007,0.008963576975387529,0.0009056447448694958,0.0066923290207596435,0.01249803976137861,0.00011738549657208823,3.9879290122533286e-05,6.628502683001081e-05,0.00036751407010812367,0.010722531057442338,0.0015552721539830693,0.008141561694786253,0.019170656486101972,20,20,400,1.0,400
O2_novib,InverseProblem_GaussianNoiseRobustness,2__O2(a)__O2(b),"O2(a), O2(b)",2,4,3,"30, 30, 30",0.01,1.0,1%,0.002781566399650352,0.00044632723144258385,0.001750799832640862,0.004279470643511915,0.052574318682585594,0.004189426326437151,0.041842560063180434,0.06541766308507141,0.0075537611917658246,0.0012462793946461472,0.00461357654958998,0.01151802035513966,0.08662066895076405,0.007123747027882019,0.06792331374123306,0.10732204039776573,0.000325642265945293,6.591025962545805e-05,0.00021797426252227582,0.0006341112984743536,0.017960135339911122,0.0017559935366111314,0.014763951453532886,0.025181566640587585,0.00046529574123993815,0.00017566386483817658,0.00027041486446789166,0.001416382818278379,0.021309135047316654,0.0033532993179775953,0.016444295803344444,0.03763486174118857,20,20,400,1.0,400
O2_novib,InverseProblem_GaussianNoiseRobustness,2__O2(a)__O2(b),"O2(a), O2(b)",2,4,3,"30, 30, 30",0.02,2.0,2%,0.011114220864136793,0.001806185388878002,0.00699997699330804,0.017126969218839737,0.10508438756934652,0.00846590409481005,0.0836658651620124,0.13087004706516972,0.030174733419812222,0.0050372683025130234,0.018429244226452264,0.046446539119735133,0.17311387700642578,0.014381797448892545,0.13575435251384121,0.21551459143114912,0.0013050540449486233,0.00026998338492769124,0.0008788095546036523,0.002574909661747675,0.035948330257547366,0.003578212634412695,0.029644722204865612,0.05074356768840436,0.0018628751276495341,0.0007055135120920677,0.0010912537696674818,0.0056711039665826935,0.04263515290518989,0.0067254698171403315,0.03303413037552951,0.07530673254485745,20,20,400,1.0,400
O2_novib,InverseProblem_GaussianNoiseRobustness,2__O2(a)__O2(b),"O2(a), O2(b)",2,4,3,"30, 30, 30",0.05,5.0,5%,0.06984307713394153,0.011420375678775036,0.04130457676186315,0.10763482976399781,0.2634146580992238,0.02137609355916525,0.20323527440349312,0.3280774752463171,0.18966458098032665,0.031948574197512826,0.10927895670200877,0.3014867914223514,0.4339846506310605,0.036403530591988524,0.3305736781747887,0.5490781287051519,0.008203653393844905,0.0017607906126992357,0.005020903302106186,0.016034045910982436,0.09009788021107536,0.009286602056727742,0.07085833262296104,0.12662561317120022,0.011660997027653058,0.004314877369008065,0.006842957333583515,0.03551138241995358,0.10671413034653651,0.016546173323902763,0.082722169541082,0.18844464019959173,20,20,400,1.0,400
O2_novib,InverseProblem_GaussianNoiseRobustness,2__O2(a)__O2(b),"O2(a), O2(b)",2,4,3,"30, 30, 30",0.1,10.0,10%,0.28105825948135055,0.046702798119583756,0.16034133948923393,0.46616057886610257,0.5283484006199857,0.04371503808806821,0.4004264470401948,0.6827595322411124,0.7631104208190941,0.13060617323264273,0.41748701491260265,1.2555514707686732,0.870387008338229,0.0745033785721715,0.646132350925569,1.1205139315370751,0.03380434929011054,0.007916646159020005,0.019130902298884766,0.07060983433973406,0.182733220320393,0.020345868557711574,0.13831450501984513,0.2657251104802368,0.046260008334846975,0.017396985997439513,0.027941103408489917,0.14181546070341763,0.21247636440003617,0.03341548132483568,0.1671559254363719,0.376583935801061,20,20,400,1.0,400
O2_novib,InverseProblem_GaussianNoiseRobustness,2__O2(a)__O2(b),"O2(a), O2(b)",2,4,3,"50, 50",0.0,0.0,0%,3.4978762391122406e-06,1.729479253963995e-06,9.994202878497542e-07,6.120976888785989e-06,0.0018072387931883085,0.00048202183158319067,0.0009997101019044241,0.0024740608094357725,8.78694046271722e-06,4.539334323359054e-06,2.4224550249041242e-06,1.5660270681072675e-05,0.002857397322510429,0.0007897977305395101,0.001556423793477896,0.003957305987799361,1.069345535445354e-06,6.800692766301617e-07,1.9173719073783957e-07,2.1658020860471084e-06,0.0009725546370411449,0.00035184157607046724,0.0004378780546428875,0.0014716664316505655,6.373427191741498e-07,2.969604809438816e-07,1.5885259121439788e-07,1.2672909621613826e-06,0.0007743948451467902,0.00019429286471052445,0.0003985631583756806,0.0011257401841283728,20,20,400,1.0,400
O2_novib,InverseProblem_GaussianNoiseRobustness,2__O2(a)__O2(b),"O2(a), O2(b)",2,4,3,"50, 50",0.005,0.5,0.5%,0.0006997457819597739,0.00011074970462700112,0.0004425865408760258,0.0011090611079681064,0.026371418598082088,0.0020748072554751915,0.021037740869114863,0.03330256908960788,0.001910036561556448,0.00032401907069516754,0.0011600117153571343,0.0031052422464624076,0.0435497311529971,0.003673037717381192,0.03405894471878326,0.05572470050581167,7.665053277079138e-05,1.3334069580983397e-05,4.3800761411203483e-05,0.00013801309888776813,0.008723351705989065,0.0007450204178185265,0.006618214367274868,0.011747897636929261,0.0001125502515520825,1.824678947316305e-05,6.56565214737359e-05,0.0001851418286433426,0.010574319864063278,0.0008578173413010991,0.008102871187038327,0.013606683234474984,20,20,400,1.0,400
O2_novib,InverseProblem_GaussianNoiseRobustness,2__O2(a)__O2(b),"O2(a), O2(b)",2,4,3,"50, 50",0.01,1.0,1%,0.002788840227084031,0.0004678090501107132,0.0017012025819999202,0.004656445517254643,0.05262932405400262,0.004363723399527228,0.041245637126851614,0.06823815294433637,0.007613852439238195,0.001372667338905762,0.004464246806441525,0.013060341527319101,0.0869136370097661,0.00774739933551698,0.06681501931782648,0.11428185125959021,0.0003072686215208962,5.198992580856089e-05,0.00020331587546560393,0.0005441909396150369,0.017470201277563765,0.0014373077179211137,0.014258887595657802,0.023327900454499475,0.0004453996204930025,7.267705158568406e-05,0.00027435557910262533,0.0006949207919167222,0.02103502636491973,0.0017130741015284516,0.01656368253446755,0.026361350343196043,20,20,400,1.0,400
O2_novib,InverseProblem_GaussianNoiseRobustness,2__O2(a)__O2(b),"O2(a), O2(b)",2,4,3,"50, 50",0.02,2.0,2%,0.011135045025576978,0.0018809473187084242,0.006817335361922951,0.01867137608797777,0.10515892248674621,0.008765736840641391,0.08256715667820318,0.13664324384314716,0.030392340309588498,0.005521703186875594,0.01787494660020541,0.05238119722184258,0.17363906823717887,0.015569853633488402,0.13369721986715136,0.22886938900133103,0.0012281638117193601,0.00020961124388537135,0.0007974559575388285,0.002165494084919928,0.0349258029571029,0.002893619204600974,0.028239262694674385,0.046534869559502666,0.001784630955423075,0.0002869060790961735,0.0011099292799359795,0.002775324263854577,0.042109732856911386,0.003380817795304214,0.03331560114925108,0.05268134645066105,20,20,400,1.0,400
