scheme,experiment_name,species_config_name,kept_species,num_species_kept,input_size,output_size,hidden_size,noise_std,noise_percent,noise_label,test_mse_scaled_mean,test_mse_scaled_std,test_mse_scaled_min,test_mse_scaled_max,test_rmse_scaled_mean,test_rmse_scaled_std,test_rmse_scaled_min,test_rmse_scaled_max,k1_mse_scaled_mean,k1_mse_scaled_std,k1_mse_scaled_min,k1_mse_scaled_max,k1_rmse_scaled_mean,k1_rmse_scaled_std,k1_rmse_scaled_min,k1_rmse_scaled_max,k2_mse_scaled_mean,k2_mse_scaled_std,k2_mse_scaled_min,k2_mse_scaled_max,k2_rmse_scaled_mean,k2_rmse_scaled_std,k2_rmse_scaled_min,k2_rmse_scaled_max,k3_mse_scaled_mean,k3_mse_scaled_std,k3_mse_scaled_min,k3_mse_scaled_max,k3_rmse_scaled_mean,k3_rmse_scaled_std,k3_rmse_scaled_min,k3_rmse_scaled_max,num_seeds,num_noise_repeats,num_evaluations,fraction_reused_saved_weights,num_reused_saved_weights
O2_novib,InverseProblem_GaussianNoiseRobustness,3__O2(X)__O2(a)__O2(b),"O2(X), O2(a), O2(b)",3,6,3,"30, 30",0.0,0.0,0%,1.9055331742429499e-06,8.656236937485645e-07,8.206350073969304e-07,4.142152908676404e-06,0.0013484294061620486,0.0002957871463235686,0.0009058890701387948,0.0020352279746201417,4.315979446940066e-06,2.3290820065618327e-06,1.8024444017417096e-06,1.0452249258916524e-05,0.002015397719135028,0.0005047657395018316,0.001342551452176679,0.0032329938538321603,7.79155911027729e-07,5.09632475745755e-07,1.5805482084019218e-07,1.805869596713805e-06,0.000833304758656767,0.0002914987461813168,0.0003975610907020356,0.0013438264756708007,6.214641647610542e-07,2.481443505613984e-07,3.022833834531724e-07,1.172608103150452e-06,0.0007734594895251592,0.00015258699092331464,0.000549803040600152,0.0010828703076317366,20,20,400,1.0,400
O2_novib,InverseProblem_GaussianNoiseRobustness,3__O2(X)__O2(a)__O2(b),"O2(X), O2(a), O2(b)",3,6,3,"30, 30",0.005,0.5,0.5%,0.0009295887736904634,0.0001611478558498174,0.0005689737700514671,0.00153504941686936,0.03037716164079474,0.0026141746522129554,0.023853171069094087,0.039179706697081845,0.0025566585205200596,0.00046608737142303524,0.0015261923142293199,0.004331705352492037,0.050357619430749276,0.004562974647306581,0.03906651141616461,0.06581569229668588,8.35794661107125e-05,1.668864559738566e-05,5.031819367394164e-05,0.00015324874456669414,0.009099569317976336,0.0008827527792248677,0.007093531819477632,0.01237936769656246,0.00014852833444061811,3.124320116409819e-05,8.426368802627593e-05,0.0002815242619544822,0.012122122010150265,0.0012595469653981747,0.009179525479363078,0.016778684750435067,20,20,400,1.0,400
O2_novib,InverseProblem_GaussianNoiseRobustness,3__O2(X)__O2(a)__O2(b),"O2(X), O2(a), O2(b)",3,6,3,"30, 30",0.01,1.0,1%,0.0037218708932405665,0.0006636455202585414,0.0021710560173906304,0.006362463026122906,0.06077293026895443,0.005347272489134188,0.046594592147486714,0.07976504890064888,0.010233807169630764,0.0019211995888921817,0.005731559699182047,0.017787838015253295,0.10073178492004532,0.009334479509956544,0.07570706505460403,0.13337105388821555,0.00033615982332772603,6.058263532166435e-05,0.00020132418623453497,0.0006405638678600578,0.018263926891142014,0.0016109891551125913,0.01418887543939036,0.025309363244855804,0.0005956456867632098,0.00012172380663444118,0.0003408424469748539,0.001146232782435046,0.024283928024527904,0.002439550158368564,0.01846191883241972,0.03385605975944404,20,20,400,1.0,400
O2_novib,InverseProblem_GaussianNoiseRobustness,3__O2(X)__O2(a)__O2(b),"O2(X), O2(a), O2(b)",3,6,3,"30, 30",0.02,2.0,2%,0.014883625491051898,0.0026567491575445064,0.008684626454859764,0.025415067397886015,0.12153002049259089,0.010694181779461612,0.0931913432399156,0.15942103812824082,0.04091955481702278,0.0076871000289583475,0.022935250091922228,0.07108650229835002,0.2014250534913413,0.018664768334364857,0.15144388430016653,0.2666205211500983,0.0013507618152105913,0.00024648631708728896,0.0008032156703767713,0.0025260931779006856,0.03660749952495078,0.0032679492763048315,0.028341059796287985,0.05026025445519238,0.002380559840922322,0.0004903213881838122,0.0013808076285616777,0.004660436873962102,0.048545723348142195,0.004892076917771037,0.037159219967077856,0.06826739246493967,20,20,400,1.0,400
O2_novib,InverseProblem_GaussianNoiseRobustness,3__O2(X)__O2(a)__O2(b),"O2(X), O2(a), O2(b)",3,6,3,"30, 30",0.05,5.0,5%,0.09393357896668988,0.017578977888794024,0.05439067408109004,0.17199528316267884,0.30519911860746324,0.028090026555651935,0.2332180826631804,0.41472314037521324,0.2582868673153362,0.05078764166557986,0.14365903738728053,0.47968217066121455,0.5058604714389889,0.04896984649275402,0.3790237952784502,0.6925909114774857,0.008596567118015258,0.0015333695885959573,0.005381809296687399,0.015279344088570115,0.0923661500858889,0.008076168495656226,0.07336081581258076,0.12360964399499788,0.014917302466718211,0.0031460893425253066,0.008386767025656088,0.030411513806746563,0.12149865478589658,0.012480736110919799,0.09157929365121839,0.17438897272117457,20,20,400,1.0,400
O2_novib,InverseProblem_GaussianNoiseRobustness,3__O2(X)__O2(a)__O2(b),"O2(X), O2(a), O2(b)",3,6,3,"30, 30",0.1,10.0,10%,0.3816440632538714,0.07070799633207214,0.22854424371620438,0.671448310014553,0.615227122489925,0.05610276112771767,0.4780630122862512,0.8194194957496148,1.0501451543702272,0.20460908540428288,0.6176052883847089,1.8677600784596313,1.0200835724303285,0.09797273227116597,0.7858786728145184,1.3666601912910288,0.03541682103361279,0.006603280903585181,0.0221423612850894,0.06524198813973708,0.18742645531372626,0.01699608924926507,0.1488030956838244,0.25542511258632555,0.05937021435777419,0.012402504582939176,0.03291519759607068,0.1264466653877491,0.24241488624103488,0.024632380557919668,0.1814254601649688,0.35559339896537606,20,20,400,1.0,400
O2_novib,InverseProblem_GaussianNoiseRobustness,3__O2(X)__O2(a)__O2(b),"O2(X), O2(a), O2(b)",3,6,3,"30, 30, 30",0.0,0.0,0%,1.2155047435480348e-06,4.90153070724017e-07,5.908284926962419e-07,2.357512037249876e-06,0.0010816766733266125,0.0002135282269123415,0.000768653688403459,0.0015354191731412877,2.551165024660129e-06,1.0072830797167474e-06,1.3032599949980295e-06,4.644284619406136e-06,0.0015675848392930427,0.0003067213576796976,0.0011416041323497517,0.0021550602356793036,5.260982884469634e-07,3.5716779603240755e-07,1.3085421233682836e-07,1.7508896109763584e-06,0.0006922277086943667,0.00021687941225797332,0.00036173776736308355,0.0013232118541550173,5.692509175370119e-07,3.2084719028344204e-07,1.6095774402202778e-07,1.3897425761566495e-06,0.0007286266689828022,0.00019608727734066571,0.00040119539381955495,0.0011788734351730254,20,20,400,1.0,400
O2_novib,InverseProblem_GaussianNoiseRobustness,3__O2(X)__O2(a)__O2(b),"O2(X), O2(a), O2(b)",3,6,3,"30, 30, 30",0.005,0.5,0.5%,0.0009304979377491761,0.0001650991267613033,0.0005300688587965456,0.0014507034187628783,0.03038525637741945,0.002693002652408887,0.023023224335365054,0.0380881007502721,0.00256395506100648,0.00048120475134974045,0.0014086062942309052,0.004129303387764143,0.05041452899537889,0.004731415529507306,0.037531404106839715,0.06425965598852941,8.517505336837595e-05,1.7327120481946616e-05,4.9754082090878174e-05,0.00014564004892571702,0.009183293921566398,0.0009188453681245157,0.0070536573556473645,0.012068141900297535,0.00014236369887267236,2.715966621472144e-05,8.29302102483176e-05,0.0002692730123184983,0.01187929233892377,0.001117692036197291,0.009106602563432622,0.016409540283581936,20,20,400,1.0,400
O2_novib,InverseProblem_GaussianNoiseRobustness,3__O2(X)__O2(a)__O2(b),"O2(X), O2(a), O2(b)",3,6,3,"30, 30, 30",0.01,1.0,1%,0.003719662253670141,0.0006497568339600714,0.002215768208311908,0.0058534999120915185,0.06076008228353505,0.005286257263682476,0.04707194714808288,0.07650816892392288,0.01024662937182614,0.001892543174330404,0.0058692847933224735,0.016303321131294655,0.10080041477981315,0.009280143031250462,0.07661125761480798,0.12768445923954352,0.0003408613475425303,6.152690262886775e-05,0.0002057540349009024,0.00061504034855826,0.01839000453067852,0.0016357782031738858,0.014344128934895364,0.02480000702738328,0.0005714960416417542,0.0001056918935001944,0.00034398760382165606,0.00111392217825796,0.02380861337398829,0.002158150802635774,0.0185469028094088,0.03337547270463686,20,20,400,1.0,400
O2_novib,InverseProblem_GaussianNoiseRobustness,3__O2(X)__O2(a)__O2(b),"O2(X), O2(a), O2(b)",3,6,3,"30, 30, 30",0.02,2.0,2%,0.01487355919721466,0.0025883119777824794,0.008875409033355194,0.02340115533279903,0.12150433466990496,0.010513428750823312,0.09420938930571196,0.15297436168456147,0.040968255717032456,0.007533600798544985,0.023525492355765037,0.06518841562582385,0.20156613233236953,0.018444525336515742,0.1533802215273046,0.2553202217330697,0.0013688365821823312,0.0002489245980525367,0.0008177789998818685,0.0024296272883673085,0.03685046272794931,0.0033026121534234136,0.02859683548719803,0.049291249612556064,0.00228358529242919,0.0004259571541531382,0.001391848758494314,0.0045239674826860286,0.04759055588355376,0.004332575579423263,0.037307489308372306,0.06726044515676378,20,20,400,1.0,400
