scheme,experiment_name,pressures,pressure_folder,num_pressures,species,num_species,num_grouped_samples,input_size,output_size,hidden_size,arch_folder,seed,config_tag,config_signature,status,results_dir,saved_weights_dir,saved_weights_path,num_parameters,n_train,n_val,n_test,effective_train_fraction,effective_val_fraction,effective_test_fraction,epochs_ran,best_epoch,best_val_loss,final_train_loss,final_val_loss,current_run_training_time_s,cached_training_time_s,test_mse_scaled,test_rmse_scaled,test_mse_log10,test_rmse_log10,mean_relative_error_percent,max_relative_error_percent,K1_mean_relative_error_percent,K1_max_relative_error_percent,K2_mean_relative_error_percent,K2_max_relative_error_percent,K3_mean_relative_error_percent,K3_max_relative_error_percent,K4_mean_relative_error_percent,K4_max_relative_error_percent,K5_mean_relative_error_percent,K5_max_relative_error_percent,K6_mean_relative_error_percent,K6_max_relative_error_percent,K7_mean_relative_error_percent,K7_max_relative_error_percent,K8_mean_relative_error_percent,K8_max_relative_error_percent,K9_mean_relative_error_percent,K9_max_relative_error_percent
O2_simple_9K,RunDefault9K,"1,2,5,10",pressures_1_2_5_10,4,"O2(X),O2(a),O(3P)",3,200,12,9,"30,30",arch_30_30,32,cfg_d955821268513d69,d955821268513d6986175fd3d7e14edc0adc67418365c4321cabcdc6cfc24f70,reused,Results_NN\O2_simple_9K\RunDefault9K\run_4b25ff7baacf203d\pressures_1_2_5_10\seed_0032\arch_30_30\cfg_d955821268513d69,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_30_30\seed_0032\cfg_d955821268513d69,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_30_30\seed_0032\cfg_d955821268513d69\model.pth,1599,144,36,20,0.72,0.18,0.1,5000,4981,0.46271374821662903,0.24406282603740692,0.46271374821662903,0.0,31.213632106781006,0.4034784436225891,0.6351995305591693,0.026358262987876104,0.1623522805133211,29.690217414059614,220.93909115787497,14.567149808505448,44.18024899912182,57.097951927810065,160.50997575153397,18.47880495593528,107.70326102754055,41.44082058748935,155.17155645108616,45.31437321750218,220.93909115787497,14.841990076856662,55.371496560736944,20.034718217311966,95.47506247223933,36.81486886362721,130.49875348830798,18.62127907149836,102.08683326603358
O2_simple_9K,RunDefault9K,"1,2,5,10",pressures_1_2_5_10,4,"O2(X),O2(a),O(3P)",3,200,12,9,"30,30",arch_30_30,33,cfg_084935fefb0cee23,084935fefb0cee23b389a94d22a55a20fd57a70ab82b315da81a89947999b326,reused,Results_NN\O2_simple_9K\RunDefault9K\run_4b25ff7baacf203d\pressures_1_2_5_10\seed_0033\arch_30_30\cfg_084935fefb0cee23,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_30_30\seed_0033\cfg_084935fefb0cee23,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_30_30\seed_0033\cfg_084935fefb0cee23\model.pth,1599,144,36,20,0.72,0.18,0.1,1929,1829,0.5425423383712769,0.4032076597213745,0.5425423383712769,0.0,11.277992010116577,0.6666678786277771,0.8164973230989659,0.0426654191347093,0.2065560919815954,43.22222415443055,483.99325943420513,16.56465408727928,82.64335878366947,57.46707503745883,277.6582025235931,31.563599347676117,199.7111738550889,64.69497756187057,483.99325943420513,86.10312583464079,426.78527094792054,20.184542493638546,88.41479824996867,38.074041285423625,233.7461388450926,54.8303316506467,308.9212244940842,19.517670091240443,53.682052537760285
O2_simple_9K,RunDefault9K,"1,2,5,10",pressures_1_2_5_10,4,"O2(X),O2(a),O(3P)",3,200,12,9,"30,30",arch_30_30,34,cfg_84a4e47d74ddc869,84a4e47d74ddc869cc6f60e3097910fd4c656b8cf1edc6cc2c49e091389894f7,reused,Results_NN\O2_simple_9K\RunDefault9K\run_4b25ff7baacf203d\pressures_1_2_5_10\seed_0034\arch_30_30\cfg_84a4e47d74ddc869,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_30_30\seed_0034\cfg_84a4e47d74ddc869,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_30_30\seed_0034\cfg_84a4e47d74ddc869\model.pth,1599,144,36,20,0.72,0.18,0.1,1621,1521,0.6107308864593506,0.39478766918182373,0.6107308864593506,0.0,9.754964113235474,0.565441906452179,0.7519587132630214,0.03543509908687395,0.1882421288842483,38.20866820858121,418.39498166867503,12.042232280396997,44.67441129809133,58.02281511523677,147.28909106580312,26.639926738881314,76.09509934931987,35.385433965994494,181.2778091344958,72.71694569540162,333.6907801173272,19.762578280405677,59.23290963150786,29.741893943129266,92.02021375208793,71.12444033283728,418.39498166867503,18.44174752494748,52.249550859740246
O2_simple_9K,RunDefault9K,"1,2,5,10",pressures_1_2_5_10,4,"O2(X),O2(a),O(3P)",3,200,12,9,"30,30",arch_30_30,35,cfg_89fbbf9397ee1d3c,89fbbf9397ee1d3c9226b044e4e80d3935516fad8b1aa5cff33769218783eb0e,reused,Results_NN\O2_simple_9K\RunDefault9K\run_4b25ff7baacf203d\pressures_1_2_5_10\seed_0035\arch_30_30\cfg_89fbbf9397ee1d3c,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_30_30\seed_0035\cfg_89fbbf9397ee1d3c,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_30_30\seed_0035\cfg_89fbbf9397ee1d3c\model.pth,1599,144,36,20,0.72,0.18,0.1,2131,2031,0.5072240233421326,0.40610960125923157,0.5072240233421326,0.0,11.044713020324707,0.5354634523391724,0.7317536828326676,0.03409913478260154,0.18465951040388237,36.17537415934136,353.9045861879049,19.134450950068523,91.57974850794581,44.84191741565989,123.61264565433618,25.321986938854202,128.00148323580495,48.60638135932843,179.49483599346652,66.04076928082816,353.9045861879049,22.927844940440984,104.43176147518312,32.63472302475432,168.80659790528455,46.78182238645913,247.4446116224435,19.288471137678588,76.23900753447226
O2_simple_9K,RunDefault9K,"1,2,5,10",pressures_1_2_5_10,4,"O2(X),O2(a),O(3P)",3,200,12,9,"30,30",arch_30_30,36,cfg_11f7217e2a7ecaa5,11f7217e2a7ecaa5f073e574f7fdd70afe5b064a4f543d4f39d5cc2110a594b6,reused,Results_NN\O2_simple_9K\RunDefault9K\run_4b25ff7baacf203d\pressures_1_2_5_10\seed_0036\arch_30_30\cfg_11f7217e2a7ecaa5,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_30_30\seed_0036\cfg_11f7217e2a7ecaa5,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_30_30\seed_0036\cfg_11f7217e2a7ecaa5\model.pth,1599,144,36,20,0.72,0.18,0.1,5000,4994,0.4406382143497467,0.25800761580467224,0.4406382143497467,0.0,28.488773345947266,0.5619164109230042,0.7496108396514849,0.03468893737134796,0.18624966408385268,33.0458318138798,302.9290528598242,13.972320758264638,34.0397959400979,48.232181787695374,156.4175027521602,21.34852145547014,60.445140979863965,34.82369229605992,168.9299893356241,68.70643355426232,302.9290528598242,13.166668190767666,43.1673307627336,27.35209345875049,72.42692189088847,51.0041577349569,227.70030486737244,18.806417088690736,53.55622426805095
O2_simple_9K,RunDefault9K,"1,2,5,10",pressures_1_2_5_10,4,"O2(X),O2(a),O(3P)",3,200,12,9,"30,30",arch_30_30,37,cfg_2458a4a638ae8143,2458a4a638ae814319864cdf0f3743f1989f4b415162ea276e565e4870d67bf1,reused,Results_NN\O2_simple_9K\RunDefault9K\run_4b25ff7baacf203d\pressures_1_2_5_10\seed_0037\arch_30_30\cfg_2458a4a638ae8143,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_30_30\seed_0037\cfg_2458a4a638ae8143,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_30_30\seed_0037\cfg_2458a4a638ae8143\model.pth,1599,144,36,20,0.72,0.18,0.1,1853,1753,0.5177894830703735,0.4176870286464691,0.5177894830703735,0.0,9.871838569641113,0.46330028772354126,0.680661654365472,0.030565316796149964,0.1748293933986787,32.79268553363344,218.3429540396912,13.571122024428798,44.98747207334265,50.731704711422886,160.08381218892706,27.29363844722711,129.9932262557615,37.09430606592234,91.05720715489045,42.51418370373282,127.9097476915468,13.513291588252175,64.46809903697599,42.73879519859777,218.3429540396912,44.01355459133224,161.58523344504516,23.663573471784865,52.51614909958961
O2_simple_9K,RunDefault9K,"1,2,5,10",pressures_1_2_5_10,4,"O2(X),O2(a),O(3P)",3,200,12,9,"30,30",arch_30_30,38,cfg_0ae32182ce697091,0ae32182ce69709170ce80ee6d5be2718a05b7644e3eb3069dd6e69295138793,reused,Results_NN\O2_simple_9K\RunDefault9K\run_4b25ff7baacf203d\pressures_1_2_5_10\seed_0038\arch_30_30\cfg_0ae32182ce697091,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_30_30\seed_0038\cfg_0ae32182ce697091,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_30_30\seed_0038\cfg_0ae32182ce697091\model.pth,1599,144,36,20,0.72,0.18,0.1,2658,2558,0.5347055792808533,0.3543151617050171,0.5347055792808533,0.0,14.44340181350708,0.5437094569206238,0.7373665688927209,0.03456785888433336,0.18592433644989395,38.459718022292904,319.7321165238717,20.964577751707285,113.79897809905195,57.8136161742075,236.50154713685026,29.617208453520327,157.369674916933,58.15034917736818,319.7321165238717,50.84624460167251,217.87558023692011,21.461415798386266,117.77318558663379,29.044502605220305,145.28816709827174,44.12889661814465,173.83927869395444,34.11065102040916,163.0368346618971
O2_simple_9K,RunDefault9K,"1,2,5,10",pressures_1_2_5_10,4,"O2(X),O2(a),O(3P)",3,200,12,9,"30,30",arch_30_30,39,cfg_387e61417540edb4,387e61417540edb4a6f618d3bcb14b54b4b246d0e6b93e95c8542f6a19d70450,reused,Results_NN\O2_simple_9K\RunDefault9K\run_4b25ff7baacf203d\pressures_1_2_5_10\seed_0039\arch_30_30\cfg_387e61417540edb4,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_30_30\seed_0039\cfg_387e61417540edb4,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_30_30\seed_0039\cfg_387e61417540edb4\model.pth,1599,144,36,20,0.72,0.18,0.1,4251,4151,0.5275219678878784,0.26282334327697754,0.5275219678878784,0.0,24.328943490982056,0.43523162603378296,0.6597208697879604,0.02804774710682577,0.16747461630595178,34.04325606063278,203.94957561907376,17.291201534226726,39.54288196221115,53.93302706050643,148.7013928173974,30.117906606385368,166.39351086064832,30.402904408115454,73.12944915957696,37.518071793272874,97.33499842217745,19.828736172781795,57.98206291251593,46.63808704435207,194.68417363281208,43.766117865888326,203.94957561907376,26.893252060165924,146.20136688300326
O2_simple_9K,RunDefault9K,"1,2,5,10",pressures_1_2_5_10,4,"O2(X),O2(a),O(3P)",3,200,12,9,"30,30",arch_30_30,40,cfg_7950e69f110bf23f,7950e69f110bf23feac46056ab0136f4ba38a27e98e375158f1cbf3c7105aead,reused,Results_NN\O2_simple_9K\RunDefault9K\run_4b25ff7baacf203d\pressures_1_2_5_10\seed_0040\arch_30_30\cfg_7950e69f110bf23f,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_30_30\seed_0040\cfg_7950e69f110bf23f,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_30_30\seed_0040\cfg_7950e69f110bf23f\model.pth,1599,144,36,20,0.72,0.18,0.1,2164,2064,0.5305514931678772,0.38008826971054077,0.5305514931678772,0.0,14.967376470565796,0.531886875629425,0.7293057490719684,0.0335182077585541,0.18307978522642554,38.06355670180423,347.5296214441744,20.202370149922494,80.51135941588694,37.509083134850094,154.67508437433335,34.56208450239778,152.5654824685644,39.24047361432524,149.15951160591467,96.37657905652792,347.5296214441744,20.99768077377002,77.28073140500832,35.437282761550534,116.4269849790168,34.20380037013102,154.4014647436745,24.04265595276291,70.528126688936
O2_simple_9K,RunDefault9K,"1,2,5,10",pressures_1_2_5_10,4,"O2(X),O2(a),O(3P)",3,200,12,9,"30,30",arch_30_30,41,cfg_2eacc1b2169411f3,2eacc1b2169411f3d86c58baf9ec5abb18f8f0b7f09c292af6259d3e61c042b8,reused,Results_NN\O2_simple_9K\RunDefault9K\run_4b25ff7baacf203d\pressures_1_2_5_10\seed_0041\arch_30_30\cfg_2eacc1b2169411f3,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_30_30\seed_0041\cfg_2eacc1b2169411f3,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_30_30\seed_0041\cfg_2eacc1b2169411f3\model.pth,1599,144,36,20,0.72,0.18,0.1,5000,4974,0.4733152389526367,0.25493043661117554,0.4733152389526367,0.0,29.559009790420532,0.4088236093521118,0.6393931571045407,0.025634519859167884,0.16010783821902,29.054426605337092,402.506992574716,12.720954322605918,52.53232839316586,40.60028328705886,217.4596039529712,17.294229602684773,64.0892884963485,41.900169534068226,402.506992574716,43.825615428544864,151.46372424223264,11.519227642674428,40.294401430602456,26.897045491954565,82.29792774927336,50.18645234823526,219.6874874001088,16.545861790206924,57.870582786882686
