scheme,species_config_name,num_species_kept,hidden_size,num_seeds,num_models,num_reused_saved_weights,fraction_reused_saved_weights,mean_test_mse_scaled,std_test_mse_scaled,min_test_mse_scaled,max_test_mse_scaled,mean_best_val_loss,std_best_val_loss,mean_epochs_ran,mean_current_run_training_time_s,total_current_run_training_time_s,mean_cached_training_time_s
O2_novib,10__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X)__O(3P)__O(1D)__O+(gnd)__O-(gnd)__O3(X),10,"30, 30",20,20,0,0.0,6.052473922811608e-06,3.2617750168704473e-06,1.7658388797947566e-06,1.3154936557073781e-05,5.1234457874898e-06,2.502415492260492e-06,2909.65,180.83047672510148,3616.6095345020294,180.83047672510148
O2_novib,10__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X)__O(3P)__O(1D)__O+(gnd)__O-(gnd)__O3(X),10,"30, 30, 30",20,20,0,0.0,3.068327525056258e-06,2.451579098709048e-06,8.979630530496033e-07,1.0150452587420015e-05,2.8280935167117604e-06,1.972001555584768e-06,2279.15,157.41309707164766,3148.261941432953,157.41309707164766
O2_novib,10__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X)__O(3P)__O(1D)__O+(gnd)__O-(gnd)__O3(X),10,"50, 50",20,20,0,0.0,3.828206313574463e-06,2.3887900636757624e-06,7.215498822284634e-07,8.283219379287368e-06,3.2956232832930257e-06,1.8419589918319266e-06,2975.75,2018.9554015874862,40379.108031749725,2018.9554015874862
O2_novib,3__O2(a)__O2(b)__O+(gnd),3,"30, 30",20,20,0,0.0,6.3706167511751545e-06,5.083363274312122e-06,1.0439866582571492e-06,2.0960483402241436e-05,4.673271928311351e-06,2.4801853040779178e-06,3829.05,236.93539776802064,4738.707955360413,236.93539776802064
O2_novib,3__O2(a)__O2(b)__O+(gnd),3,"30, 30, 30",20,20,0,0.0,2.816013514985135e-06,2.7891586237239886e-06,4.797377172109189e-07,1.0752336640710662e-05,2.0660839426511756e-06,1.6902743891269843e-06,3054.15,156.63857196569444,3132.7714393138885,156.63857196569444
O2_novib,3__O2(a)__O2(b)__O+(gnd),3,"50, 50",20,20,0,0.0,3.500814960772924e-06,3.0833632227960193e-06,9.064717818911087e-07,1.1268885056336941e-05,2.728399330464981e-06,2.270831954777188e-06,3546.75,205.64191970825195,4112.838394165039,205.64191970825195
O2_novib,3__O2(a)__O2(b)__O2+(X),3,"30, 30",20,20,0,0.0,6.481482929039828e-06,4.8911085437053775e-06,1.2803079614975842e-06,2.0210266994740896e-05,5.0225769791723e-06,2.8520003467534245e-06,4073.25,178.52490330934523,3570.498066186905,178.52490330934523
O2_novib,3__O2(a)__O2(b)__O2+(X),3,"30, 30, 30",20,20,0,0.0,3.2720227085925774e-06,3.1134900048851974e-06,6.417431306419511e-07,1.3882369676929685e-05,2.5245497347441417e-06,1.5997287063977674e-06,2911.5,148.626169860363,2972.52339720726,148.626169860363
O2_novib,3__O2(a)__O2(b)__O2+(X),3,"50, 50",20,20,0,0.0,3.583412997197666e-06,2.0530313953114122e-06,8.944948106629861e-07,8.316457727316854e-06,3.037436263497284e-06,1.6248793814331171e-06,3603.05,209.1007451415062,4182.014902830124,209.1007451415062
O2_novib,5__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X),5,"30, 30",20,20,0,0.0,2.2722300152951585e-06,1.0749369713413685e-06,8.357511763238772e-07,4.243930809450329e-06,2.0327133656223847e-06,8.440552729315749e-07,4038.6,174.10231034755708,3482.0462069511414,174.10231034755708
O2_novib,5__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X),5,"30, 30, 30",20,20,0,0.0,1.5520382147090988e-06,8.056196875223343e-07,6.704775620480774e-07,3.8488841749284575e-06,1.4331183488138777e-06,6.209253945787525e-07,2340.7,117.74803030490875,2354.960606098175,117.74803030490875
O2_novib,5__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X),5,"50, 50",20,20,0,0.0,3.4565066378253736e-06,2.2926781844000746e-06,8.494689397201919e-07,9.120885655384824e-06,2.8578809928490047e-06,1.6548650382757866e-06,2931.25,168.77410025596618,3375.4820051193237,168.77410025596618
O2_novib,6__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X)__O(3P),6,"30, 30",20,20,0,0.0,4.073698043815188e-06,1.9282107390501678e-06,1.5963209809743972e-06,8.30775823270476e-06,3.497221457109845e-06,1.5644186640282358e-06,3236.95,139.72837179899216,2794.567435979843,139.72837179899216
O2_novib,6__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X)__O(3P),6,"30, 30, 30",20,20,0,0.0,2.4374570862163067e-06,1.958429818327675e-06,4.4538187313610443e-07,9.33450563202006e-06,2.195983885485475e-06,1.742228200364847e-06,2163.45,108.993696808815,2179.8739361763,108.993696808815
O2_novib,6__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X)__O(3P),6,"50, 50",20,20,0,0.0,3.238150758257508e-06,2.4224479902882945e-06,4.429011692241858e-07,7.693039279065654e-06,2.7270585331393703e-06,1.9220268082270313e-06,3034.45,177.67708082199096,3553.5416164398193,177.67708082199096
O2_novib,7__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X)__O(3P)__O(1D),7,"30, 30",20,20,0,0.0,4.223090718164476e-06,2.1931783331083737e-06,1.335857753268499e-06,9.73161552386396e-06,3.801892874889745e-06,1.8155519927918637e-06,2950.4,127.57744847536087,2551.5489695072174,127.57744847536087
O2_novib,7__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X)__O(3P)__O(1D),7,"30, 30, 30",20,20,0,0.0,1.7409066013014396e-06,6.80217244129817e-07,4.049610939057165e-07,3.3054004734574724e-06,1.631621531601013e-06,5.974062748779494e-07,2335.5,117.51302636861801,2350.2605273723602,117.51302636861801
O2_novib,7__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X)__O(3P)__O(1D),7,"50, 50",20,20,0,0.0,3.365779389071566e-06,2.1542742848813926e-06,8.980167681264344e-07,7.780432131931174e-06,2.9382960921111588e-06,1.7550342590190256e-06,2972.35,171.97759501934053,3439.5519003868103,171.97759501934053
O2_novib,8__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X)__O(3P)__O(1D)__O+(gnd),8,"30, 30",20,20,0,0.0,4.706977664734158e-06,2.9130424490565247e-06,1.9098028183961448e-06,1.0941313255881842e-05,4.1348070728872704e-06,2.384768812807122e-06,3119.15,134.37896332740783,2687.5792665481567,134.37896332740783
O2_novib,8__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X)__O(3P)__O(1D)__O+(gnd),8,"30, 30, 30",20,20,0,0.0,2.1018177170744798e-06,2.3389569808850005e-06,6.8282553775371e-07,1.1511704958655499e-05,1.8973011242451323e-06,1.7098165325546352e-06,2597.6,132.28648314476013,2645.7296628952026,132.28648314476013
O2_novib,8__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X)__O(3P)__O(1D)__O+(gnd),8,"50, 50",20,20,0,0.0,3.6537820541468293e-06,1.9847392150574867e-06,8.206771683945865e-07,6.945601133920102e-06,3.1911275703464527e-06,1.780091177068166e-06,2893.8,164.14358841180803,3282.8717682361603,164.14358841180803
O2_novib,9__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X)__O(3P)__O(1D)__O+(gnd)__O-(gnd),9,"30, 30",20,20,0,0.0,5.041997297989672e-06,2.49631616241306e-06,1.912183991835311e-06,1.2296764695272818e-05,4.4987445232891335e-06,2.142491479291503e-06,3004.8,770.2905423402786,15405.810846805573,770.2905423402786
O2_novib,9__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X)__O(3P)__O(1D)__O+(gnd)__O-(gnd),9,"30, 30, 30",20,20,0,0.0,2.348167049902076e-06,1.5563984052787264e-06,1.1384683409184267e-06,7.145309039178945e-06,2.1370240338001165e-06,1.090717446340811e-06,2350.0,118.22991327047347,2364.5982654094696,118.22991327047347
O2_novib,9__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X)__O(3P)__O(1D)__O+(gnd)__O-(gnd),9,"50, 50",20,20,0,0.0,4.058044702198653e-06,1.9539641640668172e-06,7.892503748655836e-07,7.717954032709547e-06,3.610192380847366e-06,1.690050724811995e-06,2684.6,164.69000452756882,3293.8000905513763,164.69000452756882
