scheme,species_config_name,kept_species,num_species_kept,hidden_size,hidden_size_str,seed,input_size,output_size,x_train_shape,y_train_shape,x_test_shape,y_test_shape,activation,learning_rate,batch_size,max_epochs,patience,val_split,reused_saved_weights,saved_weights_path,model_info_path,loss_history_path,clean_metrics_path,model_file_exists,model_info_exists,loss_history_exists,clean_metrics_exists,epochs_ran,best_epoch,final_train_loss,final_val_loss,best_val_loss,current_run_training_time_s,cached_training_time_s,test_mse_scaled,test_rmse_scaled
O2_novib,3__O2(X)__O3(X)__O(3P),"O2(X), O3(X), O(3P)",3,"30, 30","30, 30",32,6,3,"2000, 6","2000, 3","100, 6","100, 3",tanh,0.0001,16,5000,100,0.1,False,"saved_weights\O2_novib\3__O2(X)__O3(X)__O(3P)\seed_0032\30, 30\model.pth","saved_weights\O2_novib\3__O2(X)__O3(X)__O(3P)\seed_0032\30, 30\model_info.json","saved_weights\O2_novib\3__O2(X)__O3(X)__O(3P)\seed_0032\30, 30\loss_history.csv","saved_weights\O2_novib\3__O2(X)__O3(X)__O(3P)\seed_0032\30, 30\clean_metrics.json",True,True,True,True,5000,4994,0.0001881529299943294,0.00016775317024439573,0.00013032560818828642,218.6088888645172,218.6088888645172,0.00015351911033888665,0.012390282899873055
O2_novib,3__O2(X)__O3(X)__O(3P),"O2(X), O3(X), O(3P)",3,"30, 30","30, 30",33,6,3,"2000, 6","2000, 3","100, 6","100, 3",tanh,0.0001,16,5000,100,0.1,False,"saved_weights\O2_novib\3__O2(X)__O3(X)__O(3P)\seed_0033\30, 30\model.pth","saved_weights\O2_novib\3__O2(X)__O3(X)__O(3P)\seed_0033\30, 30\model_info.json","saved_weights\O2_novib\3__O2(X)__O3(X)__O(3P)\seed_0033\30, 30\loss_history.csv","saved_weights\O2_novib\3__O2(X)__O3(X)__O(3P)\seed_0033\30, 30\clean_metrics.json",True,True,True,True,3582,3482,0.000187915422138758,0.00018015278648817913,0.00010474129623617046,174.41867017745972,174.41867017745972,0.00013829954840832714,0.011760082840198327
O2_novib,3__O2(X)__O3(X)__O(3P),"O2(X), O3(X), O(3P)",3,"30, 30","30, 30",34,6,3,"2000, 6","2000, 3","100, 6","100, 3",tanh,0.0001,16,5000,100,0.1,False,"saved_weights\O2_novib\3__O2(X)__O3(X)__O(3P)\seed_0034\30, 30\model.pth","saved_weights\O2_novib\3__O2(X)__O3(X)__O(3P)\seed_0034\30, 30\model_info.json","saved_weights\O2_novib\3__O2(X)__O3(X)__O(3P)\seed_0034\30, 30\loss_history.csv","saved_weights\O2_novib\3__O2(X)__O3(X)__O(3P)\seed_0034\30, 30\clean_metrics.json",True,True,True,True,5000,4995,0.00010591588928946294,8.390825416427106e-05,6.76026803557761e-05,214.60423231124878,214.60423231124878,8.045588629419361e-05,0.008969720524865511
O2_novib,3__O2(X)__O3(X)__O(3P),"O2(X), O3(X), O(3P)",3,"30, 30","30, 30",35,6,3,"2000, 6","2000, 3","100, 6","100, 3",tanh,0.0001,16,5000,100,0.1,False,"saved_weights\O2_novib\3__O2(X)__O3(X)__O(3P)\seed_0035\30, 30\model.pth","saved_weights\O2_novib\3__O2(X)__O3(X)__O(3P)\seed_0035\30, 30\model_info.json","saved_weights\O2_novib\3__O2(X)__O3(X)__O(3P)\seed_0035\30, 30\loss_history.csv","saved_weights\O2_novib\3__O2(X)__O3(X)__O(3P)\seed_0035\30, 30\clean_metrics.json",True,True,True,True,5000,4985,0.00012667623316196518,0.00020629088627174496,9.796543483389541e-05,211.94526648521423,211.94526648521423,0.00011052880737783136,0.010513268158752129
O2_novib,3__O2(X)__O3(X)__O(3P),"O2(X), O3(X), O(3P)",3,"30, 30","30, 30",36,6,3,"2000, 6","2000, 3","100, 6","100, 3",tanh,0.0001,16,5000,100,0.1,False,"saved_weights\O2_novib\3__O2(X)__O3(X)__O(3P)\seed_0036\30, 30\model.pth","saved_weights\O2_novib\3__O2(X)__O3(X)__O(3P)\seed_0036\30, 30\model_info.json","saved_weights\O2_novib\3__O2(X)__O3(X)__O(3P)\seed_0036\30, 30\loss_history.csv","saved_weights\O2_novib\3__O2(X)__O3(X)__O(3P)\seed_0036\30, 30\clean_metrics.json",True,True,True,True,5000,4994,0.00019173343850222105,0.0001148735752212815,0.0001114493134082295,212.3641335964203,212.3641335964203,0.0001296326878448976,0.011385635153336751
O2_novib,3__O2(X)__O3(X)__O(3P),"O2(X), O3(X), O(3P)",3,"30, 30","30, 30",37,6,3,"2000, 6","2000, 3","100, 6","100, 3",tanh,0.0001,16,5000,100,0.1,False,"saved_weights\O2_novib\3__O2(X)__O3(X)__O(3P)\seed_0037\30, 30\model.pth","saved_weights\O2_novib\3__O2(X)__O3(X)__O(3P)\seed_0037\30, 30\model_info.json","saved_weights\O2_novib\3__O2(X)__O3(X)__O(3P)\seed_0037\30, 30\loss_history.csv","saved_weights\O2_novib\3__O2(X)__O3(X)__O(3P)\seed_0037\30, 30\clean_metrics.json",True,True,True,True,5000,4955,0.00011618794294513969,8.472539673675783e-05,8.172341913450509e-05,212.26929998397827,212.26929998397827,9.637678233372249e-05,0.009817167734826705
O2_novib,3__O2(X)__O3(X)__O(3P),"O2(X), O3(X), O(3P)",3,"30, 30","30, 30",38,6,3,"2000, 6","2000, 3","100, 6","100, 3",tanh,0.0001,16,5000,100,0.1,False,"saved_weights\O2_novib\3__O2(X)__O3(X)__O(3P)\seed_0038\30, 30\model.pth","saved_weights\O2_novib\3__O2(X)__O3(X)__O(3P)\seed_0038\30, 30\model_info.json","saved_weights\O2_novib\3__O2(X)__O3(X)__O(3P)\seed_0038\30, 30\loss_history.csv","saved_weights\O2_novib\3__O2(X)__O3(X)__O(3P)\seed_0038\30, 30\clean_metrics.json",True,True,True,True,5000,4998,6.517626846390258e-05,4.1504941327730195e-05,4.1334270936204123e-05,212.26416063308716,212.26416063308716,4.6647743085532765e-05,0.006829915305882846
O2_novib,3__O2(X)__O3(X)__O(3P),"O2(X), O3(X), O(3P)",3,"30, 30","30, 30",39,6,3,"2000, 6","2000, 3","100, 6","100, 3",tanh,0.0001,16,5000,100,0.1,False,"saved_weights\O2_novib\3__O2(X)__O3(X)__O(3P)\seed_0039\30, 30\model.pth","saved_weights\O2_novib\3__O2(X)__O3(X)__O(3P)\seed_0039\30, 30\model_info.json","saved_weights\O2_novib\3__O2(X)__O3(X)__O(3P)\seed_0039\30, 30\loss_history.csv","saved_weights\O2_novib\3__O2(X)__O3(X)__O(3P)\seed_0039\30, 30\clean_metrics.json",True,True,True,True,5000,4971,0.00012299263151362537,0.0001110249781049788,8.086167013971135e-05,217.62373161315918,217.62373161315918,9.974809604275548e-05,0.00998739686018111
O2_novib,3__O2(X)__O3(X)__O(3P),"O2(X), O3(X), O(3P)",3,"30, 30","30, 30",40,6,3,"2000, 6","2000, 3","100, 6","100, 3",tanh,0.0001,16,5000,100,0.1,False,"saved_weights\O2_novib\3__O2(X)__O3(X)__O(3P)\seed_0040\30, 30\model.pth","saved_weights\O2_novib\3__O2(X)__O3(X)__O(3P)\seed_0040\30, 30\model_info.json","saved_weights\O2_novib\3__O2(X)__O3(X)__O(3P)\seed_0040\30, 30\loss_history.csv","saved_weights\O2_novib\3__O2(X)__O3(X)__O(3P)\seed_0040\30, 30\clean_metrics.json",True,True,True,True,3413,3313,0.00014246699707453242,0.00013161824055714532,0.00011292557086562737,145.42348432540894,145.42348432540894,0.0001247079928396825,0.01116727329475206
O2_novib,3__O2(X)__O3(X)__O(3P),"O2(X), O3(X), O(3P)",3,"30, 30","30, 30",41,6,3,"2000, 6","2000, 3","100, 6","100, 3",tanh,0.0001,16,5000,100,0.1,False,"saved_weights\O2_novib\3__O2(X)__O3(X)__O(3P)\seed_0041\30, 30\model.pth","saved_weights\O2_novib\3__O2(X)__O3(X)__O(3P)\seed_0041\30, 30\model_info.json","saved_weights\O2_novib\3__O2(X)__O3(X)__O(3P)\seed_0041\30, 30\loss_history.csv","saved_weights\O2_novib\3__O2(X)__O3(X)__O(3P)\seed_0041\30, 30\clean_metrics.json",True,True,True,True,5000,4982,0.00011928887803353265,0.00013532881683204324,7.262071070726961e-05,213.05103611946106,213.05103611946106,8.990480658027581e-05,0.009481814519398479
